Source,SourceDoc,Admin0,Admin1,Admin2,Year,Crop,Season, Area , Yield , MT 
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Cassava,,138,8.2,1131
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Cassava,,118,19.4,2297
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,"Cowpeas, dry",,518,0.35,181.82
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,"Cowpeas, dry",,486,0.89,433.03
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,"Cowpeas, dry",,285,0.91,259.07
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Green gram,,610,0.3,181.17
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Green gram,,836,0.64,534.2
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Green gram,,551,0.87,478.5
MOA,AgroMOA,,Rift Valley,Baringo,1970,Maize,,8891,NC,NC
MOA,AgroMOA,,Rift Valley,Baringo,1971,Maize,,3435,NC,NC
MOA,AgroMOA,,Rift Valley,Baringo,1972,Maize,,3885,NC,NC
MOA,AgroMOA,,Rift Valley,Baringo,1973,Maize,,4364,1.66,7238
MOA,AgroMOA,,Rift Valley,Baringo,1974,Maize,,5380,2.25,12101
MOA,AgroMOA,,Rift Valley,Baringo,1975,Maize,,8350,2.7,22545
MOA,AgroMOA,,Rift Valley,Baringo,1976,Maize,,6320,2.24,14130
MOA,AgroMOA,,Rift Valley,Baringo,1977,Maize,,7310,2.25,16448
MOA,AgroMOA,,Rift Valley,Baringo,1978,Maize,,6847,2.07,14173
MOA,AgroMOA,,Rift Valley,Baringo,1979,Maize,,6369,2.25,14328
MOA,AgroMOA,,Rift Valley,Baringo,1980,Maize,,9900,0.68,6683
MOA,AgroMOA,,Rift Valley,Baringo,1981,Maize,,9926,2.36,23400
MOA,AgroMOA,,Rift Valley,Baringo,1982,Maize,,10016,2.92,29203
MOA,AgroMOA,,Rift Valley,Baringo,1983,Maize,,10000,3.97,39690
MOA,AgroMOA,,Rift Valley,Baringo,1984,Maize,,4500,3.15,14175
MOA,AgroMOA,,Rift Valley,Baringo,1985,Maize,,11406,2.77,31586
MOA,AgroMOA,,Rift Valley,Baringo,1986,Maize,,13907,2.25,31291
MOA,AgroMOA,,Rift Valley,Baringo,1987,Maize,,17134,1.44,24705
MOA,AgroMOA,,Rift Valley,Baringo,1988,Maize,,16500,3.15,51975
MOA,AgroMOA,,Rift Valley,Baringo,1989,Maize,,15295,2.91,44500
MOA,AgroMOA,,Rift Valley,Baringo,1990,Maize,,13443,1.8,24197
MOA,AgroMOA,,Rift Valley,Baringo,1991,Maize,Long Rains,12572,1.8,22629.6
MOA,AgroMOA,,Rift Valley,Baringo,1991,Maize,,12572,1.8,22629.6
MOA,AgroMOA,,Rift Valley,Baringo,1992,Maize,Long Rains,15024,1.98,29747
MOA,AgroMOA,,Rift Valley,Baringo,1992,Maize,,15024,1.98,29747
MOA,AgroMOA,,Rift Valley,Baringo,1993,Maize,Long Rains,16900,0.45,7605
MoALF,Spreadsheet,,Rift Valley,Baringo,1993,Maize,,36719,0.84,30793
MOA,AgroMOA,,Rift Valley,Baringo,1994,Maize,Long Rains,15250,2.25,34312.5
MOA,AgroMOA,,Rift Valley,Baringo,1995,Maize,Long Rains,17673,2.16,38173.68
MOA,AgroMOA,,Rift Valley,Baringo,1995,Maize,,17673,2.16,38173.68
MOA,AgroMOA,,Rift Valley,Baringo,1996,Maize,Long Rains,4700,1.35,6345
MOALP,AgroMOALP,,Rift Valley,Baringo,1997,Maize,Long Rains,10052,1.18,11861.1
MOALP,AgroMOALP,,Rift Valley,Baringo,1998,Maize,Long Rains,8000,2.23,17820
MOALP,AgroMOALP,,Rift Valley,Baringo,1999,Maize,Long Rains,7400,1,7407
MOALP,AgroMOALP,,Rift Valley,Baringo,2000,Maize,Long Rains,2550,0.46,1170
