year,code,name,ASAL,cum_Mar,cum_Jun,cum_Oct
2003,51391,-999,0,67.2,154,48.5
2004,51391,-999,0,76.6,77.7,117.1
2005,51391,-999,0,61.3,95.9,109.3
2006,51391,-999,0,100.9,82.3,141.5
2007,51391,-999,0,72.8,161.4,75.6
2008,51391,-999,0,77.2,112.2,176.8
2009,51391,-999,0,33.9,68.2,118.4
2010,51391,-999,0,136.4,119.3,145.9
2011,51391,-999,0,124.8,157.7,120.2
2012,51391,-999,0,37,139.3,172.4
2013,51391,-999,0,136,115.1,165.7
2014,51391,-999,0,91.8,115.3,222.1
2015,51391,-999,0,29.1,161.6,162.9
2016,51391,-999,0,9.7,32.7,75.9
2017,51391,-999,0,148.3,140.4,10.3
1981,51393,-999,0,216.8,71.6,50.9
1982,51393,-999,0,55.2,71.3,94.9
1983,51393,-999,0,41.9,115.6,131.1
1984,51393,-999,0,22.4,86.1,50.6
1985,51393,-999,0,122.3,97.2,40.8
1986,51393,-999,0,69.5,90.8,54.7
1987,51393,-999,0,106.1,126.6,57.2
1988,51393,-999,0,73.2,85.4,100.4
1989,51393,-999,0,123.4,86.7,84.8
1990,51393,-999,0,115.6,49.9,54.9
1991,51393,-999,0,115.7,136.6,85.5
1992,51393,-999,0,36.8,124.3,128
1993,51393,-999,0,23.2,120.7,42.4
1994,51393,-999,0,116.8,136.4,62.2
1995,51393,-999,0,129.4,102.2,103.4
1996,51393,-999,0,144.5,126.2,69.4
1997,51393,-999,0,90.2,113.1,136.2
1998,51393,-999,0,35,123.7,139.4
1999,51393,-999,0,165.3,87.3,146
2000,51393,-999,0,28.4,91.1,126.4
2001,51393,-999,0,116.2,159.4,150
2002,51393,-999,0,105.2,95.5,114.6
2003,51393,-999,0,83.8,129.4,67
2004,51393,-999,0,101,80.2,74.6
2005,51393,-999,0,86.2,100.8,76.4
2006,51393,-999,0,113.1,97.6,108
2007,51393,-999,0,64.6,160,64.7
2008,51393,-999,0,112.2,84.7,168.3
2009,51393,-999,0,38.8,61.1,95.7
2010,51393,-999,0,155.7,105.8,127.1
2011,51393,-999,0,127.3,142.9,116.3
2012,51393,-999,0,44.1,137.9,154.6
2013,51393,-999,0,151.2,123.8,125.3
2014,51393,-999,0,102.7,96.5,154.1
2015,51393,-999,0,34.3,121.5,110.6
2016,51393,-999,0,3.8,35.4,60
2017,51393,-999,0,156.6,133.7,14
1981,51395,-999,0,278.8,76.4,112.6
1982,51395,-999,0,57.2,113.9,172.5
1983,51395,-999,0,68.1,132.5,160.9
1984,51395,-999,0,27.3,127.9,70.4
1985,51395,-999,0,161.2,111.1,84.1
1986,51395,-999,0,98.2,84.2,115.5
1987,51395,-999,0,157.7,129.7,128.9
1988,51395,-999,0,94.2,115.2,168.1
1989,51395,-999,0,181.5,105.3,120
1990,51395,-999,0,170.2,71.7,108.6
1991,51395,-999,0,138.1,163.4,155.4
1992,51395,-999,0,54.2,213.8,152.8
1993,51395,-999,0,45.4,141.4,75.6
1994,51395,-999,0,136.2,154.3,114.4
1995,51395,-999,0,130.9,144.1,175.4
1996,51395,-999,0,178.2,113.7,114.8
1997,51395,-999,0,125,138.2,174.8
1998,51395,-999,0,52.7,130.7,195.9
1999,51395,-999,0,161.6,146.1,265
2000,51395,-999,0,41.2,104.3,186.6
2001,51395,-999,0,161.9,186.3,185.3
2002,51395,-999,0,141.1,123.2,195.7
2003,51395,-999,0,96.2,212.2,85.7
2004,51395,-999,0,90.3,99.2,126.5
2005,51395,-999,0,90.8,107.4,139.3
2006,51395,-999,0,145,118.3,147.9
2007,51395,-999,0,80.1,156.3,110.8
2008,51395,-999,0,107.5,122.4,185.2
2009,51395,-999,0,52.5,90.4,150.3
2010,51395,-999,0,160.7,144,193.2
2011,51395,-999,0,172,199.1,173.1
2012,51395,-999,0,43.4,182.9,212
2013,51395,-999,0,192.9,121.7,174.2
2014,51395,-999,0,124.1,152.4,244.6
2015,51395,-999,0,49.1,192.5,229.2
2016,51395,-999,0,11.1,58.8,72.6
2017,51395,-999,0,151.8,152.2,11.8
1981,51396,-999,0,258.2,64,121
1982,51396,-999,0,79.4,109,215.5
1983,51396,-999,0,81.7,130.3,170.2
1984,51396,-999,0,45,100.4,103.7
1985,51396,-999,0,188.6,77.4,80.3
1986,51396,-999,0,144.2,94.3,133
1987,51396,-999,0,171.7,115.3,152.6
1988,51396,-999,0,153.3,110.6,175.4
1989,51396,-999,0,173,96.7,153.7
1990,51396,-999,0,224.7,47.4,138.8
1991,51396,-999,0,150.2,107,206
1992,51396,-999,0,80.9,175.5,150
1993,51396,-999,0,101.8,137.4,91.1
1994,51396,-999,0,198.3,125,134
1995,51396,-999,0,146.9,136,202.3
1996,51396,-999,0,210.4,92,144.7
1997,51396,-999,0,116.5,124.6,199.2
1998,51396,-999,0,94.7,122,164.4
1999,51396,-999,0,234,100.1,197.8
2000,51396,-999,0,90.8,90.2,165.5
2001,51396,-999,0,162.3,140,156.3
2002,51396,-999,0,198.1,103.2,184.3
2003,51396,-999,0,135.5,192.6,121
2004,51396,-999,0,99.7,90.9,161.2
2005,51396,-999,0,126.9,97.5,136.8
2006,51396,-999,0,193.8,131.7,153.3
2007,51396,-999,0,154.2,110.5,141.8
2008,51396,-999,0,139.6,103.1,188
2009,51396,-999,0,81.1,66.4,131
2010,51396,-999,0,183.2,132.2,179.9
2011,51396,-999,0,165.9,149.3,210.1
2012,51396,-999,0,62.5,155.9,200.6
2013,51396,-999,0,201.4,93.1,148.1
2014,51396,-999,0,133.7,144,242
2015,51396,-999,0,92.5,190.5,275.9
2016,51396,-999,0,17.8,59.2,81
2017,51396,-999,0,113.5,120.6,16.5
1981,51398,-999,0,328.3,98.6,109.8
1982,51398,-999,0,68.3,174.1,219.7
1983,51398,-999,0,91.5,155.2,203.6
1984,51398,-999,0,38.6,178.7,78.8
1985,51398,-999,0,197.6,134.7,97.8
1986,51398,-999,0,139.3,96.6,143.3
1987,51398,-999,0,177.9,150.7,172.2
1988,51398,-999,0,150.7,132.7,159.3
1989,51398,-999,0,192.1,136.5,156.1
1990,51398,-999,0,235.2,75.1,100.4
1991,51398,-999,0,177.4,154.3,193.6
1992,51398,-999,0,61.7,310.5,160.2
1993,51398,-999,0,90,185.6,93.8
1994,51398,-999,0,244.3,166.7,109.9
1995,51398,-999,0,190.1,179.1,162.6
1996,51398,-999,0,217.2,152.7,140.5
1997,51398,-999,0,121.9,177.7,186.7
1998,51398,-999,0,88.7,184.2,207.7
1999,51398,-999,0,259.3,154,217.7
2000,51398,-999,0,74.5,140.3,170.7
2001,51398,-999,0,174,198.7,180.1
2002,51398,-999,0,204.1,138.5,194.3
2003,51398,-999,0,143.8,219.8,112.4
2004,51398,-999,0,124,112.4,113.4
2005,51398,-999,0,148.9,117.5,122.5
2006,51398,-999,0,218.8,176.1,137.6
2007,51398,-999,0,124.9,151.9,143.5
2008,51398,-999,0,159.1,133.8,207.8
2009,51398,-999,0,93.5,110.4,134
2010,51398,-999,0,219.2,171.3,201.9
2011,51398,-999,0,199.1,216.9,216.1
2012,51398,-999,0,64.6,253.3,225.8
2013,51398,-999,0,250.5,133.5,166.7
2014,51398,-999,0,140,187.7,235.3
2015,51398,-999,0,83.8,214,238.4
2016,51398,-999,0,11.7,76.9,113.5
2017,51398,-999,0,157.4,157,16.7
1981,51402,-999,0,319.1,98.1,96.2
1982,51402,-999,0,78.1,173.9,200.3
1983,51402,-999,0,91.2,133.1,210.2
1984,51402,-999,0,47.3,157.5,74.2
1985,51402,-999,0,193.7,137.5,96.2
1986,51402,-999,0,165.1,87.9,123.5
1987,51402,-999,0,174.4,154.4,149.7
1988,51402,-999,0,165.3,118,134.1
1989,51402,-999,0,200.1,117.8,164
1990,51402,-999,0,235.5,69.4,85.4
1991,51402,-999,0,184.1,139.6,197.4
1992,51402,-999,0,71,293.7,164
1993,51402,-999,0,107.7,185,90.9
1994,51402,-999,0,263.4,133.5,86.2
1995,51402,-999,0,193.6,156.1,148.1
1996,51402,-999,0,196.5,151.7,142.3
1997,51402,-999,0,123.9,169.4,176.3
1998,51402,-999,0,91.9,167,190.5
1999,51402,-999,0,292.6,131.9,180.5
2000,51402,-999,0,87.1,135.8,146.4
2001,51402,-999,0,157,168.4,181.6
2002,51402,-999,0,227.7,115.8,167.8
2003,51402,-999,0,155.3,164.2,113.3
2004,51402,-999,0,134.7,93.5,107.8
2005,51402,-999,0,161.6,98.6,119.5
2006,51402,-999,0,218.2,165.7,132.8
2007,51402,-999,0,144.9,141.2,121.7
2008,51402,-999,0,169.3,121.1,217.6
2009,51402,-999,0,99.1,88.1,118
2010,51402,-999,0,228.5,155.8,182.3
2011,51402,-999,0,175.9,186,213.5
2012,51402,-999,0,79.7,240.6,214.9
2013,51402,-999,0,266.6,126.2,158.3
2014,51402,-999,0,142.6,158.9,222.3
2015,51402,-999,0,97.5,184.1,238.7
2016,51402,-999,0,10.2,74.1,105.9
2017,51402,-999,0,149.3,170.1,19.7
1981,68769,-999,0,248.2,89.9,69.7
1982,68769,-999,0,66.8,115.6,124.5
1983,68769,-999,0,61.2,128.8,178.7
1984,68769,-999,0,27.6,125.2,61.3
1985,68769,-999,0,144.9,123.2,69.6
1986,68769,-999,0,101.7,98.9,69.1
1987,68769,-999,0,130.5,157.8,71.1
1988,68769,-999,0,101.1,93.5,106.7
1989,68769,-999,0,146.8,104.6,115.9
1990,68769,-999,0,154.7,59.4,64.9
1991,68769,-999,0,129,154,118.3
1992,68769,-999,0,45.1,187.8,152
1993,68769,-999,0,42.6,156.9,61
1994,68769,-999,0,188.9,143.5,63.2
1995,68769,-999,0,180.5,130.6,110.5
1996,68769,-999,0,135.2,136.2,102.4
1997,68769,-999,0,92.8,140.9,158.3
1998,68769,-999,0,54.7,149.5,164.2
1999,68769,-999,0,237.8,100.8,159
2000,68769,-999,0,52.7,125.3,140
2001,68769,-999,0,122.6,177.7,169.2
2002,68769,-999,0,150.4,108.3,133.2
2003,68769,-999,0,115.7,138.4,107.3
2004,68769,-999,0,124.1,95.6,70.8
2005,68769,-999,0,129.2,103.7,97.9
2006,68769,-999,0,146.5,147.8,118.1
2007,68769,-999,0,82.1,159.2,82.6
2008,68769,-999,0,145.2,101.7,185.5
2009,68769,-999,0,64.8,72.7,107.5
2010,68769,-999,0,169,125.5,158.1
2011,68769,-999,0,137.8,161.5,148.9
2012,68769,-999,0,56.2,187.7,182.7
2013,68769,-999,0,205.2,132.3,131.2
2014,68769,-999,0,121.2,117.4,175.1
2015,68769,-999,0,62.8,151.5,160.1
2016,68769,-999,0,8.4,43.6,54
2017,68769,-999,0,152.1,157.1,18.3
