year,code,name,ASAL,cum_90_MarMay,cum_95_MarMay,cum_99_MarMay,days_90_MarMay,days_95_MarMay,days_99_MarMay,cum_90_MarAug,cum_95_MarAug,cum_99_MarAug,days_90_MarAug,days_95_MarAug,days_99_MarAug,cum_90_OctDec,cum_95_OctDec,cum_99_OctDec,days_90_OctDec,days_95_OctDec,days_99_OctDec
1987,51337,-999,0,142.3,96.8,13.2,3.2,1.8,0.2,213.6,103.6,13.2,5.7,2,0.2,25,12.1,0,0.8,0.3,0
1988,51337,-999,0,150.8,82.2,20.9,4,1.8,0.3,214,114.6,20.9,5.7,2.5,0.3,37.1,16.7,0,1.1,0.4,0
1989,51337,-999,0,167.2,81.5,9.1,4.5,1.6,0.1,261.7,114.5,9.1,7.4,2.4,0.1,138.1,108.6,78.5,2.7,1.7,0.9
1990,51337,-999,0,207,88.3,6.8,5.6,2,0.1,286.4,155.5,9.6,7.6,3.5,0.1,92.7,65.3,43.4,2,1,0.7
1991,51337,-999,0,208.1,141.4,78,4.4,2.2,0.7,328.7,225.5,78,7.5,4.1,0.7,133,94.4,56.1,2.9,1.5,0.7
1992,51337,-999,0,184.4,117.1,47.4,4.4,2.1,0.6,264.5,161.3,55.7,6.7,3.2,0.8,60.6,18.4,0,1.8,0.4,0
1993,51337,-999,0,58.1,37.7,7.4,1.3,0.7,0.1,109,69.8,13.1,2.7,1.4,0.2,4.5,0,0,0.2,0,0
1994,51337,-999,0,134.1,75.1,22,3.4,1.4,0.3,227.2,113.1,22,6.3,2.4,0.3,92.1,49.5,10.1,2.3,0.9,0.1
1995,51337,-999,0,286.6,252.6,126.1,5.5,4.6,1.7,359,288.4,131.8,7.6,5.5,1.8,92.8,74.6,44.9,2,1.4,0.7
1996,51337,-999,0,140.9,113.4,78.1,2.7,1.8,1,330.2,234.9,97.2,7.6,4.4,1.3,7.1,0,0,0.2,0,0
1997,51337,-999,0,236.8,176.5,18.8,5.5,3.5,0.3,382.7,268.1,47.6,9.3,5.3,0.8,231.2,161.3,74.6,5,2.7,0.8
1998,51337,-999,0,287,208.3,12.7,6.9,4.4,0.2,445.6,308.7,84.4,10.4,5.9,1.1,37.5,31,10.7,0.9,0.7,0.1
1999,51337,-999,0,70.1,43.6,15.6,1.6,0.8,0.2,162.6,103.3,40.5,4.1,2,0.5,82.9,65.3,28.7,1.8,1.2,0.2
2000,51337,-999,0,34.4,16.2,0,0.8,0.3,0,107.5,57.2,5.5,3,1.3,0.1,84.7,22.4,0,2.5,0.6,0
2001,51337,-999,0,218.3,128.3,20.5,6,2.9,0.4,363.8,239.5,51.3,9.6,5.3,0.9,129.4,112.1,73.4,2.5,2,1.1
2002,51337,-999,0,283.7,182.7,22.2,7.1,4,0.4,314.1,197.5,22.2,8,4.3,0.4,162.2,97.6,51.3,4,2,0.8
2003,51337,-999,0,288.6,175,17.1,7.1,3.4,0.3,456.5,281.1,42.8,11.4,5.7,0.7,24.2,17.3,0,0.6,0.4,0
2004,51337,-999,0,211.2,125.6,46.9,5.3,2.4,0.7,266,169.2,74.8,6.6,3.2,1.1,33.7,2.2,0,1,0.1,0
2005,51337,-999,0,201.4,129.9,50.6,4.9,2.6,0.6,279.1,179,65.8,6.9,3.6,0.9,23.7,18.2,7.6,0.5,0.3,0.1
2006,51337,-999,0,191,136.5,49.1,4.6,2.7,0.7,237.2,162.2,49.1,5.9,3.4,0.7,242,167.6,100.3,5.3,2.9,1.3
2007,51337,-999,0,176.4,139.2,45.5,3.6,2.4,0.4,399.6,318.4,96.2,8.9,6.1,1.1,11,11,5.2,0.3,0.3,0.1
2008,51337,-999,0,41.4,30.1,9.8,0.9,0.5,0.1,67.6,51.8,18.3,1.6,1,0.2,145.7,76,5.2,4.1,1.8,0.1
2009,51337,-999,0,144.2,95.9,20.6,3.6,2,0.3,156.3,99.3,20.6,4,2.1,0.3,103.3,72.6,35.8,2.4,1.4,0.5
2010,51337,-999,0,337.7,257.8,46.5,8.1,5.4,0.5,392.1,291.9,60.2,9.5,6.1,0.7,40.7,12.3,0,1.2,0.3,0
2011,51337,-999,0,129.2,96.5,10.1,3.3,2.1,0.1,268.9,181.7,19.9,7,4.1,0.3,251.7,191.7,74.3,5.4,3.4,0.9
2012,51337,-999,0,335.1,210,53.8,8.2,4.1,0.8,471.5,303.9,71.7,11.6,6.1,1,152.8,131.1,64.1,3.1,2.3,0.8
2013,51337,-999,0,239.4,132.3,9.9,6.3,2.8,0.2,362,180.5,9.9,10.1,4,0.2,115.2,76.8,34,2.9,1.5,0.5
2014,51337,-999,0,138.8,106,39.4,3,2,0.5,257.6,198.2,62.6,5.9,3.9,1,74.1,47.8,28.2,1.6,0.8,0.3
2015,51337,-999,0,158.7,96.6,31.9,3.8,1.8,0.4,190,100.4,31.9,4.8,1.9,0.4,269.2,196,87.5,5.7,3.4,1.1
2016,51337,-999,0,86.9,27.4,0,2.8,0.8,0,220.1,91.4,11.1,6.2,1.9,0.1,194.1,164.5,80.5,3.7,2.7,0.8
2017,51337,-999,0,65.5,41.7,14.3,1.8,1,0.2,184.7,142.3,88.5,4.2,2.7,1.3,29.4,7.7,0,0.9,0.2,0
1981,51350,-999,0,95.7,22.9,0,2.5,0.5,0,95.7,22.9,0,2.5,0.5,0,0,0,0,0,0,0
1982,51350,-999,0,100.1,57.1,2.2,2.2,1.1,0,100.1,57.1,2.2,2.2,1.1,0,330.7,174.9,93.5,6.7,2.5,1
1983,51350,-999,0,69.5,34.9,6.6,1.6,0.6,0.1,69.5,34.9,6.6,1.6,0.6,0.1,116.2,79.3,27.7,2.2,1.2,0.3
1984,51350,-999,0,14,0,0,0.4,0,0,14,0,0,0.4,0,0,278.9,225.3,62.1,5,3.6,0.7
1985,51350,-999,0,154,58.3,0,3.8,1.2,0,154,58.3,0,3.8,1.2,0,117.2,93.2,13.4,2.2,1.6,0.2
1986,51350,-999,0,142.8,51.8,0,3.6,1,0,142.8,51.8,0,3.6,1,0,216.4,124.8,1.8,4.8,2.2,0
1987,51350,-999,0,155.2,101.9,11.8,3.3,1.9,0.2,157.9,101.9,11.8,3.4,1.9,0.2,77,43.4,7.7,1.6,0.7,0.1
1988,51350,-999,0,62,5.4,0,1.7,0.1,0,62,5.4,0,1.7,0.1,0,160.8,132.4,10.9,3,2.3,0.1
1989,51350,-999,0,141.7,49.8,0,3.7,1.1,0,141.7,49.8,0,3.7,1.1,0,112.8,45.5,2.8,2.7,0.8,0
1990,51350,-999,0,175.2,93,19.5,4,1.7,0.3,175.2,93,19.5,4,1.7,0.3,215.2,161.3,104.8,3.4,2,1
1991,51350,-999,0,116.6,80.7,16.3,2.4,1.4,0.2,116.6,80.7,16.3,2.4,1.4,0.2,139.7,99,41.3,2.6,1.4,0.4
1992,51350,-999,0,212.1,128.8,31.7,4.5,2.2,0.4,212.1,128.8,31.7,4.5,2.2,0.4,221,134.2,49.8,4.4,2.1,0.5
1993,51350,-999,0,19,5.5,0,0.5,0.1,0,19,5.5,0,0.5,0.1,0,170.6,133.7,83.4,2.7,1.7,0.8
1994,51350,-999,0,39.9,13.6,0,1,0.3,0,39.9,13.6,0,1,0.3,0,415.2,350.8,155.8,6.8,5.1,1.8
1995,51350,-999,0,133.6,90.3,10.3,2.8,1.7,0.1,133.6,90.3,10.3,2.8,1.7,0.1,148.1,125.2,52.8,2.4,1.8,0.6
1996,51350,-999,0,73.2,22.8,0,1.9,0.4,0,73.2,22.8,0,1.9,0.4,0,190.1,169.3,87.1,2.8,2.2,0.8
1997,51350,-999,0,253.2,105.2,0,6.1,2,0,253.2,105.2,0,6.1,2,0,447.8,348,186.3,7.4,4.8,1.8
1998,51350,-999,0,194.8,115.8,2.4,4.3,2.1,0,198.1,119,2.4,4.4,2.1,0,70.5,67.1,54.3,0.8,0.8,0.5
1999,51350,-999,0,55.1,35.7,14.5,1.1,0.6,0.2,55.1,35.7,14.5,1.1,0.6,0.2,288.2,245.4,143.2,4.1,2.9,1.2
2000,51350,-999,0,26.2,1.2,0,0.8,0,0,26.2,1.2,0,0.8,0,0,210,126.5,30.5,4.4,2.1,0.3
2001,51350,-999,0,117.3,51,6.9,2.8,1,0.1,117.3,51,6.9,2.8,1,0.1,272.9,256.6,213.2,2.8,2.4,1.7
2002,51350,-999,0,157.5,94,29.5,3.3,1.5,0.3,157.5,94,29.5,3.3,1.5,0.3,283.7,241.4,106.5,4.5,3.4,1.1
2003,51350,-999,0,81.9,48.2,2.5,1.8,0.8,0,81.9,48.2,2.5,1.8,0.8,0,145.2,121,64.6,2.2,1.6,0.6
2004,51350,-999,0,127.4,71.5,5,2.9,1.3,0.1,127.4,71.5,5,2.9,1.3,0.1,252.6,197.4,67.5,4.5,3,0.7
2005,51350,-999,0,111.4,77.5,7.9,2.3,1.4,0.1,111.4,77.5,7.9,2.3,1.4,0.1,49.7,35.8,12.7,0.9,0.5,0.2
2006,51350,-999,0,182.7,117.2,6.1,3.9,2.1,0.1,182.7,117.2,6.1,3.9,2.1,0.1,468.5,266.6,57.5,9.9,4.4,0.6
2007,51350,-999,0,101.1,53.5,18.5,2.1,0.8,0.2,101.1,53.5,18.5,2.1,0.8,0.2,149.3,114.9,17,2.8,1.9,0.2
2008,51350,-999,0,84.5,63.8,13.1,1.7,1.1,0.2,84.5,63.8,13.1,1.7,1.1,0.2,191.3,119.1,4.7,4.2,2.3,0.1
2009,51350,-999,0,37.9,16.1,0,0.9,0.3,0,37.9,16.1,0,0.9,0.3,0,105.7,84.2,29.8,1.9,1.3,0.3
2010,51350,-999,0,187.6,138.1,25.5,3.7,2.3,0.3,187.6,138.1,25.5,3.7,2.3,0.3,42.4,21,11.6,0.9,0.3,0.1
2011,51350,-999,0,82.5,18,2.1,2.1,0.3,0,82.5,18,2.1,2.1,0.3,0,233.8,137,15.6,5.1,2.5,0.2
2012,51350,-999,0,171.2,74.7,2,3.9,1.2,0,171.2,74.7,2,3.9,1.2,0,234.5,174.9,40.7,4.5,2.9,0.5
2013,51350,-999,0,136.9,27.6,0,3.6,0.6,0,136.9,27.6,0,3.6,0.6,0,111.1,80.9,17.8,2.1,1.3,0.2
2014,51350,-999,0,97.9,73.7,0,2,1.4,0,97.9,73.7,0,2,1.4,0,151.4,111.3,26.8,2.9,1.8,0.3
2015,51350,-999,0,181.3,114.8,18.5,3.9,2,0.2,181.3,114.8,18.5,3.9,2,0.2,268.1,147.6,77.2,5.6,2.2,0.9
2016,51350,-999,0,2.3,0,0,0.1,0,0,152.2,68.6,0,3.7,1.4,0,9.4,9.4,5.2,0.1,0.1,0.1
2017,51350,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0.5,0,0
1981,51366,-999,0,360.8,251.5,120.8,14.2,8.3,3.2,412.8,267.7,120.8,16.9,9.1,3.2,47.6,37.3,0,2,1.5,0
1982,51366,-999,0,208.9,129.7,8.4,9.4,5.2,0.3,296.5,196.7,19.1,13.1,7.7,0.6,190.8,145.9,48.7,7.4,5.2,1.4
1983,51366,-999,0,212.6,163.6,52.2,8.6,6,1.6,298.6,198.3,55.8,12.7,7.5,1.7,161.2,110,41.4,6.8,4.1,1.3
1984,51366,-999,0,96.9,50,33.7,3.9,1.4,0.7,190.2,88.7,56,8.2,2.7,1.4,174,146.5,44.8,6.7,5.2,1.2
1985,51366,-999,0,283.3,183.6,93.9,11.2,6,2.4,424.2,283.6,104.6,17.4,10,2.7,59.6,30.2,0,2.8,1.2,0
1986,51366,-999,0,222,169.4,47.9,8.8,6.1,1.4,301.9,196.5,58.8,12.6,7,1.7,103.6,46.5,0,5,2,0
1987,51366,-999,0,89.4,44.6,14,3.9,1.5,0.3,149.7,97,40.6,6.1,3.3,1.1,108.4,78.3,45.8,3.9,2.4,1
1988,51366,-999,0,253.6,159.7,73.8,10.3,5.4,1.8,289.7,183.7,78.7,11.9,6.3,2,58.2,23.5,4.8,2.8,0.9,0.2
1989,51366,-999,0,130.3,53.1,5.2,6.2,2.2,0.2,157.6,66,5.2,7.5,2.7,0.2,47.7,2.2,0,2.6,0.1,0
1990,51366,-999,0,168.7,93.2,0,7.9,3.8,0,213.3,109.4,0,10.1,4.5,0,69.5,41.1,3.4,3.1,1.5,0.1
1991,51366,-999,0,103.1,52.2,3.1,4.8,2.1,0.1,152,64.1,7.9,7.2,2.6,0.2,47.3,20.3,0,2.3,0.8,0
1992,51366,-999,0,117.8,56.9,5,5.5,2.2,0.2,176.2,77.7,5,8.4,3.2,0.2,14.3,6.3,0,0.7,0.3,0
1993,51366,-999,0,187.5,112.6,55.1,7.8,3.9,1.5,300.1,180.9,96.2,12.3,6,2.6,23.1,13.1,0,1.1,0.6,0
1994,51366,-999,0,239.3,126.9,24.4,11.1,5,0.7,283.6,140.5,24.4,13.3,5.6,0.7,82.7,36.6,3.2,4,1.5,0.1
1995,51366,-999,0,213.4,105.5,26.5,9.8,4.1,0.7,319.6,184.6,36.9,14.4,7.2,1,90.6,47,0,4.4,2,0
1996,51366,-999,0,139,77.1,7.7,6.4,3,0.3,330,186.9,29.1,14.8,7.3,0.9,34.4,14.3,9.3,1.6,0.4,0.3
1997,51366,-999,0,123.4,43.9,0,6.1,1.8,0,244.2,114,3,11.5,4.6,0.1,212.6,150,63,8.6,5.3,1.8
1998,51366,-999,0,175.1,123.3,45.2,7.2,4.5,1.3,282.4,198.7,78.7,11.4,7.1,2.2,40.9,13.9,0,2,0.6,0
1999,51366,-999,0,116.6,48.8,3,5.7,2,0.1,196.9,83.1,13.6,9.5,3.3,0.4,93.9,46.7,0,4.4,1.9,0
2000,51366,-999,0,168,92.7,49.3,6.9,2.9,1.1,272.5,164.3,60.6,11.4,5.6,1.4,153.2,71.9,14.4,7,2.7,0.4
2001,51366,-999,0,201.4,109.3,20.4,9.1,4.3,0.6,292.2,147.1,20.4,13.3,5.7,0.6,71,37.1,0,3.4,1.6,0
2002,51366,-999,0,326.5,221.4,86.4,13.6,8,2.4,386.9,242.5,86.4,16.6,8.9,2.4,101.6,57.7,19.6,4.5,2.1,0.6
2003,51366,-999,0,194.1,149.1,65.7,7.5,5.1,1.8,273.8,192.3,81,11,6.7,2.3,41.7,10.9,0,2.1,0.5,0
2004,51366,-999,0,169.1,106.3,46.8,7,3.6,1.3,217,138.8,59.3,9,4.8,1.6,34,2.3,0,1.8,0.1,0
2005,51366,-999,0,217.7,143.7,62,8.7,4.8,1.7,304.6,212.3,81.4,12.2,7.3,2.2,31.5,8.4,0,1.6,0.4,0
2006,51366,-999,0,242.8,96.7,3,11.7,4,0.1,288.9,123.7,6.3,13.8,5.1,0.2,306.2,234.4,108.1,10.9,7.2,1.9
2007,51366,-999,0,168.7,134.4,44.7,6.5,4.7,1.2,226.2,159.4,44.7,9.3,5.8,1.2,48.6,26.8,0,2.2,1.1,0
2008,51366,-999,0,124.2,44.2,0,6.1,1.9,0,212.5,99.5,10.9,10,4.1,0.3,48.5,21.5,0,2.4,0.9,0
2009,51366,-999,0,99.5,57.8,11.3,4.4,2.2,0.3,124.2,63.5,11.3,5.7,2.4,0.3,106.4,76.6,18.7,4.5,2.9,0.6
2010,51366,-999,0,282.5,179.1,66,11.7,6.2,1.7,380.3,243.4,93.7,15.7,8.4,2.4,11.3,0,0,0.6,0,0
2011,51366,-999,0,80.5,18.6,0,4.1,0.8,0,226.3,153.6,53.6,9.5,5.6,1.5,125.9,62.4,4.6,6.1,2.7,0.2
2012,51366,-999,0,293.5,166.2,58.5,12.4,5.7,1.4,464.9,283.6,96.9,19.5,10,2.5,186.7,132.7,56,7.3,4.5,1.5
2013,51366,-999,0,224.8,152.6,95.4,8.7,4.9,2.5,309.9,215.8,124,11.9,6.9,3.2,77.8,34.7,4.9,3.6,1.3,0.2
2014,51366,-999,0,123.8,75.7,3.9,5.5,3.1,0.1,305.6,199.7,45.9,12.9,7.3,1,45.8,20.9,0,2.2,0.8,0
2015,51366,-999,0,264.8,158.1,34.7,11.7,6.2,1,331.6,194.3,45.9,14.8,7.5,1.3,180,116.4,43.6,7.6,4.2,1.2
2016,51366,-999,0,93.2,67.7,62.2,3.4,2,1.8,399.9,225.1,62.2,17.7,8.4,1.8,59.6,20.4,0,2.9,0.8,0
2017,51366,-999,0,37.8,33.7,0,1.5,1.3,0,86.3,67.5,18.3,3.5,2.5,0.6,51.5,31.4,0,2.3,1.3,0
1981,51368,-999,0,298.6,241.7,162.3,12,8.6,5.2,378.9,286.1,168.7,16.4,10.7,5.4,91.2,79,28.1,4,3.2,1
1982,51368,-999,0,222.3,135.6,33.5,11.4,5.9,1.2,271,168.6,36.8,13.8,7.3,1.3,158.9,128.5,24.7,7.5,5.6,0.8
1983,51368,-999,0,188.3,135.3,52.5,8.8,5.5,1.8,252.6,167.4,52.5,12.2,7,1.8,138.6,89,20.3,7,3.9,0.7
1984,51368,-999,0,124.1,87.3,41.1,5.4,3.2,0.9,172.5,112,47.2,7.9,4.3,1.1,148.6,117.9,71.6,6,4.1,1.9
1985,51368,-999,0,274.9,202.3,131.6,10.7,6.3,3.1,320.4,226.6,131.6,13.1,7.4,3.1,34.3,14,0,1.9,0.6,0
1986,51368,-999,0,280.2,219.7,118.5,12,8.2,3.6,298.9,224.1,118.5,13,8.4,3.6,103.6,69.7,12.5,5.3,3.2,0.4
1987,51368,-999,0,112,43.1,15.7,6.3,1.8,0.5,166.8,80.5,22.2,9,3.5,0.7,94.9,73.4,44.2,3.8,2.5,1.2
1988,51368,-999,0,266,170.6,82.3,12.2,6.4,2,296.4,194.6,100.5,13.5,7.3,2.6,88,51.5,2.9,4.7,2.3,0.1
1989,51368,-999,0,106.8,55.9,5.1,5.8,2.8,0.2,118.3,58,5.1,6.5,2.8,0.2,51.5,8.6,0,3.2,0.5,0
1990,51368,-999,0,146.6,86.3,0,7.9,4.1,0,156.2,86.3,0,8.5,4.1,0,46.4,34.1,0,2.4,1.7,0
1991,51368,-999,0,162.8,81.2,9,9.1,3.8,0.3,167.8,81.2,9,9.3,3.8,0.3,51.3,25.6,0,2.7,1.2,0
1992,51368,-999,0,61.3,11.7,0,3.7,0.5,0,93.7,20.2,0,5.6,1,0,16.4,0,0,1.1,0,0
1993,51368,-999,0,161.8,70.9,27.3,8.7,3,0.9,237.5,112.5,44,12.5,4.6,1.3,9.3,5.3,0,0.5,0.3,0
1994,51368,-999,0,241.3,159.1,30.2,12.5,7.3,1.1,251.9,159.1,30.2,13.1,7.3,1.1,97.2,43,0,5.4,2,0
1995,51368,-999,0,182.8,131.2,17.9,9.4,6.1,0.6,236.6,171.7,17.9,12,7.9,0.6,74,48.3,0,4,2.3,0
1996,51368,-999,0,157.8,88.4,6.7,8.5,4.2,0.3,243.3,143.4,9.8,12.8,6.6,0.3,40.8,15,3.5,2.3,0.7,0.1
1997,51368,-999,0,136.3,90.5,15.8,7.2,4.3,0.6,205.8,126.4,15.8,11.1,6.1,0.6,245,167.3,64.7,11.7,6.8,2.1
1998,51368,-999,0,155.7,116.5,66,6.8,4.4,2,219.4,153.2,87.3,9.9,5.8,2.7,19.7,6.9,0,1.1,0.3,0
1999,51368,-999,0,103.4,30.6,0,6.2,1.6,0,133.9,32.6,0,8.1,1.7,0,104.5,53.1,0,5.6,2.4,0
2000,51368,-999,0,128.3,67.5,25.2,6.4,2.6,0.7,181.9,91.8,25.2,9.3,3.7,0.7,117,55.8,0,6.6,2.7,0
2001,51368,-999,0,191.5,108.9,16.6,10.2,5,0.5,232.5,122.6,16.6,12.5,5.7,0.5,85.6,47.4,0,4.6,2.2,0
2002,51368,-999,0,286.2,209.9,81.4,13.5,8.7,2.5,308.3,211.7,81.4,14.8,8.8,2.5,107.2,68.1,41.2,4.9,2.5,1.2
2003,51368,-999,0,236.8,168.6,50.3,11,6.7,1.5,268.9,186.9,56.3,12.6,7.5,1.7,34.7,12.4,0,2.1,0.7,0
2004,51368,-999,0,172.6,97.4,30.6,8.9,4.3,1,203.4,108.2,41.5,10.5,4.6,1.3,63.4,26.9,0,3.7,1.3,0
2005,51368,-999,0,232.3,156.3,66.5,11,6.3,2,270.9,172.1,66.5,13.2,7.1,2,39.9,17.3,4.2,2.2,0.8,0.2
2006,51368,-999,0,255.6,147.8,17.6,13.7,6.9,0.7,266.3,154.2,17.6,14.3,7.2,0.7,305.3,250.5,130.4,11.4,7.9,2.3
2007,51368,-999,0,158.6,113.3,47.2,7.7,4.7,1.4,181,123.5,47.2,9,5.2,1.4,72,37.9,9.4,3.8,1.7,0.3
2008,51368,-999,0,129.1,45,0,7.4,2.2,0,183.1,72.4,0,10.3,3.4,0,58.7,29.4,0,3.3,1.4,0
2009,51368,-999,0,138.7,82.7,17.7,7.1,3.6,0.6,149.9,82.7,17.7,7.8,3.6,0.6,107.3,53.9,17.4,5.7,2.2,0.6
2010,51368,-999,0,250.2,154.1,53.2,12.5,6.4,1.6,300.2,183.6,60.1,15,7.6,1.8,17.8,3,0,1.1,0.2,0
2011,51368,-999,0,52.1,13.7,0,3.1,0.7,0,146.2,86.3,26.7,7.5,3.7,0.8,199.8,124.8,37.2,10.2,5.4,1.2
2012,51368,-999,0,247.3,140.9,61.4,12.1,5.4,1.8,362.3,217.7,78.7,17.8,8.8,2.4,155.3,101.7,31,7.6,4.3,1
2013,51368,-999,0,208,140.1,74,9.6,5.3,2.1,250.2,170.2,90.8,11.4,6.4,2.5,91.1,45.9,0,4.9,2.1,0
2014,51368,-999,0,127.8,83.2,4.5,6.7,3.9,0.2,236.1,137.9,16.9,12.6,6.3,0.5,74.5,47.9,15.6,3.8,2.1,0.6
2015,51368,-999,0,200.1,109.4,7,10.9,5.1,0.3,244.5,129.1,10.4,13.3,6,0.3,235.5,133.7,59,11.9,5.3,1.8
2016,51368,-999,0,76,58.8,46.2,3.2,2,1.5,398,253.5,53.9,20,11.1,1.8,34.4,14.5,0,2,0.7,0
2017,51368,-999,0,23.4,15.6,0,1.2,0.7,0,39.4,20.3,0,2.1,0.9,0,59.8,20.4,0,3.4,1,0
1981,51369,-999,0,304.1,232.8,146.2,11.5,7.6,4,402.8,296.5,158,16,10.1,4.4,37.7,20.4,3.2,1.8,0.9,0.1
1982,51369,-999,0,224,133.5,54.6,9.7,4.9,1.6,346.4,213.4,68.3,15.2,8.1,2,123.5,62.6,3.1,6,2.5,0.1
1983,51369,-999,0,196.4,154.9,35.9,8.2,6,1.1,277.7,196.5,49.1,11.9,7.5,1.4,121.2,74.3,33,5.2,2.7,1
1984,51369,-999,0,86.2,55,12.9,3.8,2.1,0.4,206.1,129.8,29.9,9.2,5,0.9,82.2,27,0,4.2,1.2,0
1985,51369,-999,0,213,160.3,81.8,8.4,5.5,2.4,325.5,230.6,102.1,13.1,8,3,16.9,11.8,0,0.8,0.5,0
1986,51369,-999,0,247.1,187.1,97.3,9.6,6.4,2.7,341.6,231.9,100.2,14.2,8.3,2.8,24.5,9.3,0,1.3,0.4,0
1987,51369,-999,0,104.9,51.7,0,5.1,2.1,0,182.2,91.7,10.9,8.8,3.7,0.3,74.8,59.1,50.9,2.2,1.4,1
1988,51369,-999,0,261.8,194.1,76.1,10.3,6.6,1.6,369.6,265,95.8,14.9,9.1,2,98.6,67.9,20.7,4.1,2.4,0.5
1989,51369,-999,0,114.4,53.8,13.8,5.5,2.2,0.5,147.2,64.6,17.3,7.1,2.7,0.6,56.8,39.5,0,2.6,1.7,0
1990,51369,-999,0,139.9,80.6,19.5,6.3,3.1,0.5,199.4,112.3,22.3,9,4.4,0.6,37.6,12.8,0,1.9,0.6,0
1991,51369,-999,0,187.9,116.9,42.1,8.5,4.6,1.3,236.9,151.6,60.5,10.4,5.7,1.8,39.9,32.8,4.9,1.8,1.4,0.2
1992,51369,-999,0,119.6,72.9,6,5.7,3,0.2,241,130.5,18.6,11.4,5.2,0.5,13.1,1.6,0,0.7,0.1,0
1993,51369,-999,0,153.4,83.3,10.9,7.2,3.4,0.3,273.8,156.8,28.7,12.4,6.1,0.8,18.9,3.3,0,1,0.2,0
1994,51369,-999,0,328,214,46.2,14.7,8.3,1.3,395.1,236.7,52.2,17.9,9.1,1.5,83.6,24.9,0,4.4,1.1,0
1995,51369,-999,0,184.6,123.8,22.6,8.1,4.9,0.7,233.2,154.2,28.3,10.2,6,0.8,25.7,4.1,0,1.4,0.2,0
1996,51369,-999,0,121.6,46.3,0,6.3,2.1,0,221.7,104,8.5,10.8,4.3,0.2,49.2,24.5,5.5,2.3,1,0.2
1997,51369,-999,0,209.7,89.4,3.3,10.4,3.8,0.1,320.5,163.7,8.1,15.4,6.8,0.2,267.9,190.2,70,11.3,7.1,2.1
1998,51369,-999,0,151.9,94.9,34,6.5,3.4,1,231.1,149.9,51.5,9.7,5.4,1.5,12.3,7.6,0,0.5,0.3,0
1999,51369,-999,0,147.2,44.2,0,7.8,1.9,0,196.3,54.2,0,10.2,2.3,0,95.1,54.2,0,4.5,2.2,0
2000,51369,-999,0,81.9,43.1,27.9,3.6,1.4,0.8,139.5,66.9,33,6.3,2.3,0.9,101.5,35.3,0,5.3,1.7,0
2001,51369,-999,0,90.5,52.6,0,4.4,2.3,0,120.4,68.3,4.6,5.8,2.9,0.2,49.8,34,4.1,2.1,1.3,0.1
2002,51369,-999,0,323.2,269.6,129.4,12,9.1,3.5,396.6,321.4,145.3,15.1,11,3.8,140.5,88.9,22.3,6.1,3.4,0.6
2003,51369,-999,0,231.9,143.5,53.3,9.7,5,1.3,339.5,180.4,58.4,15.1,6.5,1.4,49.5,34.7,0,2.2,1.4,0
2004,51369,-999,0,186,140,69.6,7.5,4.9,2,224.2,157.2,72,9.2,5.5,2,45.8,19.9,7.8,2.1,0.7,0.2
2005,51369,-999,0,203.2,133.8,75.6,7.9,4.1,1.9,263.8,164.6,84.1,10.7,5.3,2.1,9,0,0,0.5,0,0
2006,51369,-999,0,234.3,148.5,17.9,11,6.2,0.6,286.9,175.2,17.9,13.3,7.2,0.6,316.4,227.5,141.1,11.8,6.9,3.2
2007,51369,-999,0,184.4,108.5,23.3,8.4,4.2,0.6,271,155.3,25.6,12.4,6.1,0.7,68.2,35.1,0,3.4,1.6,0
2008,51369,-999,0,147.5,66.4,10.7,7.3,2.8,0.3,235.4,115.1,19.3,11.3,4.8,0.6,101.6,53.2,16.3,4.7,2.1,0.5
2009,51369,-999,0,123.4,66.4,5.4,5.8,2.6,0.2,165.4,86.1,5.4,7.8,3.5,0.2,124,84.9,41.9,5,2.8,1.2
2010,51369,-999,0,154.3,62.8,17.7,7.5,2.3,0.5,248.8,109.8,20.9,12,4.2,0.6,18.6,3.7,0,1,0.1,0
2011,51369,-999,0,80.1,27.2,2.8,4,1.1,0.1,211.7,97.5,28.4,9.8,3.6,0.9,118,88,14,5.1,3.5,0.4
2012,51369,-999,0,266.3,155.8,49.8,11.6,5.7,1.5,379.1,204.6,53,17.3,7.8,1.6,221.1,166.1,85.2,8.4,5.5,2.3
2013,51369,-999,0,237.8,156.5,41.8,10.3,6,1.2,295.6,189.6,45.1,12.9,7.2,1.2,93.3,40.7,5.3,4.5,1.7,0.2
2014,51369,-999,0,148,57.1,5.4,7.3,2.4,0.1,337.4,165.4,38.4,16,6.5,1.1,62.6,14.3,0,3.4,0.7,0
2015,51369,-999,0,214.2,109.3,27.8,10.1,4.3,0.8,299.5,159.8,36.1,13.8,6.2,1.1,148.2,70.2,5.6,7.3,3,0.2
2016,51369,-999,0,105.7,59.4,22.6,4.5,2,0.7,458.1,285,54.8,20.4,10.9,1.7,58.9,39.5,4.8,2.6,1.6,0.1
2017,51369,-999,0,45.9,26.8,0,2.1,1.1,0,61.5,26.8,0,2.9,1.1,0,126,107.8,36.4,5.2,4.2,1
1981,51371,-999,0,274.8,190.2,95.1,11.8,6.9,2.8,322.3,216.7,95.1,14.3,8.2,2.8,76.3,60.7,26,3.3,2.4,0.9
