year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
2009,51342,-999,1,5.9,11.8,5.1
2010,51342,-999,1,7,14,6
2011,51342,-999,1,5.7,13,6.7
2012,51342,-999,1,6.1,13.7,6.3
2013,51342,-999,1,7.1,15.5,5.3
2014,51342,-999,1,8.4,17.5,6.6
2015,51342,-999,1,4.5,12.7,6.2
2016,51342,-999,1,2.9,6.4,5.6
2017,51342,-999,1,6.3,10,4.9
1981,51344,-999,1,4.4,9.7,7.2
1982,51344,-999,1,3,10,6.5
1983,51344,-999,1,6.3,14.3,6.1
1984,51344,-999,1,3.5,11.4,7.4
1985,51344,-999,1,5.9,12.3,5.3
1986,51344,-999,1,6.3,13.6,8.5
1987,51344,-999,1,7.2,12.5,6.4
1988,51344,-999,1,6.2,13.6,6.4
1989,51344,-999,1,6.8,16.9,5.4
1990,51344,-999,1,5.6,14.1,7.6
1991,51344,-999,1,6.1,10.9,8.1
1992,51344,-999,1,7.3,12.9,7.2
1993,51344,-999,1,6.9,15.2,7
1994,51344,-999,1,6.1,12.3,6.5
1995,51344,-999,1,5.5,13,6.6
1996,51344,-999,1,7.4,16.7,6
1997,51344,-999,1,5.8,12.2,6.5
1998,51344,-999,1,6.3,11.6,7.7
1999,51344,-999,1,6.5,13.3,6.8
2000,51344,-999,1,7.5,13,6.8
2001,51344,-999,1,7.2,12.7,5.6
2002,51344,-999,1,7.3,17.4,5.2
2003,51344,-999,1,5.2,11.3,7.8
2004,51344,-999,1,6.8,14.2,5.4
2005,51344,-999,1,5.7,12.2,7.1
2006,51344,-999,1,8.4,14.2,7.3
2007,51344,-999,1,6.3,12.6,6.4
2008,51344,-999,1,4.6,10.7,6.4
2009,51344,-999,1,6.4,14.9,6.8
2010,51344,-999,1,5.9,12.2,6.6
2011,51344,-999,1,6.9,14.7,8.1
2012,51344,-999,1,6.6,14.5,5.6
2013,51344,-999,1,7.9,15.1,7.5
2014,51344,-999,1,5.9,14.3,8.3
2015,51344,-999,1,4.8,11.1,6.9
2016,51344,-999,1,3.5,8.7,7.7
2017,51344,-999,1,7.9,14.8,6.1
