year,code,ASAL,HeatWDays_Mar,HeatWDays_Apr,HeatWDays_May,HeatWDays_Jun,HeatWDays_Jul,HeatWDays_Aug,HeatWDays_Sep,HeatWDays_Oct,HeatWDays_Nov,HeatWDays_Dec,DrySpell10_Mar,DrySpell4_Mar,DrySpell10_Apr,DrySpell4_Apr,DrySpell10_May,DrySpell4_May,DrySpell10_Jun,DrySpell4_Jun,DrySpell10_Jul,DrySpell4_Jul,DrySpell10_Aug,DrySpell4_Aug,DrySpell10_Sep,DrySpell4_Sep,DrySpell10_Oct,DrySpell4_Oct,DrySpell10_Nov,DrySpell4_Nov,DrySpell10_Dec,DrySpell4_Dec
1996,51371,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0.3,0.8,2.7,0.8,1.2,0.8,1.1,0,1,0,0.4,0.1,1.4,0.1,1.5
1997,51371,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0,0,0.2,1.7,0.4,2.2,0.7,2.2,0.5,1.8,0,4,0,1.6,0,0.1,0,0
1998,51371,0,0,0,0,0,0,0,0,0,0,0,0.5,1.3,0,0.2,0.1,1.2,0.7,1.2,0.3,2.5,0.7,2.4,0,1.6,0,0.7,0.2,1.8,1,2.2
1999,51371,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,1.3,0.4,1.8,1.4,2.7,0.8,1.6,0,1.7,0,0.4,0,0.8,0,1.2
2000,51371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,1,0.8,1.2,0.6,2.3,0.3,1.9,0.5,1.2,0,2.2,0,0.6,0,1
2001,51371,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.4,0,0.4,0,1.4,0.8,2.1,1.1,1.8,0,0.3,0,1.1,0,1.3,0.9,1.2
2002,51371,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,1,0.3,3.1,0.7,2.1,0.4,3.1,0.8,1.9,0,1,0,0.5,0.3,0.9
2003,51371,0,0,0,0,0,0,0,0,0,0,0,0.3,2.1,0,1.2,0,0.9,0.4,1.7,0.7,3,0,2.1,0,0.5,0.3,1.1,0,2.1,0.1,1.5
2004,51371,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0.1,0.4,1.1,1.3,2.4,1,2.9,0.2,2,0,0.5,0.8,1.8,0,1.4,0,0
2005,51371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0.5,0.4,2.7,1,1.7,0.1,2.6,0.5,2.6,0,0.9,0.5,1.9,1,1.6
2006,51371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.3,0.1,2.1,0.7,2.7,1,1.4,0.8,1.7,0.3,1.2,0,0.8,0,0.2
2007,51371,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.1,0,1.5,0.9,1.1,0.9,1.2,0.3,2.3,0.1,1.8,0.2,1.3,0,0.9,0,2.5
2008,51371,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,0,1.3,1,1,0.1,1.9,0.3,1.3,0,0.9,0,0.2,0,1,0,2.4
2009,51371,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.3,0,1.5,0,2.9,1,2.9,0.8,1.9,0,1,0.1,2,0.1,1.6,0,1.3
2010,51371,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0.3,0,0.4,0,1.9,0.8,2,0.9,2.5,0,0.9,0,0.4,0,0.6,0,1.7
2011,51371,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,0,0.7,0,0.9,0.4,1.8,0,1.4,0,0.5,0,1,0,0,0,1.5
2012,51371,0,0,0,0,0,0,0,0,0,0,0,0.2,2.6,0,0,0,0.2,0.3,1.6,0,2.3,0.3,1.1,0,0.9,0,1.3,0,1,0,0.5
2013,51371,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.7,1.3,0.3,2.6,0.4,2,0,1.9,0,1,0.1,2.2,0,1.1,0.2,1.2
2014,51371,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0.5,0,0.3,1,1.2,0.2,2.4,0,0.3,0.1,1,0,0.6,0,0.9,0,1.9
2015,51371,0,0,0,0,0,0,0,0,0,0,0,0.9,2,0,0,0,0,0.1,1.1,1,1.2,0.9,1.9,0.1,0.5,0,1,0,0,0,0.5
2016,51371,0,0,0,0,0,0,0,0,0,0,0,0.8,2.2,0.8,2.8,1,2.1,0.1,1,0,0.3,0,0.1,0,0.6,0,1.5,0.7,2.5,1,1.4
2017,51371,0,0,0,0,0,0,0,0,0,0,0,0.6,2.3,1.8,1.8,1.4,2.2,0,1.3,0.6,1.6,0.6,2.5,0,0.3,1,1.8,1,1.2,0,2
1981,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,1,0,1,0,0,0,1.3,0,1.8,0.2,3.4,0,2.5,0,2.7
1982,51372,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.6,0,0,0,1,0.2,1.6,0,0.8,0,1.4,0,1.7,0,0.7,0,1.5
1983,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.2,1.5,0,1.2,0,0.9,0,1.6,0,0.5,0,1.4,0,1.4,0,1.9,0.5,1.9
1984,51372,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,1.2,0,0.6,0,0,0,2,1,2,0,0.4,1,1
1985,51372,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0.7,0,1.7,0.5,1.8,0.5,1.8,0,1.1,0,1.5,0,1.2,0.2,2.2
1986,51372,0,0,0,0,0,0,0,0,0,0,0,0.3,2.7,0,0,0,0.8,0.8,2,0,2.2,0.3,2.7,0,1.9,0,1.5,0,1.2,0.7,1.2
1987,51372,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,0,0,1,1,1,0.7,2.7,0.2,1.5,0,1.9,0,1.4,1.3,2
1988,51372,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.9,1,2,0.5,1.4,0,1,0,0,0.8,1.7,0,1,0.4,2.2
1989,51372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7,1,2,0.5,1.7,0,0.7,0,1.3,0,0.4,0.7,1,0,0.9
1990,51372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2,0.7,1.2,0,1.5,0,2.2,0,2.4,0.5,2.3,1,1.8
1991,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.4,0,1.3,0.8,2,0.2,1.8,0,1.5,0,1.2,0.2,2,0,2.2
1992,51372,0,0,0,0,0,0,0,0,0,0,0,0.5,2.8,0,1,0,0.9,0,0.9,0,1.5,0,0.9,1,1,0,1,0.4,1.8,0,1.5
1993,51372,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.2,1.8,0,0.5,0,1.2,0.2,2.6,0,2.2,0.9,2,0,2.5,1,1.5,0.2,2
1994,51372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7,0,1.4,0.2,2,0.2,2,0,1.3,0,0.4,0.3,1.9
1995,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.7,0.2,1.5,0,1.5,0.4,1.6,1,2,0,1.7,0,0.2,0,0.2,0.7,2.3
1996,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,0,0.2,0.5,2,0.7,1.5,0.3,1.7,0.2,0.2,0,0.7,0,1,0,3.4
1997,51372,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.3,1.8,0.5,2.5,1,1.4,0.7,2,0.6,3,0,1.7,0,0,0,1
1998,51372,0,0,0,0,0,0,0,0,0,0,0,0.7,1.9,0,0.5,0,0.2,0.4,1.8,0.2,2,0.3,2.3,0,2,0,0.6,0.5,2.7,1,3
1999,51372,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,2,0,2.7,0,2.3,0.4,1.7,0,2.4,0,0.4,0,1,0,2
2000,51372,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.4,0,1.2,0,2.2,0,1.9,0.2,2,1,1.5,0,1.5,0,0,0,2.1
2001,51372,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0.5,0,0.9,0,1,0.3,1.7,0,2,0,0.7,0.3,1.4,0.7,1.2,0.7,2.3
2002,51372,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,0.9,0,2.8,0.6,2,0.3,2.4,0,3,0,1.3,0,1.4,0.8,1.2
2003,51372,0,0,0,0,0,0,0,0,0,0,0,0.7,2.3,0,1.2,0,0,0,1.2,0.2,2,0.2,1.7,0,1.1,0,1.3,0,2.5,0.8,2
2004,51372,0,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0,0.7,1,0.7,2,0.7,1.9,0,1.9,0,1,0.5,2.7,0,2.4,0,1.7
2005,51372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3,0,0.2,0.5,2.2,0,2.5,0,2.8,1,2.5,0.2,1.2,0.5,2.2,1,1
2006,51372,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0,2.5,0,2.5,0.2,2.5,0,2,1,1.6,0,0.7,0,0.9
2007,51372,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1.4,0,0.7,0.2,1.5,0.5,1.4,0,1,0,2.2,0.2,2,0,2.5,0.5,3.5
2008,51372,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.8,0,1.2,0.6,1.7,0,1.2,0.3,1,0,0.7,0,1.5,0.3,1.4,0.4,2.3
2009,51372,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,0,1,0.7,2.6,0.5,2.5,0.2,1.9,0,1.2,0,2.3,0.2,3,0,2.2
2010,51372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,1,0,1.2,0.5,1.2,0.3,2,0,1,0,0.5,0,2.1,0,1.2
2011,51372,0,0,0,0,0,0,0,0,0,0,0,0.3,1.7,1,1.2,0,0.7,0,1.6,0.7,1,0,1.2,0,0.2,0,1,0,0.6,0,1.6
2012,51372,0,0,0,0,0,0,0,0,0,0,0,0.7,2.3,0,0,0,0.7,0,0.5,0,2.1,0.2,0.7,0,1.7,0,2,0,0.4,0.2,2.7
2013,51372,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.7,1.3,0.2,1.5,0.6,2.2,0,1.4,0,1.2,0.2,1,0,1.9,1,1.7
2014,51372,0,0,0,0,0,0,0,0,0,0,0,0.8,2.2,0,2.4,0,0.4,0.7,1.2,0,3,0,0.2,0.2,1.2,0,1.4,0,1.4,0.7,2
2015,51372,0,0,0,0,0,0,0,0,0,0,0,1,1.3,0,0.7,0,0,0,2,1,1,1,2,0.2,2,0,0.7,0,0.7,0,1
2016,51372,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,3,1,2,1,1.4,0,0,0,0,0,0,0,2,1,1.3,1,1.3
2017,51372,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.7,2.5,1,2.8,0,1,1,1,0.5,2.6,0,0.4,1,2,1,1,0.7,1.3
1981,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.2,0,1.2,0,0.6,0,2,0,0.5,0,2,0,2,0.2,3.3
1982,51375,0,0,0,0,0,0,0,0,0,0,0,0.9,1.8,0,0.7,0,0,0,1.5,0,0.9,0,0.5,0,1.2,0,0,0,1,0.1,2
1983,51375,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.5,0,0.1,0,1.1,0.2,1.9,0,0.6,0,1.1,0,0.1,0.1,1.2,0.9,2.6
1984,51375,0,0,0,0,0,0,0,0,0,0,0,1.2,2.7,0,1,0,3.2,0,2.3,0,0.3,0,0.2,0,0.4,0,2.3,0,0.7,1,1
1985,51375,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.2,0,0.9,0,0.5,0.1,1.3,0,1.9,0,1.2,0,1.1,0.2,2.3
1986,51375,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0.9,1.8,0,1.6,0,2.2,0,1.4,0,1.3,0,1,0.8,1.9
1987,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.2,0,0,0,1.1,0.7,1.4,0.1,1.4,0,1.1,0,0,0,0.1,1,1.1
1988,51375,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0.2,1.4,0.1,1.3,0.7,1.1,0,0.6,0,0.6,0,0.3,0,1.1,0.2,2.6
1989,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,0,0.1,0,2.2,0.2,1.6,0,0.9,0,1.7,0,0,0.1,1,0,0.8
1990,51375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.8,0.1,1.9,0.1,0.6,0,0.8,0,0.9,0,2,0.7,1.9
1991,51375,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,1.6,0.5,2.4,0,0.4,0,1.2,0,1,0.2,1.9,0.5,2
1992,51375,0,0,0,0,0,0,0,0,0,0,0,1.2,2.1,0,1,0,0,0,0.4,0,1,0,1.1,0,1.6,0,0.4,0.1,1.1,0,0.5
1993,51375,0,0,0,0,0,0,0,0,0,0,0,0.1,2.4,0,1.6,0,0,0,0.7,0.1,2.9,0,0.9,0,1.1,0,0.6,0.5,1.3,0,2
1994,51375,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0.1,0,0.5,0,1.2,0,0.2,0,0.2,0,0,0.7,2.7
1995,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0.7,0,0.7,0.2,1,0,0.6,0,0.2,0,0.5,0,2.9
1996,51375,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.2,0,0.3,0,0.9,0.7,1.4,0.4,1.5,0,0.4,0,0.3,0,1,0,3.6
1997,51375,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.1,1.2,0,0.2,0.5,2.1,0.1,0.7,0.3,3,0,0.2,0,0,0,0.9
1998,51375,0,0,0,0,0,0,0,0,0,0,0,0.1,2.2,0,0,0,0.7,0,1.4,0.1,1.4,0.1,0.5,0,0.3,0,0.2,0.9,1.1,0.7,3.2
1999,51375,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.2,0,0.6,0.1,1.5,0.6,1.2,0,0.4,0,0.6,0,0,0,0.9,0,1.2
2000,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.2,0,1,0.2,1.5,0,2.2,0.2,1.5,0,1,0,1.1,0,0.7,0,1.7
2001,51375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,0.1,1.2,0,0.6,0,0,0,0.3,0,1.2,0.3,2.4
2002,51375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1,0.2,2.1,0,2,0,0.7,0,0.2,0,0.1,0,0.3
2003,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.1,0,0,0,0.2,0,1.3,0,1.2,0,0.5,0,0.1,0,0.4,0.3,2.1
2004,51375,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.7,1.1,0,2.4,1,1.9,0,0.6,0,0.2,0,0.5,0,1.6,0,1
2005,51375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9,0.6,1.1,0,0.4,0.5,2.5,0,0.3,0.8,1.2,1,1
2006,51375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,1.6,0.5,1.4,0,0.6,0,1.7,0,0.1,0,0.8
2007,51375,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,1.9,0,0.5,0.7,1,0,1,0,0.1,0,0.2,0,1.4,0,0.6,0.7,2.9
2008,51375,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.1,0.8,1.7,0,1.1,0,0.1,0,0.1,0,0,0.8,1,0.1,3.3
2009,51375,0,0,0,0,0,0,0,0,0,0,0,0.9,2.2,0,0,0,1.1,0.2,2.1,0.2,2.9,0,1.4,0,0.1,0,1.3,0.1,0.7,0,1.1
2010,51375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0,0.3,0,0.1,0,2.2,0,0.6,0,0.4,0,0.7,0,1.2,0.3,1.8
2011,51375,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.9,0,0,0,0,0,0.6,0,0.1,0,0.1,0,0.1,0,0,0,1.7
2012,51375,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0.2,0,0.5,0,1.1,0,0.9,0,0,0,0.3,0,0,0,0.5
2013,51375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.8,0,1,0.7,1.7,0,1,0,0,0,0.2,0,1.2,0.2,2.1
2014,51375,0,0,0,0,0,0,0,0,0,0,0,0.3,2.7,0,1.4,0,0,0.2,1.2,0,1.7,0,0,0,0.7,0,0,0,0.4,0,2.8
2015,51375,0,0,0,0,0,0,0,0,0,0,0,1,1.7,0,0.1,0,0,0,0,1,1.4,0.6,1.8,0,0.1,0,0.7,0,0.1,0,1.3
2016,51375,0,0,0,0,0,0,0,0,0,0,0,1,2.1,1,2.2,1.2,2,0.2,2.6,0,0,0,0.7,0,0,0.2,2,0.6,2.1,0.9,1.1
2017,51375,0,0,0,0,0,0,0,0,0,0,0,0.1,2.2,1.4,2,0.4,2.4,0.1,1,0.6,1.2,0.2,2.1,0,1,1,2,1,1,0.8,1
1981,51378,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0.3,0,1.1,0,1.1,0,0.5,0,1,0.2,1.6,0.6,2.8,0,2.2,0.1,2.9
1982,51378,0,0,0,0,0,0,0,0,0,0,0,0.4,3.2,0,0.6,0.1,0.5,0.1,1.5,0.8,1,0.3,0.9,0,2.1,0.1,2.3,0.1,1.2,0,1.4
1983,51378,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.8,1.3,0,1.7,0,1.7,0.4,1.7,0.3,0.7,0.3,2.5,0,2.7,0.3,2.7,0.5,1.4
1984,51378,0,0,0,0,0,0,0,0,0,0,0,1.9,2,0,0.3,1,3,0.1,2.1,0.1,0.2,0,0.1,0,2.4,1,1.6,0,1.7,1,1
1985,51378,0,0,0,0,0,0,0,0,0,0,0,1,1.3,0,0,0,2.2,0.6,2,0.7,1.9,0.6,1.8,0,1.4,0,1.9,0,2.1,0.5,2.5
1986,51378,0,0,0,0,0,0,0,0,0,0,0,0.1,2.9,0,0,0,1.1,0.3,2.4,1,2.5,0.2,2.8,0.5,2.2,0,1.3,0.1,1.7,1,1.5
1987,51378,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,0,1.6,0,0.7,0,1.3,1,1.2,1.1,2.9,0.7,1.8,0.1,2.4,0,2.2,0.7,2
1988,51378,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0.2,0.5,1.5,1,2,0.5,2.1,0,1.6,0.1,1.1,0.7,2,0,1,1,1
1989,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1,0,1.2,1,2.1,0.7,2.1,0.1,1.7,0.4,1.6,0.1,1.3,1,1.1,0.1,1.3
1990,51378,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.3,1.1,1,2.3,0.9,1.2,0.1,2.1,0.4,2.3,0.2,2.8,0.6,2.2,1,1.5
1991,51378,0,0,0,0,0,0,0,0,0,0,0,0.6,1.7,0,0.5,0.2,1.4,0.3,1.3,0.6,1.5,0.7,1.5,0,1.7,0,2.2,0.8,2,0.1,2.2
1992,51378,0,0,0,0,0,0,0,0,0,0,0,0.9,2.2,0,1,0.1,2.2,0.3,1.9,0.1,1.7,0.2,1.7,1,1.4,0.1,1.5,0.8,1.7,0,1.8
1993,51378,0,0,0,0,0,0,0,0,0,0,0,0.1,3.1,0.3,1.7,0,1.4,0.4,1.7,0.3,2.2,0.4,2.8,0.2,2.1,0.3,2.7,1,1.6,0.8,2.2
1994,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1,0.1,1.2,0,1.9,0.5,2.5,0.7,2,0.7,1.9,0.2,2.1,0,1,0.1,2.5
1995,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.2,0.8,1.3,0,1.7,1,1.5,0.9,2.1,0.5,1.7,0.4,0.9,0,0.9,0.6,2
1996,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.1,1.7,0.1,1.4,0.8,2.2,0.9,1.7,0.2,2.3,0.7,1.2,0.1,1.6,0.5,1.2,0.1,3.6
1997,51378,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.5,0.2,1.6,0.7,2.5,0.8,2,1,2,0.2,3.1,0.2,2.2,0,0.5,0,1.2
1998,51378,0,0,0,0,0,0,0,0,0,0,0,1,2.6,0,0.7,0,0.8,1,1.5,0.6,2.1,0.2,2.2,0.1,2,0,0.8,0.2,2.8,0.8,3.2
1999,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.3,0.1,2.6,0.2,2.6,0.3,2.1,1,2.3,0.1,2.9,0.1,2.2,0,1.8,0,2.1
2000,51378,0,0,0,0,0,0,0,0,0,0,0,0.2,2.8,0,1.8,0.5,1.5,0.1,2.1,0.4,2.8,0.4,2.1,0.8,2.1,0.4,1.8,0.1,1.3,0.1,2.6
2001,51378,0,0,0,0,0,0,0,0,0,0,0,0.2,2.9,0,0.7,0,2,0.3,1.4,0.2,1.8,0,2.3,0.1,1.8,0.4,2.1,0.9,1.8,1,1.7
2002,51378,0,0,0,0,0,0,0,0,0,0,0,0.4,1.7,0,1.6,0.3,1.3,0.4,2.7,0.8,2.1,0.2,2.7,0.2,3.2,0,2.6,0.4,2.2,0.7,1.3
2003,51378,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0.2,1.4,0,0.8,0.3,1.6,0.7,2.3,0.7,2.2,0.2,2.4,0.2,1.3,0.5,2.2,0.3,2.5
2004,51378,0,0,0,0,0,0,0,0,0,0,0,0.8,2,0,0.3,1,1,0.7,2.1,1,3,0.4,2.7,0.4,1.1,0.7,2.8,0,2.8,0,2.3
2005,51378,0,0,0,0,0,0,0,0,0,0,0,0.2,1.7,0.4,1.5,0,1,0.4,2.3,0.2,3.1,0.5,2.7,1,2.4,0.3,2.4,0.4,2.4,1,1
2006,51378,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.3,0,1.2,0.5,2.6,0.2,2.1,0.7,2.6,0,2,0.8,2.3,0,1,0,1.5
2007,51378,0,0,0,0,0,0,0,0,0,0,0,0.4,2.2,0,2,0,1.7,0.8,1.4,0.7,1.8,0.2,1.6,0.5,2.2,0.5,1.8,0,2.8,0.3,3.5
2008,51378,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.7,0,1.7,0.2,1.8,0.2,1.6,0.2,1.5,0,1.6,0,1.9,0.1,1.7,0.7,2.5
2009,51378,0,0,0,0,0,0,0,0,0,0,0,1.1,2.4,0,1.4,0,1,1,1.5,0.6,2.7,1,2.2,0.2,1.8,0.3,2.1,0.9,2.9,0.3,2.4
2010,51378,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,1.5,0,1.9,0.2,2,0.7,1.7,0.4,2.3,0,1.2,0,1.3,0,2.7,0.5,1.6
2011,51378,0,0,0,0,0,0,0,0,0,0,0,0.1,1.9,0.9,1.7,0,1.9,0.1,1.9,1,1,0,1.8,0,0.9,0,1.5,0,1.3,0,2.5
2012,51378,0,0,0,0,0,0,0,0,0,0,0,1.2,1.7,0,0,0,1.2,0.4,1.1,0.2,2.2,0.5,1.8,0,2.2,0,2,0.5,1.6,0.8,2.5
2013,51378,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.2,0.7,1.9,0.2,2.7,0.3,2.1,0.2,1.7,0.7,1.9,0,2.7,1,2
2014,51378,0,0,0,0,0,0,0,0,0,0,0,0.3,3,0.4,2.7,0.4,1.4,0.7,1.9,0.2,3.2,0.1,1.3,0.7,1.8,0.7,2,0.2,1.5,1,2.2
2015,51378,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.4,0.4,1.8,1,1.5,0.8,2.3,0.7,2.1,0.1,1.5,0.2,1,0,1.7
2016,51378,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,3,1.1,2,1.1,1.8,0,0.5,0,0.1,0.2,0.8,0.5,1.7,1,1,1,1.3
2017,51378,0,0,0,0,0,0,0,0,0,0,0,0.2,2.8,1.5,2.3,1.2,2.2,0.4,1.8,1,1,0.6,2.4,0,1.8,1,2.2,1,1,1,1.1
1981,51382,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.4,0.4,1.1,0,0,0,0.5,0,1.7,0.5,3.3,0,2.7,1,2.6
1982,51382,0,0,0,0,0,0,0,0,0,0,0,0.4,2.9,0,1,0,0.1,0.1,2.1,0.6,1.4,0.1,0.8,0,1.8,0,1.9,0,1.3,0.5,2.3
1983,51382,0,0,0,0,0,0,0,0,0,0,0,0.3,4,0.7,1.4,0,1.6,0.4,2.3,0,1.6,0,0,0,2.3,0,2.2,0.6,2.8,0.8,1.5
1984,51382,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,1.6,1,2.7,0,1.4,0,2,0,0.7,0,2.6,0.6,2.8,0,2.3,1,1.2
1985,51382,0,0,0,0,0,0,0,0,0,0,0,1,1.8,0,0,0,0.8,0.5,2.9,0.3,1.8,0.3,2.3,0,0.5,0,2.6,0,1.5,0.8,2.6
1986,51382,0,0,0,0,0,0,0,0,0,0,0,0.8,1.8,0,0.3,0,1,0,2.6,0.6,2.1,0,2.3,0.9,2,0.3,2.1,0,2.2,1,2.3
1987,51382,0,0,0,0,0,0,0,0,0,0,0,0.8,2.1,0,1.6,0,0,0,1.2,1,1.4,0.8,1.8,1,1.7,0.5,2.7,0,2.8,1,1.3
1988,51382,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0.6,0.9,1.5,0.8,1.9,0.2,1.9,0,0.3,0.3,1.2,0.4,2.1,0,2.4,1,1.3
1989,51382,0,0,0,0,0,0,0,0,0,0,0,0.1,1.8,0.4,1.3,0.2,2.1,0,3.7,0,1.1,0.2,1,0.1,1.3,0.1,2.5,1,1,0.7,1.8
1990,51382,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.5,0.3,1.8,0.9,2.7,0.2,1.5,0.3,2.9,1.2,2,0.3,2.8,0.6,1.8,1,2.5
1991,51382,0,0,0,0,0,0,0,0,0,0,0,1.3,2.2,0,1,0,1.6,0,1.8,1.1,2.3,0.1,1.1,0.8,1.8,0,2.3,0.8,2,0.6,2.4
1992,51382,0,0,0,0,0,0,0,0,0,0,0,1.5,2.3,0.6,1.4,0.8,2.4,0.1,2.3,0,0.7,0,0.4,1,1,0,2,1,1.8,0,3.3
1993,51382,0,0,0,0,0,0,0,0,0,0,0,1.3,2.7,0.7,1.7,0,0.5,0.8,1.5,0.2,1.9,0,2.8,0.6,2,0,1.8,0.6,1.8,0.9,1.8
1994,51382,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.2,0.9,0.1,1.2,0.2,2.3,0,1.6,0,2.2,0.9,2.2,0.9,2.2,0,1,1,3
1995,51382,0,0,0,0,0,0,0,0,0,0,0,0.4,1.7,0,1.4,0.7,1.8,0.1,1.8,0.8,1.3,0.8,1.6,1,1.1,0.7,1.8,0,1.7,1.3,2.3
1996,51382,0,0,0,0,0,0,0,0,0,0,0,0.2,2.2,0.1,2.4,0.2,1.9,0.7,1.5,0,1.7,0.1,1.2,0.3,2.2,0.2,1.9,0.4,1.8,0.9,3.2
