year,code,name,ASAL,AvgTemp_MarMay,SDTemp_MarMay,Cum_DD_MarMay,HeatWDays_MarMay,MaxTemp_MarMay,AvgTemp_MarAug,SDTemp_MarAug,Cum_DD_MarAug,HeatWDays_MarAug,MaxTemp_MarAug,AvgTemp_OctDec,SDTemp_OctDec,Cum_DD_OctDec,HeatWDays_OctDec,MaxTemp_OctDec,SeasRain_MarMay,Prec2Months_MarMay,PrecStDev_MarMay,PrecCoefVar_MarMay,DrySpell_MarMay,DrSpell10_MarMay,DrSpell20_MarMay,MaxRain_MarMay,SeasRain_MarAug,Prec2Months_MarAug,PrecStDev_MarAug,PrecCoefVar_MarAug,DrySpell_MarAug,DrSpell10_MarAug,DrSpell20_MarAug,MaxRain_MarAug,SeasRain_OctDec,Prec2Months_OctDec,PrecStDev_OctDec,PrecCoefVar_OctDec,DrySpell_OctDec,DrSpell10_OctDec,DrSpell20_OctDec,MaxRain_OctDec
1998,51338,-999,1,19.4,0.7,1788.3,0,25.2,18,1.6,3317.9,0,23.5,18.3,0.6,1683.8,0,24.7,654.9,308,14.8,2.1,16.3,2.7,0.2,67.1,895,308,12.9,2.7,21.5,4.3,1.3,87.5,243.2,218.1,7.9,3.1,13.6,1.5,0,63.2
1999,51338,-999,1,18.9,1,1742.3,0,24.9,17.9,1.3,3298.6,0,23.7,17.9,0.8,1646.6,0,23.4,410.5,316.3,9.4,2.1,11,0.7,0,62.8,521.5,316.3,7.3,2.6,15.2,2.2,0.3,64.3,419.2,334.3,14.7,3.1,13.8,1,0.1,112
2000,51338,-999,1,19.5,0.7,1791.9,0,23.5,18.2,1.4,3348.8,0,22.7,18.5,0.6,1706.2,0,23.9,247.9,159.8,7.9,2.9,22.8,1.6,0.7,50,339.9,159.8,6,3.2,23.2,3.4,1.3,50.7,329.6,264.1,9.9,2.8,16.5,2.6,0.2,58.3
2001,51338,-999,1,18.7,0.6,1715.9,0,25.2,17.6,1.2,3244.7,0,23.4,18.3,0.8,1681.2,0,24.1,534.5,428,12.5,2.2,17.2,2,0.1,74.8,671.2,428,9.6,2.6,17.5,4.5,0.1,74.8,331.1,289.7,8.6,2.4,10.7,0.4,0.1,63.5
2002,51338,-999,1,18.9,0.8,1740.7,0,25.6,17.8,1.4,3272.2,0,23.6,18.2,0.7,1670.4,0,24.2,599.8,379.3,13.9,2.1,19.8,1.9,0.8,64.5,711.6,379.3,10.3,2.7,24.2,3.2,0.8,64.5,455.9,331.7,10.7,2.2,21.3,1.5,0.6,59.6
2003,51338,-999,1,19.4,1,1783.1,0,25.2,18.1,1.6,3322.6,0,23.6,18.5,0.7,1698,0,24.6,674.9,364.7,15.7,2.2,22,2.3,1,75.8,817.5,364.7,12.2,2.8,25.2,4.3,1.6,75.9,390.5,326.3,8.3,1.9,11.8,0.6,0.3,54
2004,51338,-999,1,19.2,0.9,1764.7,0,25.2,18,1.4,3316.7,0,23.6,18.5,0.6,1703.5,0,23.8,393.4,269,12.1,2.8,21.2,2.7,0.8,80.6,499.8,269,9,3.3,24.2,4.3,1.3,80.6,357.2,284.1,9.3,2.4,17.1,0.7,0.5,68.6
2005,51338,-999,1,19.7,1,1808.8,0,24.8,18.2,1.8,3341.4,0,23.6,19,0.5,1744.9,0,24,505.2,256.6,14.7,2.7,17,2.4,0,81.9,631.7,256.6,10.9,3.2,18,3.5,0.1,81.9,215.5,189.5,4.1,1.8,15.7,0.9,0.2,16.4
2006,51338,-999,1,19.2,0.8,1768.5,0,25.1,18.2,1.3,3350.3,0,23.2,18.4,0.6,1696.9,0,24.5,518.1,367.7,13.5,2.4,16.3,1.1,0.3,81.8,641.1,367.7,10.3,3,20.2,3.8,0.7,82.4,678.8,492.7,17.3,2.3,20,2.6,0.8,101.2
2007,51338,-999,1,19.3,0.7,1776.1,0,25.1,18.1,1.4,3327.5,0,23.9,18.3,0.5,1685.2,0,23,466.8,249.3,17.5,3.3,16.8,2.7,0.4,129,704.7,249.3,14.3,3.7,39.3,4.5,1.4,129.9,327.7,283.4,6.2,1.8,10.1,0.4,0.1,32.3
