year,code,name,ASAL,AvgTemp_MarMay,SDTemp_MarMay,Cum_DD_MarMay,HeatWDays_MarMay,MaxTemp_MarMay,AvgTemp_MarAug,SDTemp_MarAug,Cum_DD_MarAug,HeatWDays_MarAug,MaxTemp_MarAug,AvgTemp_OctDec,SDTemp_OctDec,Cum_DD_OctDec,HeatWDays_OctDec,MaxTemp_OctDec,SeasRain_MarMay,Prec2Months_MarMay,PrecStDev_MarMay,PrecCoefVar_MarMay,DrySpell_MarMay,DrSpell10_MarMay,DrSpell20_MarMay,MaxRain_MarMay,SeasRain_MarAug,Prec2Months_MarAug,PrecStDev_MarAug,PrecCoefVar_MarAug,DrySpell_MarAug,DrSpell10_MarAug,DrSpell20_MarAug,MaxRain_MarAug,SeasRain_OctDec,Prec2Months_OctDec,PrecStDev_OctDec,PrecCoefVar_OctDec,DrySpell_OctDec,DrSpell10_OctDec,DrSpell20_OctDec,MaxRain_OctDec
1999,51347,-999,1,20.6,1,1894.3,0,26.1,19.5,1.4,3587.6,0,24.8,19.5,0.9,1790.2,0,24.5,314,268,7.9,2.3,13.1,1.9,0,54.8,344.5,268,5.8,3.2,32.9,4.5,1.7,54.8,423.8,306.1,14.5,3.2,23,2.2,1,100.3
2000,51347,-999,1,21,0.8,1936.2,0,24.7,19.7,1.5,3627.3,0,23.7,20.2,0.6,1857.6,0,24.8,195.2,160.7,6.9,3.2,23.8,3.4,0.9,39.6,215.2,160.7,5,4.3,35.2,6.5,2,39.6,371.2,291.8,11.3,2.8,13.2,2.3,0,59.8
2001,51347,-999,1,20.4,0.7,1876.1,0,26.3,19.3,1.4,3543.7,0,24.5,19.9,0.8,1828.5,0,25.2,435.3,375.3,11.1,2.4,22,2.1,0.8,71.5,462.6,375.3,8.2,3.3,31.8,5.4,2.1,71.5,401.6,367.4,20.6,4.7,18.3,1.7,0.1,168.4
2002,51347,-999,1,20.5,0.9,1890.3,0,26.7,19.3,1.5,3554.3,0,24.7,19.7,0.7,1815.5,0,25.3,526.4,380.3,13.7,2.4,20.9,2.8,1.1,72.9,553.5,380.3,10.1,3.4,37.8,5.5,1.5,72.9,413.5,276.9,11.7,2.6,15.7,1.9,0.1,70.8
2003,51347,-999,1,21,0.9,1931.7,0,26.3,19.6,1.6,3609.3,0,24.6,20,0.7,1843.5,0,25.5,426.1,272,11.4,2.5,22.7,2.4,1.2,55.1,452.4,272,8.3,3.5,43.1,4.9,2.6,55.1,399.8,311.6,12.8,2.9,21.8,1.3,1,85.4
2004,51347,-999,1,20.8,0.8,1912.3,0,26.4,19.6,1.4,3600.2,0,24.7,20.1,0.7,1851.4,0,24.8,237.4,197.4,7.8,3,20.9,2.6,0.5,55,254.4,197.4,5.6,4.1,44.1,4.8,2,55,385.3,316.9,14.4,3.4,21.9,2.9,1.2,103.6
2005,51347,-999,1,21.3,1,1959.1,0,25.8,19.7,1.8,3626.6,0,24.6,20.5,0.5,1887.5,0,25,336.1,199.2,10.7,3,18.4,3.5,0.4,64.6,378,199.2,7.8,3.8,35.4,6.4,1.7,64.6,226,211.4,8.1,3.3,22.2,1.5,0.9,55.6
2006,51347,-999,1,20.9,0.8,1920.6,0,26.3,19.8,1.4,3636.4,0,24.3,20,0.6,1841.8,0,25.5,450.1,320.3,13.3,2.7,18.4,1.7,0.4,87.2,473.9,320.3,9.7,3.7,31.7,4.7,2.8,87.2,831.1,579.5,20.4,2.3,23,2.3,0.9,103.2
2007,51347,-999,1,21,0.7,1929.9,0,26.2,19.7,1.5,3625.6,0,25,19.9,0.6,1829,0,24,358.6,254.2,10.4,2.7,14.5,2.9,0.1,65.5,394.2,254.2,7.6,3.6,34.6,6.2,1.5,65.5,365.4,317.5,13.2,3.3,15.1,1.9,0.1,86.2
2008,51347,-999,1,20.5,0.8,1883,0,26.3,19.4,1.4,3561.1,0,24.5,20.2,0.7,1860.1,0,25.7,339.1,316.5,9.2,2.5,18.7,3,0.2,56.4,363.2,316.5,6.7,3.4,38.9,5.5,1.9,56.4,311.1,286.8,11.6,3.4,22.9,4,1.1,68.7
2009,51347,-999,1,21.5,0.9,1980.8,0,26.1,20.2,1.6,3723.8,0,24.8,20.5,0.6,1882.2,0,24.5,252.5,183.2,8.4,3.1,15.7,2.1,0,58.7,266.6,183.2,6.1,4.2,54.3,4,1.3,58.7,381.8,299.2,12.7,3.1,14,2.2,0,107.1
2010,51347,-999,1,20.9,0.7,1922.8,0,25.6,19.8,1.3,3637.5,0,24.4,20.2,0.6,1860.6,0,25.9,465.8,375.3,14.3,2.8,13.2,1.6,0,96.2,496.8,375.3,10.4,3.8,30.2,4.8,2.3,96.2,298.4,266.5,8.4,2.6,17.6,1.8,0.7,60.8
2011,51347,-999,1,21.3,0.7,1958,0,27,20.1,1.4,3704.8,0,25.6,20,0.7,1838,0,25.1,309.4,197,11.3,3.3,17.4,3.5,0.1,82.2,336.9,197,8.2,4.4,33.4,7.2,2,82.2,551.3,482.5,14,2.3,19.1,2.9,0.6,68.8
2012,51347,-999,1,20.8,0.9,1915.9,0,26.7,19.5,1.6,3596.1,0,24.9,20.1,0.8,1849,0,25.4,446.7,332.2,11.5,2.4,25.5,2,1.6,60.6,480.6,332.2,8.5,3.3,28.8,6,2.5,60.6,473.2,363.9,14.5,2.8,15.6,1.7,0.2,83.4
2013,51347,-999,1,20.7,1,1902,0,25.9,19.3,1.7,3546.2,0,24.3,-999,-999,-999,-999,-999,461.3,431.4,10.9,2.2,16.1,2.7,0.1,55.2,491.6,431.4,8.1,3,25.8,6.1,1.2,55.2,263.5,186.4,11,3.8,14.3,2.4,0,93
1981,51348,-999,1,25.5,1.1,2333.5,0.4,30.9,24.7,1.2,4523.7,0.4,29.6,25.7,0.7,2362.8,0,29.4,335.9,299.5,5.4,1.5,22.9,1,0.9,23.7,339.2,299.5,4.3,2.4,105.8,1.4,1.2,23.7,69.4,42.5,2.2,3.6,21.5,2.3,1.8,15.6
1982,51348,-999,1,26.1,1.1,2385.3,0.1,30.8,25.1,1.3,4605.9,0.1,29.3,24.9,0.6,2294,0,29.8,185.8,176.6,5.7,2.9,27.9,2.3,1.6,30.4,187.4,176.6,4.2,4.2,110.2,2.7,2,30.4,191.6,154.2,5.3,2.7,20.3,2.8,0.6,28.2
1983,51348,-999,1,27.2,1,2382.2,0.5,31.6,26,1.5,4657,0.5,30.3,25.9,0.6,2381.9,0,30.1,84.2,70.1,4.9,5.6,35.4,2.8,1.9,41.1,87.4,70.1,3.5,7.9,105.7,3.3,2.2,41.1,80.7,33.7,3.8,4.9,25.7,3,1.5,32.6
1984,51348,-999,1,26.7,0.9,2410.8,0.3,30.8,25.3,1.6,4610.6,0.3,29.5,24.7,0.7,2273.5,0,29.5,43.8,41.6,2.2,4.8,36.2,3.3,1.7,16.7,45.1,41.6,1.6,6.8,119.3,3.6,2,16.7,191.5,131.8,6.1,3.2,19.8,2.6,0.4,43.1
1985,51348,-999,1,25.8,1,2375.5,0.2,30.7,24.7,1.4,4551.4,0.2,29.4,25.2,0.6,2322.3,0,29.6,203.2,193.6,7.4,3.2,26.6,2.3,1.1,58.1,205.4,193.6,5.3,4.6,111.4,2.5,1.6,58.1,76.2,54.9,2.4,3.1,20.7,2.9,1,15.4
1986,51348,-999,1,26.2,1,2375.1,0.4,30.9,25,1.5,4559.1,0.4,29.4,25.5,0.8,2347.4,0,30.1,195.4,188.7,5.4,2.6,28.9,2.9,1.1,29.3,198.6,188.7,4,3.8,112.9,3.3,1.3,29.3,162.9,81.2,5.4,3.1,21,3.5,1.1,33.8
1987,51348,-999,1,27.2,1.1,2375.5,0.4,31.6,25.7,1.7,4608.8,0.4,30.1,26.5,0.7,2441.9,0,30.6,106.3,98.8,3.9,3.4,26.2,3.3,0.8,25.1,109.6,98.8,2.8,4.9,106.5,3.8,1.3,25.1,59.8,38.6,2.2,3.6,30.5,3.3,1.1,14.4
1988,51348,-999,1,26.6,1.2,2366.2,0.5,31.4,25.5,1.6,4601,0.5,30.3,25.1,0.7,2308.1,0,29.9,208.9,204.5,5.8,2.6,29.4,2.9,1.1,32.2,211.8,204.5,4.3,3.8,113.3,3.1,1.4,32.2,162,78,5.3,3.2,26.1,2.4,1.5,33.2
1989,51348,-999,1,25.7,0.9,2366.9,0.5,30.7,24.6,1.4,4533.8,0.5,29.5,24.9,0.7,2292.8,0,29.9,171.2,161.2,5.5,3,24.8,2.5,1.6,35.4,173.6,161.2,4,4.3,110.2,2.7,1.9,35.4,153.2,110.6,4.1,2.6,19,2.3,0.5,24.9
1990,51348,-999,1,25.6,0.7,2352.1,0,29.7,24.7,1.1,4545.4,0,28.9,25.2,0.8,2318.6,0,29.7,265.6,262.1,6.8,2.4,34.7,1.5,0.9,37.3,267.6,262.1,5,3.5,120.2,1.7,1.1,37.3,186.5,103.5,6.3,3.2,19.1,3.7,0.2,40.1
1991,51348,-999,1,26.6,0.8,2418.1,0.4,31.4,25.2,1.6,4611.8,0.4,29.6,25.6,0.7,2358.7,0,30.4,123,114.6,5.1,3.9,26.8,3.7,0.8,37,126.2,114.6,3.7,5.5,108.9,4.1,1.3,37,113.4,48.3,4.5,3.9,24.1,2.7,0.9,31.5
1992,51348,-999,1,26.9,1.1,2397.3,0.7,31.6,25.4,1.8,4605.1,0.7,29.9,25.4,0.6,2332.8,0,30,155.2,149.6,7,4.3,30,2.7,1.9,50.8,156.9,149.6,5,6.1,113.2,3,2.1,50.8,180.1,92.1,5.9,3.1,19.7,2.3,0.6,40.2
1993,51348,-999,1,26.3,0.8,2412.7,0.5,31.2,25.1,1.5,4607.5,0.5,29.7,25.6,0.6,2352.8,0,30.2,82.4,72.6,2.9,3.4,30.2,2.7,1.5,18,83.9,72.6,2.1,4.8,113.8,2.9,1.8,18,120.2,96.4,6.3,5,27.7,3.2,1.5,53.7
1994,51348,-999,1,26.8,1,2393.6,1,31.7,25.5,1.6,4622.3,1,30.1,25.1,0.8,2312,0,29.4,84.7,80.9,4.3,5.1,30.4,3.8,0.8,33.4,87.8,80.9,3.1,7.2,111.8,4.3,1.3,33.4,243.7,188,7.3,2.9,22,3,1.1,39.8
1995,51348,-999,1,26.3,0.8,2400.6,0.3,30.8,25.4,1.2,4649.1,0.3,29.8,25.4,0.6,2338.8,0,29.9,229.2,224,8.7,3.5,27.7,3.4,0.8,54.3,231.4,224,6.3,5,109.2,3.8,1.3,54.3,116,73.6,4.1,3.4,23.5,2.5,1.2,28.1
1996,51348,-999,1,26.7,0.8,2442.7,0.5,31.3,25.2,1.6,4632.9,0.5,29.5,25.7,0.8,2362.9,0,30.3,61.9,56.6,3.4,5.2,36.1,3.3,1.4,27.8,65.7,56.6,2.4,7.3,113.8,3.8,1.8,27.8,98.1,87.2,5.3,5,32.1,2.9,1,43.3
1997,51348,-999,1,26.1,1.2,2350,0.5,30.7,25.4,1.2,4624.3,0.5,29.9,24.7,0.7,2275.2,0,28.3,267.9,252.6,7.4,2.5,29.6,2.3,1.2,37.1,270.2,252.6,5.4,3.7,115,2.6,1.3,37.1,566.8,403.5,12.3,2,10.8,0.6,0,69.7
1998,51348,-999,1,26.6,0.8,2439.3,0.5,31.5,25.3,1.6,4635.6,0.5,30,25.6,0.6,2351.6,0,30.2,138.3,100.9,5,3.5,22.7,3.3,1.8,32.6,141.7,100.9,3.7,5,106.1,3.6,2.2,32.6,57.8,45.8,2,3.5,26.7,3.1,1.3,12.6
1999,51348,-999,1,26.4,1.1,2389.1,0.5,31.2,25.3,1.5,4609,0.5,29.9,25.2,0.8,2314.5,0,29.5,101.7,98.9,4.4,4.2,37.7,3,1.1,29.9,103.7,98.9,3.1,6,123.6,3.2,1.2,29.9,145,113.5,5.7,3.7,21,3.4,0.5,39.3
2000,51348,-999,1,26.9,0.8,2435.9,0,29.6,25.5,1.5,4664.1,0,28.9,26.1,0.6,2405.1,0,29.7,24,20.4,1.1,4.7,39.1,2.6,2.1,8,25.8,20.4,0.8,6.7,122.7,2.9,2.2,8.1,102.3,75.4,3.6,3.4,24.8,2.9,0.9,22.5
2001,51348,-999,1,26.5,0.8,2399.7,0.4,31.4,25.3,1.5,4613.4,0.4,29.6,25.6,0.8,2355,0,30.4,143.6,140.8,5.2,3.5,34,2.1,1.9,31.5,145.8,140.8,3.8,4.9,116.4,2.5,2.2,31.5,135.3,104.5,5.6,3.7,22.4,3.4,0.9,41.2
2002,51348,-999,1,26.3,1.2,2342.5,0.5,31.6,25.1,1.5,4552.9,0.5,30,25.4,0.8,2336.9,0,30,219.8,206.5,7.6,3.3,23.5,3.2,1.1,49.4,221.3,206.5,5.5,4.8,110,3.3,1.2,49.4,265,145.3,10.7,3.7,26,2.4,1.7,70.1
2003,51348,-999,1,26.7,1,2372.5,0.5,31.2,25.5,1.5,4614.9,0.5,29.7,25.5,0.7,2345.8,0,30.2,213.3,192.6,7.9,3.4,29.2,2.9,2,48.8,215.6,192.6,5.7,4.9,115.1,3.1,2.1,48.8,151.5,97.9,5.4,3.5,22.9,2.8,1.6,36.2
2004,51348,-999,1,26.6,0.9,2410.6,1,31.6,25.5,1.4,4643.7,1,30.1,25.6,0.7,2350.8,0,29.4,159.3,151,6.9,4.1,28.2,3.1,0.9,49.6,161.5,151,4.9,5.8,112.5,3.4,1.2,49.6,163.2,132.2,5.9,3.3,22,3.7,0.9,37.3
2005,51348,-999,1,27.3,1,2377.7,0.1,30.8,25.8,1.8,4613.4,0.1,29.8,26.1,0.5,2404.7,0,29.9,96.3,79.7,4.6,4.7,28.1,3.5,1.6,35.5,98.9,79.7,3.3,6.7,100.2,4.2,2.2,35.5,70.6,57.9,2.4,3.4,23.4,2.8,1.3,16.7
2006,51348,-999,1,26.8,1,2391.5,0.5,31.3,25.8,1.3,4665.5,0.5,29.5,25.3,0.6,2326.5,0,30.3,123.5,116.5,6.4,5,32.1,3.3,1.1,54.6,126,116.5,4.6,7,119.1,3.5,1.2,54.6,245,172.1,6.9,2.7,20.2,2.7,0.9,41.6
2007,51348,-999,1,27.1,0.7,2395.4,0.5,30.7,25.9,1.4,4674,0.5,29.9,25.5,0.6,2343.4,0,28.3,91.9,81.4,3.8,4,30.4,3.4,1.3,25.9,95.3,81.4,2.8,5.7,112.1,3.8,1.7,25.9,108.5,85.3,4,3.6,23,2.6,1.6,29.3
2008,51348,-999,1,26.3,1,2399.8,0.5,31.5,25.3,1.3,4635.4,0.5,29.9,25.9,0.8,2380.3,0,30.3,121.9,119.9,5.1,3.9,36.2,3,1.7,34.9,123.2,119.9,3.6,5.5,116.9,3.5,2.1,34.9,105.2,92.1,3.9,3.5,34.2,2.4,1.5,25.4
2009,51348,-999,1,27.4,0.9,2366.4,0.4,31.2,26.2,1.4,4672,0.4,29.9,26.1,0.7,2401.1,0,29.5,61.8,53.7,3.3,5,36.9,2.7,2.2,23.7,62.8,53.7,2.4,7.1,122.6,2.8,2.3,23.7,137.5,82,4.6,3.3,21.3,3.1,0.6,29.8
2010,51348,-999,1,26.7,0.6,2451.7,0,30.8,25.7,1.3,4718.9,0,29.8,26.2,0.5,2407.9,0.1,31.1,183.5,173.7,5.7,2.9,27.6,3,1.1,36.1,186,173.7,4.1,4.2,111.3,3.3,1.5,36.1,76.3,63,2.8,3.6,25.8,3.7,1.2,20.2
2011,51348,-999,1,27.3,0.7,2425,0.6,32.2,26.2,1.3,4731.4,0.6,30.8,25.1,0.8,2313,0,29.5,35.3,28,1.6,4.5,33.5,3.4,1.4,12.2,38.6,28,1.2,6.4,116.2,3.7,1.7,12.2,253.7,210.8,8,3,25.2,3.5,0.8,43.4
2012,51348,-999,1,26.6,0.8,2428.6,0.8,31.7,25.5,1.3,4679.6,0.8,30.3,25.7,0.7,2367.2,0,30.3,132.6,123.7,4.6,3.4,29.8,2.4,1.6,27.8,135.4,123.7,3.3,4.8,112,2.8,2,27.8,131.4,85,5.1,3.8,20.7,3.3,0.6,35
2013,51348,-999,1,26.1,1.1,2363.3,0.4,30.5,24.9,1.5,4553.1,0.4,29.3,-999,-999,-999,-999,-999,233.1,231.2,7.7,3.1,37.6,2.1,1,43.9,235.1,231.2,5.6,4.4,118.1,2.6,1.3,43.9,108.2,86.6,5.3,4.6,26.8,2.7,1.3,45
1981,51349,-999,1,24.8,1,2277.1,0,30.2,23.6,1.5,4334.7,0,28.6,24.7,0.7,2273.4,0,29.3,491,414.2,7.4,1.4,17.5,0.9,0.4,39,512.1,414.2,5.9,2.2,45.9,3.5,2.4,39,277.3,169.7,4.4,1.5,10.5,0.5,0,21.3
1982,51349,-999,1,25,1.2,2304.5,0,30.2,23.9,1.6,4391,0,28.7,24.1,0.6,2221.6,0,29.6,243.8,190.4,6.4,2.5,20.2,2.1,0.6,34,263,190.4,4.7,3.3,49.6,5.3,2,34,585.9,430.5,13.8,2.2,18.6,1.1,0.5,75.6
1983,51349,-999,1,26.2,1.1,2406.6,0,31,24.7,1.7,4545.7,0,29.6,24.8,0.6,2283.2,0,29.7,112.4,94.7,3.7,3.1,21.7,2.9,0.8,25.6,128.1,94.7,2.7,4,47.3,5.8,2.1,25.6,231.3,104.3,7.2,2.9,19.8,2.4,0.5,47
1984,51349,-999,1,25.5,1,2349.6,0,30.3,23.9,1.9,4402.1,0,28.8,23.8,0.7,2192,0,29.3,139.4,132,4.6,3,20.7,4,0.4,30.1,156.8,132,3.3,4,50.6,6.3,2.3,30.1,547.9,435.2,14.3,2.4,17.9,1.8,0.2,77.9
1985,51349,-999,1,24.9,0.9,2293.6,0,30.1,23.6,1.5,4345.7,0,28.7,24.2,0.6,2223.2,0,29.3,281.4,248.7,7.3,2.6,18.4,2.5,0.4,40.3,297,248.7,5.4,3.5,46,5,2.7,40.3,294.9,212.3,8.5,2.6,17.1,1.8,0.5,57.4
1986,51349,-999,1,25.1,1.3,2310.1,0,30.4,23.7,1.8,4354.9,0,28.7,24.8,0.8,2277.3,0,29.9,289.2,250.4,7.4,2.4,21.5,2.3,0.6,42.7,306.1,250.4,5.5,3.3,51,4.7,1.9,42.7,461,311.5,10.8,2.2,22.4,1.7,0.7,59
1987,51349,-999,1,26.1,1.3,2404.5,0,30.9,24.4,2,4494.5,0,29.3,25.6,0.6,2354.8,0,30.1,202.8,163.8,6.1,2.8,21.1,2.4,0.5,36,230.4,163.8,4.5,3.6,38.6,5.5,2,36.1,153.3,121.8,6.2,3.7,24.9,3,1.3,40.4
1988,51349,-999,1,25.6,1.2,2351.7,0,30.9,24.2,1.7,4457.5,0,29.5,24.3,0.7,2239.4,0,29.3,285.7,270.3,7.3,2.4,20.5,2.1,0.4,37.6,302.5,270.3,5.4,3.4,48.8,4.8,2.1,37.6,459.1,256.1,10.2,2.1,20.2,2,0.5,53.3
1989,51349,-999,1,24.7,1,2275.4,0,30,23.4,1.6,4313.1,0,28.6,24.1,0.6,2217.6,0,29.5,287.7,248.7,8,2.6,20.2,3.1,0.8,41.5,304.9,248.7,5.9,3.6,56.1,5.3,1.9,41.5,392,282.9,8.8,2.1,15.4,2,0.1,49.1
1990,51349,-999,1,24.7,0.8,2268.4,0,29.2,23.5,1.4,4323.5,0,28.2,24.4,0.8,2245.7,0,29.3,392,354.4,8.2,1.9,23.1,1.6,0.9,42.9,406.5,354.4,6.2,2.8,61.3,3.5,1.7,42.9,420.2,242.7,13.9,3,16.5,2.3,0.1,92.8
1991,51349,-999,1,25.5,1,2342.5,0.2,30.7,24,1.8,4408.5,0.2,28.8,24.7,0.7,2271.2,0,29.8,241.7,203.2,7.8,3,15.3,3.9,0.2,50,271.1,203.2,5.7,3.9,40.2,6.7,2.6,50,317,178.4,11,3.2,18.4,2.1,0.7,72.7
1992,51349,-999,1,25.8,1.2,2376,0,30.9,24.2,2,4444.7,0,29,24.6,0.7,1696.3,0,29.6,231.3,198.3,8.3,3.3,23,2.3,1.4,54,248.5,198.3,6,4.5,50.5,5.1,2.6,54,446.3,259.1,13.2,2.7,12.8,1.3,0.1,85.9
1993,51349,-999,1,25.5,0.8,2348.2,0,30.9,24,1.7,4424.4,0,29.1,24.9,0.7,2287.5,0,29.8,109.1,92.6,3.2,2.8,20.2,3.4,0.8,19.5,125.5,92.6,2.4,3.5,48.9,5.8,2.3,19.5,281.1,179.6,10.7,3.5,23.8,2.5,1.2,75.7
1994,51349,-999,1,25.7,1.1,2367.1,0,30.9,24.3,1.7,4462.2,0,29.2,24.4,0.8,2243.4,0,29,177.7,154.1,6.6,3.5,17.1,2.6,0.3,48,195.7,154.1,4.8,4.6,36.8,5.6,2.2,48,586.3,385.6,17.1,2.7,18.4,2.2,0.3,94.2
1995,51349,-999,1,25.4,0.8,2333.4,0,30.4,24.1,1.4,4439.5,0,29.1,24.5,0.6,2258.3,0,29.5,217.9,196.4,7.2,3.1,22.7,3.6,1.1,41.4,236.2,196.4,5.2,4.2,47.8,6.7,2.2,41.4,288.6,194.6,11.1,3.5,23.1,2.3,0.9,75.1
1996,51349,-999,1,25.5,0.9,2347.5,0,30.5,24,1.7,4417.9,0,28.8,24.8,0.8,2282,0,29.8,174.4,149.2,6.4,3.5,24.6,2.8,0.8,45.7,189.8,149.2,4.6,4.6,46.5,5.9,2.4,45.7,233.4,213.5,10,4,20.1,2.8,0.5,69.7
1997,51349,-999,1,25.3,1.2,2330.4,0,30.5,24.3,1.4,4473.6,0,29.2,24.1,0.6,2218.5,0,28.1,329.3,283.2,9.2,2.7,27.8,2.5,1.8,52.9,345.5,283.2,6.8,3.7,51.6,5,3.4,52.9,749,499,16,2,11.5,0.6,0,81.7
1998,51349,-999,1,25.7,0.9,2362.4,0,30.4,24.2,1.8,4452.4,0,28.9,24.7,0.6,2271,0,29.9,266.4,197.2,7.7,2.7,22.3,2.8,1.2,44.2,288.8,197.2,5.7,3.6,32.8,5.9,3.5,44.3,177,144.7,6.8,3.4,14.1,2.2,0.2,54.9
1999,51349,-999,1,25.3,1.2,2328.2,0,30.5,24,1.7,4412.4,0,29,24.2,0.8,2223.5,0,29,203.2,185.6,6.3,2.9,20.7,3.3,0.7,41.4,222.3,185.6,4.6,3.8,41,6.8,2.1,41.4,353.5,269,11.7,3,16.1,2.4,0.2,69.6
2000,51349,-999,1,25.6,0.9,2356.1,0,29.2,24.1,1.7,4442.8,0,28.2,25,0.5,2302.5,0,29.3,131.2,118.1,5,3.6,28.9,2.8,1.7,31.4,145.6,118.1,3.6,4.7,59.5,4.9,3.1,31.4,379.5,257.8,12.8,3.1,18.6,2.8,0.4,85.4
2001,51349,-999,1,25.5,0.8,2341.4,0.2,30.7,24.1,1.6,4428.2,0.2,28.8,24.7,0.7,2275.1,0,29.8,205.5,190.5,6.5,3,28.6,2.4,1.5,35.4,219.4,190.5,4.7,4,50.6,5.2,3,35.4,365.6,292.8,16.9,4.3,23.4,2.8,0.9,123.3
2002,51349,-999,1,25.5,1,2346.9,0,31,24.1,1.7,4436.3,0,29.1,24.5,0.7,2257.5,0,29.7,247.9,209,7.7,3,21.9,2.9,1,43.9,266.6,209,5.6,4,55.8,4.5,2.2,43.9,395.7,233.1,12.2,2.9,18.3,2.4,0.4,70.1
2003,51349,-999,1,26,1.1,2388.9,0,30.9,24.4,1.9,4488.2,0,29.1,25.1,0.6,2308.4,0,29.8,191.4,144.3,6.5,3.2,25,2.9,2.1,39.2,208.1,144.3,4.7,4.2,56.3,5.9,3.5,39.2,269.7,192.7,10.4,3.6,23,2.6,1.2,73.8
2004,51349,-999,1,25.7,0.8,2362.8,0,30.8,24.2,1.6,4458.7,0,29.1,25,0.7,2297.1,0,29,168.3,156.2,6.3,3.5,24.6,2.8,1.2,41.3,180.4,156.2,4.6,4.7,56.6,4.8,2.6,41.3,315.5,216,11.3,3.3,22.7,2.8,1.1,70.8
2005,51349,-999,1,26.2,1,2407.5,0,30.4,24.5,2,4501,0,29.1,25.3,0.5,2323.7,0,29.5,165.9,126.7,6,3.4,21.7,3.8,1.1,42.6,183.9,126.7,4.4,4.4,41.8,6.5,3,42.6,143.2,124.6,6.3,4,21.4,2.5,0.7,49.8
2006,51349,-999,1,25.6,0.9,2354.3,0,30.6,24.3,1.5,4477.8,0,28.8,24.6,0.6,2263.9,0,29.8,270.9,215.6,8.7,3,22.3,2.7,0.8,54.3,283.9,215.6,6.3,4.2,59.5,4.9,2.3,54.3,761.6,461,16.6,2,16,1.2,0.3,83.1
2007,51349,-999,1,25.9,0.9,2385.2,0,30.5,24.5,1.7,4503.8,0,29.2,24.7,0.5,2271.8,0,28.1,160,121.3,5.3,3.2,19.2,3.2,0.4,32.8,174.2,121.3,3.8,4.2,43.5,6.7,1.8,32.8,254.8,192.3,11.6,4.2,21.3,3.1,1.3,79.6
2008,51349,-999,1,25.1,1,2310.9,0,30.4,23.8,1.5,4386.5,0,28.9,25.2,0.6,2318.2,0,30,220.4,211.1,7.2,3,23.9,3,0.6,46,232.2,211.1,5.3,4.2,50.1,5.8,2.2,46,226.2,198.6,8.4,3.4,31.6,2.7,1.3,50.6
2009,51349,-999,1,26.3,1,2419,0,30.5,24.8,1.7,4561.8,0,29,25.1,0.6,2310.8,0,29,108.6,88.6,4.5,3.8,23.4,3.3,1.1,33.3,119.3,88.6,3.2,5,61.8,5.7,2.5,33.3,337.8,194.3,10.6,2.9,14.9,2.1,0,73.2
2010,51349,-999,1,25.7,0.8,2361.7,0,30.4,24.4,1.5,4486.1,0,29,25,0.5,2300.7,0,30.4,334.4,309.3,9.4,2.6,19,2.9,0.4,58.1,348.6,309.3,6.9,3.6,55.6,5.5,1.9,58.1,237.9,179.2,8.9,3.5,20.2,2.5,1.2,66.2
2011,51349,-999,1,26,0.8,2391,0,31.4,24.8,1.4,4562.8,0,29.9,24.9,0.7,2293.5,0,29.8,153.7,126.9,5.9,3.6,21.8,3.5,0.4,38.6,165.3,126.9,4.2,4.7,59.8,5.6,2.3,38.6,372.5,307.4,10,2.5,21.7,2.5,0.8,52.3
2012,51349,-999,1,25.8,1,2373,0.2,31.2,24.4,1.6,4490.4,0.2,29.5,25.1,0.7,2305.3,0,30,205.3,177.3,7.4,3.5,26.2,2.6,1.2,51.9,222.2,177.3,5.4,4.6,54.9,5.8,2.5,51.9,334.5,210.7,11.4,3.1,17.1,2.8,0.1,70.3
2013,51349,-999,1,25.5,1.2,2346.2,0,30.4,24,1.8,4416.5,0,28.7,-999,-999,-999,-999,-999,268,255.2,7.4,2.6,26.5,2.4,0.9,38.6,283.8,255.2,5.4,3.6,51.8,4.8,2.1,38.6,266.7,165.7,9.2,3.2,21.2,3.1,0.8,57.3
1981,51351,-999,1,22.6,1.1,2080.6,0,28.3,21.3,1.6,3920.1,0,26.7,22.6,0.6,2078.6,0,27.8,480.8,393,7.5,1.5,14.1,1,0.2,41.1,498.7,393,5.9,2.2,49,3.1,1.8,41.1,270,138.7,4.3,1.5,10.8,0.4,0,21.5
1982,51351,-999,1,23,1.4,2112.4,0,28.5,21.7,1.7,4000,0,27.2,22.1,0.6,2032.3,0,28.2,245.8,191.7,6.5,2.4,14.6,1.6,0.1,38.6,265,191.7,4.8,3.3,42.1,4.4,1.7,38.6,618.5,436.8,14.5,2.2,17.6,1,0.4,76.6
1983,51351,-999,1,24,1.1,2208.5,0,29.2,22.5,1.8,4137.2,0,27.8,22.7,0.7,2089.9,0,28.1,119.2,95.7,3.5,2.8,21,3,0.8,21.2,135.3,95.7,2.6,3.6,47.9,5.7,1.8,21.2,267.4,99.5,9.9,3.4,19.3,2.9,0.4,80.4
1984,51351,-999,1,23.3,1.1,2142.5,0,28.4,21.7,1.9,3984.2,0,27,21.9,0.7,2010.3,0,27.9,143.3,134.4,4.2,2.7,26.5,3.7,1,24.8,161.2,134.4,3.1,3.6,48.8,6.2,2.6,24.8,516.6,395.2,14,2.5,16.7,1.3,0.1,77.3
