MARKETS,year,Month,Price
Kabarnet,2006,April,16.00
Litein,2006,April,NA
Nakuru Town,2006,April,20.00
Kapsabet,2006,April,17.39
Kilgoris,2006,April,20.45
Eldoret,2006,April,15.24
Burnt Forest,2006,April,19.00
Turbo,2006,April,17.50
Kipkaren,2006,April,15.91
Iten,2006,April,14.29
Flax,2006,April,NA
Kajiado Township,2006,April,20.00
Kapkateny,2006,April,15.22
Kapsokwony,2006,April,15.65
Bumala,2006,April,NA
Busia Town,2006,April,20.00
Butere,2006,April,20.00
Kakamega Town,2006,April,18.18
Mumias,2006,April,18.14
Mudete,2006,April,18.10
Cheptulu,2006,April,18.34
Mbale,2006,April,15.91
Kawangware,2006,April,21.40
Burma,2006,April,25.00
Gikomba,2006,April,20.00
Kangemi,2006,April,20.45
Korogocho,2006,April,20.00
Kibera(Toi),2006,April,21.43
Kiambu,2006,May,21.43
Limuru,2006,May,21.25
Thika,2006,May,NA
Gatundu,2006,May,NA
Muthithi,2006,May,22.50
Mukuyu,2006,May,23.68
Kiriaini,2006,May,23.81
Engineer,2006,May,16.67
Nyeri,2006,May,21.43
Endarasha,2006,May,NA
Karatina,2006,May,20.45
Gakindu,2006,May,17.50
Nanyuki,2006,May,NA
Mariakani,2006,May,22.00
Kaloleni,2006,May,NA
Malindi,2006,May,25.00
Kibauni Kilifi,2006,May,22.00
Ukunda,2006,May,35.00
Mwembe Tayari,2006,May,NA
Majengo,2006,May,NA
Sega,2006,May,20.00
Voi,2006,May,NA
Mackinon,2006,May,NA
Kongowea,2006,May,22.00
Hola,2006,May,NA
Garsen,2006,May,20.00
Runyenjes,2006,May,20.00
Embu Town,2006,May,20.00
Siakago,2006,May,20.00
Mwingi,2006,May,22.00
Migwani,2006,May,20.00
Kalundu,2006,May,20.00
Machakos Town,2006,May,20.00
Tala,2006,May,20.00
Maua,2006,May,NA
Kianjai,2006,May,18.00
Mwendantu,2006,May,16.00
Wote,2006,May,21.00
Garissa Town,2006,May,NA
Daraja Mbili,2006,May,21.82
Kibirigo,2006,May,23.48
Riochanda,2006,May,24.17
Nyabite,2006,May,20.83
Kibuye,2006,May,NA
Mogonga,2006,May,NA
Nyamache,2006,May,NA
Ahero,2006,May,20.45
Homa Bay,2006,May,NA
Oyugis,2006,May,20.45
Kehancha,2006,May,NA
Kiboswa,2006,May,NA
Sondu,2006,May,21.82
Bondo,2006,May,20.00
Akala,2006,May,NA
Siaya,2006,May,NA
Ugunja,2006,May,18.18
Oyugis,2006,May,20.45
Kabarnet,2006,May,18.00
Litein,2006,May,NA
Nakuru Town,2006,May,20.00
Kapsabet,2006,May,18.70
Kilgoris,2006,May,22.61
Eldoret,2006,May,16.67
Burnt Forest,2006,May,19.00
Turbo,2006,May,14.58
Kipkaren,2006,May,16.00
Iten,2006,May,16.67
Flax,2006,May,NA
Kajiado Township,2006,May,NA
Kapkateny,2006,May,19.57
Kapsokwony,2006,May,19.57
Bumala,2006,May,NA
Busia Town,2006,May,NA
Butere,2006,May,20.00
Kakamega Town,2006,May,NA
Mumias,2006,May,19.09
Mudete,2006,May,20.00
Cheptulu,2006,May,20.00
Mbale,2006,May,18.18
Kawangware,2006,May,21.43
Burma,2006,May,25.00
Gikomba,2006,May,25.51
Kangemi,2006,May,21.43
Korogocho,2006,May,25.00
Kibera(Toi),2006,May,21.43
Kiambu,2006,JUNE,21.43
Limuru,2006,JUNE,22.50
Thika,2006,JUNE,20.00
Gatundu,2006,JUNE,21.43
Muthithi,2006,JUNE,NA
Mukuyu,2006,JUNE,23.81
Kiriaini,2006,JUNE,23.81
Engineer,2006,JUNE,16.97
Nyeri,2006,JUNE,21.43
Endarasha,2006,JUNE,19.05
Karatina,2006,JUNE,20.45
Gakindu,2006,JUNE,20.00
Nanyuki,2006,JUNE,NA
Mariakani,2006,JUNE,22.00
Kaloleni,2006,JUNE,22.00
Malindi,2006,JUNE,31.58
Kibauni Kilifi,2006,JUNE,22.00
Ukunda,2006,JUNE,32.00
Mwembe Tayari,2006,JUNE,18.00
Majengo,2006,JUNE,NA
Sega,2006,JUNE,22.00
Voi,2006,JUNE,NA
Mackinon,2006,JUNE,NA
Kongowea,2006,JUNE,24.00
Hola,2006,JUNE,NA
Garsen,2006,JUNE,20.00
Runyenjes,2006,JUNE,20.00
Embu Town,2006,JUNE,20.00
Siakago,2006,JUNE,19.53
Mwingi,2006,JUNE,22.00
Migwani,2006,JUNE,20.00
Kalundu,2006,JUNE,22.00
Machakos Town,2006,JUNE,18.00
Tala,2006,JUNE,17.00
Maua,2006,JUNE,20.00
Kianjai,2006,JUNE,21.11
Mwendantu,2006,JUNE,15.45
Wote,2006,JUNE,20.00
Garissa Town,2006,JUNE,NA
Daraja Mbili,2006,JUNE,21.74
Kibirigo,2006,JUNE,25.00
Riochanda,2006,JUNE,25.00
Nyabite,2006,JUNE,21.57
Kibuye,2006,JUNE,20.45
Mogonga,2006,JUNE,NA
Nyamache,2006,JUNE,NA
Ahero,2006,JUNE,20.45
Homa Bay,2006,JUNE,NA
Oyugis,2006,JUNE,23.91
Kehancha,2006,JUNE,NA
Kiboswa,2006,JUNE,20.45
Sondu,2006,JUNE,20.91
Bondo,2006,JUNE,17.50
Akala,2006,JUNE,NA
Siaya,2006,JUNE,NA
Ugunja,2006,JUNE,NA
Oyugis,2006,JUNE,23.91
Kabarnet,2006,JUNE,19.00
Litein,2006,JUNE,NA
Nakuru Town,2006,JUNE,22.22
Kapsabet,2006,JUNE,NA
Kilgoris,2006,JUNE,23.64
Eldoret,2006,JUNE,NA
Burnt Forest,2006,JUNE,NA
Turbo,2006,JUNE,19.95
Kipkaren,2006,JUNE,16.80
Iten,2006,JUNE,19.05
Flax,2006,JUNE,NA
Kajiado Township,2006,JUNE,20.00
Kapkateny,2006,JUNE,19.57
Kapsokwony,2006,JUNE,19.57
Bumala,2006,JUNE,NA
Busia Town,2006,JUNE,NA
Butere,2006,JUNE,19.13
Kakamega Town,2006,JUNE,21.36
Mumias,2006,JUNE,20.45
Mudete,2006,JUNE,22.86
Cheptulu,2006,JUNE,22.50
Mbale,2006,JUNE,20.45
Kawangware,2006,JUNE,23.81
Burma,2006,JUNE,25.00
Gikomba,2006,JUNE,25.51
Kangemi,2006,JUNE,22.86
Korogocho,2006,JUNE,25.00
Kibera(Toi),2006,JUNE,21.43
Kiambu,2006,JULY,19.53
Limuru,2006,JULY,21.43
Thika,2006,JULY,19.05
Gatundu,2006,JULY,18.18
Muthithi,2006,JULY,NA
Mukuyu,2006,JULY,23.68
Kiriaini,2006,JULY,23.81
Engineer,2006,JULY,19.05
Nyeri,2006,JULY,21.43
Endarasha,2006,JULY,19.05
Karatina,2006,JULY,NA
Gakindu,2006,JULY,21.43
Nanyuki,2006,JULY,NA
Mariakani,2006,JULY,18.00
Kaloleni,2006,JULY,22.00
Malindi,2006,JULY,25.00
Kibauni Kilifi,2006,JULY,20.00
Ukunda,2006,JULY,32.00
Mwembe Tayari,2006,JULY,20.00
Majengo,2006,JULY,NA
Sega,2006,JULY,20.00
Voi,2006,JULY,NA
Mackinon,2006,JULY,20.00
Kongowea,2006,JULY,20.00
Hola,2006,JULY,NA
Garsen,2006,JULY,NA
Runyenjes,2006,JULY,19.05
Embu Town,2006,JULY,20.00
Siakago,2006,JULY,17.50
Mwingi,2006,JULY,21.00
Migwani,2006,JULY,20.00
Kalundu,2006,JULY,20.00
Machakos Town,2006,JULY,18.00
Tala,2006,JULY,16.67
Maua,2006,JULY,20.00
Kianjai,2006,JULY,21.11
Mwendantu,2006,JULY,18.18
Wote,2006,JULY,17.00
Garissa Town,2006,JULY,NA
Daraja Mbili,2006,JULY,22.86
Kibirigo,2006,JULY,17.82
Riochanda,2006,JULY,12.50
Nyabite,2006,JULY,15.00
Kibuye,2006,JULY,17.27
Mogonga,2006,JULY,NA
Nyamache,2006,JULY,NA
Ahero,2006,JULY,NA
Homa Bay,2006,JULY,NA
Oyugis,2006,JULY,NA
Kehancha,2006,JULY,NA
Kiboswa,2006,JULY,16.36
Sondu,2006,JULY,NA
Bondo,2006,JULY,15.00
Akala,2006,JULY,NA
Siaya,2006,JULY,NA
Ugunja,2006,JULY,16.36
Oyugis,2006,JULY,NA
Kabarnet,2006,JULY,19.00
Litein,2006,JULY,NA
Nakuru Town,2006,JULY,22.22
Kapsabet,2006,JULY,19.05
Kilgoris,2006,JULY,21.43
Eldoret,2006,JULY,22.50
Burnt Forest,2006,JULY,NA
Turbo,2006,JULY,20.23
Kipkaren,2006,JULY,16.60
Iten,2006,JULY,19.05
Flax,2006,JULY,NA
Kajiado Township,2006,JULY,20.00
Kapkateny,2006,JULY,19.13
Kapsokwony,2006,JULY,18.05
Bumala,2006,JULY,NA
Busia Town,2006,JULY,NA
Butere,2006,JULY,22.86
Kakamega Town,2006,JULY,22.86
Mumias,2006,JULY,21.90
Mudete,2006,JULY,20.48
Cheptulu,2006,JULY,14.29
Mbale,2006,JULY,19.05
Kawangware,2006,JULY,21.43
Burma,2006,JULY,25.00
Gikomba,2006,JULY,22.22
Kangemi,2006,JULY,23.81
Korogocho,2006,JULY,21.05
Kibera(Toi),2006,JULY,23.86
Kiambu,2006,August,19.05
Limuru,2006,August,22.50
Thika,2006,August,19.05
Gatundu,2006,August,NA
Muthithi,2006,August,14.29
Mukuyu,2006,August,18.42
Kiriaini,2006,August,16.67
Engineer,2006,August,18.18
Nyeri,2006,August,19.05
Endarasha,2006,August,19.05
Karatina,2006,August,18.18
Gakindu,2006,August,22.50
Nanyuki,2006,August,NA
Mariakani,2006,August,18.00
Kaloleni,2006,August,20.00
Malindi,2006,August,25.00
Kibauni Kilifi,2006,August,19.00
Ukunda,2006,August,32.00
Mwembe Tayari,2006,August,20.00
Majengo,2006,August,NA
Sega,2006,August,21.00
Voi,2006,August,NA
Mackinon,2006,August,NA
Kongowea,2006,August,21.00
Hola,2006,August,16.00
Garsen,2006,August,NA
Runyenjes,2006,August,20.00
Embu Town,2006,August,20.00
Siakago,2006,August,13.50
Mwingi,2006,August,18.00
Migwani,2006,August,20.00
Kalundu,2006,August,17.00
Machakos Town,2006,August,15.00
Tala,2006,August,17.00
Maua,2006,August,15.00
Kianjai,2006,August,18.89
Mwendantu,2006,August,18.18
Wote,2006,August,17.00
Garissa Town,2006,August,NA
Daraja Mbili,2006,August,12.73
Kibirigo,2006,August,15.91
Riochanda,2006,August,11.90
Nyabite,2006,August,15.71
Kibuye,2006,August,NA
Mogonga,2006,August,NA
Nyamache,2006,August,14.29
Ahero,2006,August,14.55
Homa Bay,2006,August,NA
Oyugis,2006,August,NA
Kehancha,2006,August,16.67
Kiboswa,2006,August,13.18
Sondu,2006,August,13.64
Bondo,2006,August,14.00
Akala,2006,August,NA
Siaya,2006,August,NA
Ugunja,2006,August,NA
Oyugis,2006,August,NA
Kabarnet,2006,August,18.00
Litein,2006,August,NA
Nakuru Town,2006,August,22.22
Kapsabet,2006,August,15.32
Kilgoris,2006,August,NA
Eldoret,2006,August,15.00
Burnt Forest,2006,August,17.50
Turbo,2006,August,19.00
Kipkaren,2006,August,12.73
Iten,2006,August,NA
Flax,2006,August,NA
Kajiado Township,2006,August,20.00
Kapkateny,2006,August,14.13
Kapsokwony,2006,August,13.04
Bumala,2006,August,NA
Busia Town,2006,August,9.52
Butere,2006,August,NA
Kakamega Town,2006,August,NA
Mumias,2006,August,NA
Mudete,2006,August,20.21
Cheptulu,2006,August,16.67
Mbale,2006,August,13.64
Kawangware,2006,August,21.43
Burma,2006,August,25.00
Gikomba,2006,August,22.22
Kangemi,2006,August,23.81
Korogocho,2006,August,21.05
Kibera(Toi),2006,August,23.86
Kiambu,2006,Sep,15.71
Limuru,2006,Sep,17.50
Thika,2006,Sep,20.00
Gatundu,2006,Sep,NA
Muthithi,2006,Sep,NA
Mukuyu,2006,Sep,18.42
Kiriaini,2006,Sep,16.67
Engineer,2006,Sep,19.05
Nyeri,2006,Sep,19.05
Endarasha,2006,Sep,16.67
Karatina,2006,Sep,NA
Gakindu,2006,Sep,19.05
Nanyuki,2006,Sep,20.91
Mariakani,2006,Sep,22.00
Kaloleni,2006,Sep,20.00
Malindi,2006,Sep,25.77
Kibauni Kilifi,2006,Sep,19.00
Ukunda,2006,Sep,32.00
Mwembe Tayari,2006,Sep,18.00
Majengo,2006,Sep,NA
Sega,2006,Sep,20.00
Voi,2006,Sep,NA
Mackinon,2006,Sep,NA
Kongowea,2006,Sep,15.00
Hola,2006,Sep,20.00
Garsen,2006,Sep,20.00
Runyenjes,2006,Sep,20.00
Embu Town,2006,Sep,17.50
Siakago,2006,Sep,15.00
Mwingi,2006,Sep,16.00
Migwani,2006,Sep,17.17
Kalundu,2006,Sep,17.00
Machakos Town,2006,Sep,15.00
Tala,2006,Sep,12.00
Maua,2006,Sep,NA
Kianjai,2006,Sep,NA
Mwendantu,2006,Sep,16.36
Wote,2006,Sep,17.00
Garissa Town,2006,Sep,20.00
Daraja Mbili,2006,Sep,12.73
Kibirigo,2006,Sep,14.58
Riochanda,2006,Sep,NA
Nyabite,2006,Sep,NA
Kibuye,2006,Sep,15.91
Mogonga,2006,Sep,NA
Nyamache,2006,Sep,NA
Ahero,2006,Sep,14.55
Homa Bay,2006,Sep,NA
Oyugis,2006,Sep,NA
Kehancha,2006,Sep,19.05
Kiboswa,2006,Sep,13.33
Sondu,2006,Sep,14.55
Bondo,2006,Sep,15.00
Akala,2006,Sep,NA
Siaya,2006,Sep,NA
Ugunja,2006,Sep,NA
Oyugis,2006,Sep,NA
Kabarnet,2006,Sep,NA
Litein,2006,Sep,NA
Nakuru Town,2006,Sep,22.22
Kapsabet,2006,Sep,11.36
Kilgoris,2006,Sep,NA
Eldoret,2006,Sep,NA
Burnt Forest,2006,Sep,17.50
Turbo,2006,Sep,13.64
Kipkaren,2006,Sep,13.03
Iten,2006,Sep,NA
Flax,2006,Sep,NA
Kajiado Township,2006,Sep,25.00
Kapkateny,2006,Sep,11.36
Kapsokwony,2006,Sep,13.04
Bumala,2006,Sep,11.90
Busia Town,2006,Sep,NA
Butere,2006,Sep,NA
Kakamega Town,2006,Sep,NA
Mumias,2006,Sep,NA
Mudete,2006,Sep,14.29
Cheptulu,2006,Sep,26.41
Mbale,2006,Sep,28.23
Kawangware,2006,Sep,19.00
Burma,2006,Sep,25.00
Gikomba,2006,Sep,21.51
Kangemi,2006,Sep,20.00
Korogocho,2006,Sep,21.86
Kibera(Toi),2006,Sep,16.67
Kiambu,2006,Oct,15.05
Limuru,2006,Oct,23.53
Thika,2006,Oct,18.18
Gatundu,2006,Oct,19.05
Muthithi,2006,Oct,14.29
Mukuyu,2006,Oct,18.42
Kiriaini,2006,Oct,16.67
Engineer,2006,Oct,19.05
Nyeri,2006,Oct,19.05
Endarasha,2006,Oct,19.05
Karatina,2006,Oct,15.91
Gakindu,2006,Oct,22.50
Nanyuki,2006,Oct,18.18
Mariakani,2006,Oct,22.00
Kaloleni,2006,Oct,20.00
Malindi,2006,Oct,20.00
Kibauni Kilifi,2006,Oct,22.00
Ukunda,2006,Oct,38.00
Mwembe Tayari,2006,Oct,18.00
Majengo,2006,Oct,NA
Sega,2006,Oct,18.00
Voi,2006,Oct,NA
Mackinon,2006,Oct,NA
Kongowea,2006,Oct,22.00
Hola,2006,Oct,16.00
Garsen,2006,Oct,17.50
Runyenjes,2006,Oct,20.00
Embu Town,2006,Oct,18.75
Siakago,2006,Oct,NA
Mwingi,2006,Oct,NA
Migwani,2006,Oct,18.00
Kalundu,2006,Oct,17.00
Machakos Town,2006,Oct,18.00
Tala,2006,Oct,11.90
Maua,2006,Oct,22.22
Kianjai,2006,Oct,18.89
Mwendantu,2006,Oct,16.36
Wote,2006,Oct,16.00
Garissa Town,2006,Oct,29.41
Daraja Mbili,2006,Oct,13.64
Kibirigo,2006,Oct,17.62
Riochanda,2006,Oct,14.29
Nyabite,2006,Oct,15.71
Kibuye,2006,Oct,NA
Mogonga,2006,Oct,12.27
Nyamache,2006,Oct,11.90
Ahero,2006,Oct,NA
Homa Bay,2006,Oct,NA
Oyugis,2006,Oct,NA
Kehancha,2006,Oct,19.05
Kiboswa,2006,Oct,15.71
Sondu,2006,Oct,14.29
Bondo,2006,Oct,15.00
Akala,2006,Oct,NA
Siaya,2006,Oct,NA
Ugunja,2006,Oct,NA
Oyugis,2006,Oct,NA
Kabarnet,2006,Oct,17.00
Litein,2006,Oct,16.67
Nakuru Town,2006,Oct,22.22
Kapsabet,2006,Oct,10.87
Kilgoris,2006,Oct,14.29
Eldoret,2006,Oct,11.90
Burnt Forest,2006,Oct,16.67
Turbo,2006,Oct,14.29
Kipkaren,2006,Oct,13.33
Iten,2006,Oct,14.29
Flax,2006,Oct,NA
Kajiado Township,2006,Oct,25.00
Kapkateny,2006,Oct,10.95
Kapsokwony,2006,Oct,11.43
Bumala,2006,Oct,NA
Busia Town,2006,Oct,NA
Butere,2006,Oct,13.64
Kakamega Town,2006,Oct,13.18
Mumias,2006,Oct,15.00
Mudete,2006,Oct,13.33
Cheptulu,2006,Oct,14.29
Mbale,2006,Oct,14.29
Kawangware,2006,Oct,18.18
Burma,2006,Oct,25.00
Gikomba,2006,Oct,20.41
Kangemi,2006,Oct,18.10
Korogocho,2006,Oct,21.86
Kibera(Toi),2006,Oct,16.19
Kiambu,2006,Nov,16.67
Limuru,2006,Nov,17.50
Thika,2006,Nov,18.10
Gatundu,2006,Nov,15.22
Muthithi,2006,Nov,15.24
Mukuyu,2006,Nov,17.55
Kiriaini,2006,Nov,16.67
Engineer,2006,Nov,19.05
Nyeri,2006,Nov,NA
Endarasha,2006,Nov,19.05
Karatina,2006,Nov,15.91
Gakindu,2006,Nov,16.67
Nanyuki,2006,Nov,20.00
Mariakani,2006,Nov,22.00
Kaloleni,2006,Nov,20.00
Malindi,2006,Nov,20.00
Kibauni Kilifi,2006,Nov,20.00
Ukunda,2006,Nov,35.00
