"KIAMBU",35.0,35.0,".",".",33.8,34.7,48.6,".",".",".",32.5,"."
"LIMURU",30.0,32.5,".",".",37.5,37.5,37.5,".",".",32.5,30.0,"."
"MUTHITHI",35.0,35.0,35.0,35.0,40.0,".",".",".",".",".",".",
"MUKUYU",33.3,35.0,26.0,33.3,35.7,38.1,".",".",".",33.3,33.3,31.0
"KIRIAINI",33.3,38.1,".",35.7,38.1,38.1,33.3,".",".",35.7,31.0,"."
"NANYUKI",35.3,33.3,34.2,43.8,44.4,50.0,44.4,44.4,".",44.4,44.4,44.4
"SIPILI",20.0,20.0,46.6,25.0,".",".",".",".",".",25.0,".","."
"MARIAKANI",33.5,35.0,35.0,35.0,35.0,35.0,35.0,35.0,".",36.0,36.0,36.0
"KALOLENI",32.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,".",36.0,36.0,36.0
"MALINDI",30.0,35.0,35.0,35.0,40.0,".",".",".",".",30.0,35.0,35.0
"KIBAUNI KILIFI",35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,".",".",36.0,35.0
"GARSEN",22.5,".",25.0,25.0,25.0,".",".",".",,".",,"."
"RUNYENJES",35.0,37.5,37.5,37.5,40.0,35.0,35.0,".",30.0,30.0,32.5,"."
"EMBU TOWN",37.5,37.5,37.5,51.2,42.5,40.0,35.0,".",30.0,35.0,32.5,"."
"SIAKAGO",29.6,35.7,37.5,".",43.2,38.1,37.5,35.0,".",32.5,32.5,32.5
"MIGWANI",".",35.0,33.0,40.0,35.0,34.0,30.0,".",".",50.0,50.0,28.0
"MACHAKOS TOWN",31.6,33.0,32.0,33.0,38.9,32.0,33.0,".",".",".",30.0,"."
"TALA",30.0,".",".",".",".",".",".",".",,".",".",
"MWENDANTU",31.8,27.3,27.3,30.0,32.0,33.0,35.0,".",".",29.1,27.3,30.0
"WOTE",30.0,30.0,30.0,32.0,".",32.0,32.0,".",".",32.0,28.0,"."
"GARISSA TOWN",40.0,38.9,".",".",".",".",".",".",,".",".",
"DARAJA MBILI",28.6,31.8,31.8,38.6,33.3,31.8,".",".",".",31.8,29.5,29.5
"BONDO",30.0,35.0,".",".",".",".",".",".",".",".",".","."
"KABARNET",25.0,29.0,30.0,35.0,35.0,".",".",".",".",".",".","."
"KAPSABET",23.9,32.6,32.6,35.7,40.5,35.7,".",".",".",".",".","."
"KITALE",26.2,28.6,35.0,35.0,".",37.5,35.0,".",35.0,30.0,30.0,"."
"ELDORET",27.3,29.5,29.8,31.0,33.3,40.0,40.0,40.0,".",30.0,27.5,30.0
"TURBO",26.2,28.6,".",31.0,31.0,40.0,40.0,40.0,".",22.0,20.0,20.8
"KIPKAREN",25.0,32.5,31.8,33.3,37.5,41.0,37.5,32.5,".",21.2,22.0,22.0
"KAIADO TOWNSHIP",".",".",".",50.0,".",".",".",".",".",,,
"BUNGOMA TOWN",27.3,".",31.8,35.0,40.0,40.0,37.5,37.5,30.0,".",30.0,30.0
"KIMILILI",".",".",".",".",".",37.5,40.0,".",".",25.0,27.5,30.0
"KAPSOKWONY",".",".",".",".",42.5,40.0,".",".",".",27.5,25.0,27.5
"MUDETE",28.6,35.7,33.3,38.1,35.7,".",".",".",".",".",".","."
"CHEPTULU",28.6,33.3,33.3,38.1,35.7,".",".",".",".",".",".","."
"MBALE",28.6,33.3,33.3,38.1,35.7,".",".",".",".",".",".","."
"KAWANGWARE",40.0,37.5,38.1,35.7,38.1,38.1,36.4,37.1,38.8,36.5,38.4,38.4
"BURMA",38.1,38.1,42.9,45.0,39.5,40.7,40.0,42.0,41.0,40.0,40.0,40.0
"KIKOMBA",25.0,75.0,66.7,35.0,43.5,40.9,39.1,35.7,35.7,37.5,37.5,37.0
"KANGEMI",37.5,37.5,55.0,31.8,37.5,38.0,37.5,38.0,38.8,37.5,36.1,35.7
"KOROGOCHO",40.9,38.1,36.4,41.0,40.0,36.0,".",35.7,36.9,35.7,35.7,35.7
"KIBERA(TOI)",35.0,35.0,35.7,40.0,40.0,39.1,38.5,35.7,37.1,35.0,36.8,35.7
