Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
Muthurwa,50.0,54.6,55.0,52.4,50.0,52.4,65.0,47.6,42.9,38.1,,,2017
Kawangware,47.6,47.6,47.6,47.6,47.6,47.6,68.2,64.3,59.8,59.9,52.3,,2017
Burma,50.0,50.0,60.0,65.0,65.0,60.0,70.0,65.0,62.7,60.3,52.5,,2017
Gikomba,47.6,54.6,52.4,52.4,65.0,50.0,65.0,65.0,60.0,60.0,50.0,,2017
Kangemi,50.0,47.5,50.0,47.5,54.6,59.3,55.0,62.5,60.0,58.7,50.0,,2017
Korokocho,45.0,47.6,47.6,50.0,50.0,55.0,65.0,56.1,55.0,53.8,50.0,,2017
Toi,47.6,50.0,57.1,63.6,61.9,68.2,71.4,62.5,61.1,53.5,,,2017
Kiambu,-,,35.0,35.0,35.0,35.0,,,40.0,40.0,40.0,40.0,2016
Limuru,,,35.0,35.0,35.0,35.0,,,40.0,38.8,40.0,40.0,2016
Thika,-,45.0,45.0,,,40.0,40.0,40.0,40.0,40.0,40.0,-,2016
Gatundu,-,-,44.2,45.0,45.0,45.0,30.0,36.3,35.0,35.0,-,-,2016
Kutus,32.4,24.0,23.7,25.4,25.0,29.2,33.3,32.0,32.0,36.0,35.7,37.5,2016
Sagana,29.0,26.4,42.3,51.2,22.8,31.8,39.1,33.3,29.1,33.4,38.1,41.3,2016
Kerugoya,34.6,33.3,28.2,27.7,22.5,33.4,38.1,51.1,30.4,35.6,38.2,40.9,2016
Muthithi,22.7,22.7,22.7,23.9,24.1,25.0,26.1,31.8,32.4,34.1,34.1,35.0,2016
Makuyu,28.6,28.6,28.0,23.8,26.2,-,-,-,-,,37.3,38.1,2016
Kiriaini,32.5,35.0,34.4,35.0,,-,-,-,-,37.5,37.0,37.9,2016
Ol  Kalou,-,-,-,-,-,-,-,47.6,50.0,50.0,45.0,45.0,2016
Ndaragwa,-,-,-,-,-,-,-,-,33.3,40.0,40.5,-,2016
Nyeri,31.8,33.8,38.0,35.8,31.5,32.2,39.5,40.0,40.0,36.3,40.0,40.0,2016
Endarasha,38.1,35.7,,,,30.0,30.1,35.0,35.0,35.0,35.0,35.0,2016
Karatina,34.2,35.0,33.8,32.5,30.1,24.4,31.3,34.2,33.4,31.9,30.0,30.0,2016
Gakindu,33.4,34.6,37.0,36.0,30.0,46.7,38.3,38.5,35.0,38.8,40.0,40.0,2016
Nanyuki,40.4,38.8,38.5,38.5,38.0,38.3,30.7,33.4,38.6,44.4,44.7,48.2,2016
Nyahururu,22.7,24.2,25.0,27.3,28.6,28.6,28.0,32.2,31.8,34.9,31.8,31.8,2016
Ukunda,40.0,40.0,40.0,40.0,39.9,40.9,40.9,41.5,41.0,41.0,40.0,40.0,2016
Kwale,39.0,39.3,38.0,38.6,38.4,38.5,42.0,42.0,42.0,41.4,41.8,40.0,2016
Wundanyi,-,-,-,-,-,-,-,35.4,35.7,36.0,37.0,-,2016
Voi,-,-,-,-,-,-,-,33.7,37.5,37.0,38.0,38.0,2016
Mwatate,-,-,-,-,-,-,-,34.2,34.5,35.3,35.0,,2016
Mpeketoni,32.5,30.0,,,,30.0,30.0,30.0,31.3,33.3,33.8,40.0,2016
Mkunguni,50.0,-,-,-,-,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2016
Mokowe,-,-,-,-,-,-,-,-,-,50.0,50.0,50.0,2016
Mwembe  Tayari,43.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.7,40.0,40.0,40.0,2016
Majengo,40.0,40.0,40.0,40.0,39.2,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2016
Sega,41.0,40.0,40.0,40.0,40.8,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2016
Kongowea,34.8,35.0,35.5,37.0,39.2,40.0,40.0,39.3,38.5,39.0,40.0,40.0,2016
Hola,37.5,38.3,40.0,-,-,-,50.0,35.0,35.0,40.0,38.8,40.0,2016
Garsen,-,-,-,-,-,-,-,-,-,40.0,-,-,2016
Bura  Tana,45.0,40.0,42.5,-,-,-,45.0,40.7,33.3,40.0,45.0,45.0,2016
Runyenjes,27.3,32.1,24.2,36.4,48.0,24.2,22.7,24.2,27.5,29.7,33.1,36.4,2016
Embu  Town,27.3,27.3,22.7,22.7,-,26.1,28.8,31.8,29.1,31.8,33.0,36.4,2016
Siakago,29.9,27.8,22.3,27.3,-,27.3,26.1,28.4,24.1,31.8,33.3,33.0,2016
Mwingi,30.0,30.0,29.0,30.0,-,-,-,-,30.0,33.3,35.0,35.0,2016
Kalundu,30.0,-,-,-,-,30.0,30.0,35.0,32.8,,35.0,35.0,2016
Machakos  Town,35.0,35.0,35.0,30.0,34.6,30.0,30.0,31.3,35.0,42.0,35.0,35.0,2016
Tawa,30.2,29.5,29.0,25.0,27.8,30.0,27.7,29.5,30.0,29.8,32.5,35.0,2016
Tala,32.0,32.0,32.0,25.0,26.3,27.0,26.0,30.5,30.0,31.0,35.0,-,2016
Maua,-,-,-,-,-,-,-,-,-,44.4,45.2,-,2016
Kianjai,-,21.1,20.6,22.2,,27.8,27.8,27.8,27.8,34.6,38.9,-,2016
Gakoromere,33.3,33.3,24.4,22.2,24.1,27.8,33.3,33.3,33.3,35.3,38.9,38.9,2016
Chuka  Town,47.0,36.1,31.3,34.9,30.0,34.0,34.9,31.7,31.0,35.4,34.9,,2016
Kathwana,-,-,33.3,30.6,-,-,32.8,34.8,29.6,33.1,35.3,39.0,2016
Wote,30.0,30.0,29.3,25.0,27.8,28.0,28.2,28.6,-,30.8,33.0,-,2016
Marsabit,39.3,38.0,34.8,35.5,40.0,37.7,37.2,37.0,36.0,39.3,40.0,38.0,2016
Kibuye,30.5,32.6,30.4,31.9,33.3,35.2,35.1,30.0,34.1,34.0,34.6,37.1,2016
Ahero,31.4,31.1,29.8,29.6,29.9,32.3,35.2,33.5,34.6,36.3,37.2,39.3,2016
Kiboswa,31.5,33.0,33.0,30.8,32.0,33.6,33.6,33.2,38.7,45.1,35.6,36.8,2016
Sondu,30.7,30.8,30.0,30.1,,34.6,33.7,34.8,34.4,37.4,38.6,38.1,2016
