,,,,,,,,,,,,,,,,,,,,MACKINON
,,,,,,,,,,,,,,,,,,,,MAJENGO
,,,,,,,,,,,,,,,,,,MALINDI,,MALINDI
,,,,,,,,,,,,,,,,,,MARIAKANI,,MARSABIT
,,,,,,,,,,,,,,,,,,,,MAUA
,,,,,,,,,,,,,,,,,,MBALE,,MBALE
,,,,,,,,,,,,,,,,,,MIGWANI,,MIRUKA
,,,,,,,,,,,,,,,,,,,,MUKUYU
,,,,,,,,,,,,,,,,,,MUDETE,,MUMIAS
,,,,,,,,,,,,,,,,,,MUKUYU,,MUNDETA
,,,,,,,,,,,,,,,,,,MUTHITHI,,MUTHITHI
,,,,,,,,,,,,,,,,,,,,MUTHURWA
,,,,,,,,,,,,,,,,,,MWENDANTU,,MWEMBE TAYARI
,,,,,,,,,,,,,,,,,,,,MWINGI
,,,,,,,,,,,,,,,,,,,,NAKURU
,,,,,,,,,,,,,,,,,,NANYUKI,,NANYUKI
,,,,,,,,,,,,,,,,,,,,NGIYA
,,,,,,,,,,,,,,,,,,,,NYABITE
,,,,,,,,,,,,,,,,,,,,NYAHURURU
,,,,,,,,,,,,,,,,,,,,NYANGUSU
,,,,,,,,,,,,,,,,,,,,NYERI
,,,,,,,,,,,,,,,,,,,,OYUGIS
,,,,,,,,,,,,,,,,,,,,RIOCHANDA
,,,,,,,,,,,,,,,,,,RUNYENJES,,RUNYENJES
,,,,,,,,,,,,,,,,,,,,SAGANA
,,,,,,,,,,,,,,,,,,,,SEGA
,,,,,,,,,,,,,,,,,,SIAKAGO,,SIAKAGO
,,,,,,,,,,,,,,,,,,,,SIAYA
,,,,,,,,,,,,,,,,,,,,SOKO MJINGA
,,,,,,,,,,,,,,,,,,SIPILI,,SONDU
,,,,,,,,,,,,,,,,,,TALA,,TALA
,,,,,,,,,,,,,,,,,,,,THIKA
,,,,,,,,,,,,,,,,,,,,TOI
,,,,,,,,,,,,,,,,,,TURBO,,TURBO
,,,,,,,,,,,,,,,,,,,,UKUNDA
,,,,,,,,,,,,,,,,,,,,UNGUJA
,,,,,,,,,,,,,,,,,,,,WAKULIMA
,,,,,,,,,,,,,,,,,,WOTE,,WOTE
