,Town,year,Month,Price
7039,MWEMBE TAYARI,2007,AUG,18.00
7040,SEGA,2007,AUG,NA
7041,KONGOWEA,2007,AUG,NA
7042,GARSEN,2007,AUG,20.00
7043,BURA TANA,2007,AUG,NA
7044,RUNYENJES,2007,AUG,12.50
7045,EMBU TOWN,2007,AUG,12.50
7046,SIAKAGO,2007,AUG,11.50
7047,MWINGI,2007,AUG,10.00
7048,MIGGWAINI,2007,AUG,12.00
7049,MACHAKOS TOWN,2007,AUG,12.00
7050,TALA,2007,AUG,20.00
7051,MAUA,2007,AUG,NA
7052,KIANJAI,2007,AUG,NA
7053,GAKOROMERE,2007,AUG,9.10
7054,WOTE,2007,AUG,12.00
7055,GARISA TOWN,2007,AUG,NA
7056,DARAJA MBILI,2007,AUG,11.40
7057,KIBIRIGO,2007,AUG,NA
7058,NYANGUSU,2007,AUG,11.90
7059,RIOCHANDA,2007,AUG,16.70
7060,NYABITE,2007,AUG,14.30
7061,MOGONGA,2007,AUG,9.50
7062,NYAMACHE,2007,AUG,11.90
7063,KIBUYE,2007,AUG,NA
7064,AHERO,2007,AUG,NA
7065,KIBOSWA,2007,AUG,NA
7066,SONDU,2007,AUG,NA
7067,BONDO,2007,AUG,16.50
7068,OYUGIS,2007,AUG,NA
7069,KEHACHA,2007,AUG,NA
7070,KABARNET,2007,AUG,NA
7071,NAKURU TWON,2007,AUG,22.20
7072,KAPSABET,2007,AUG,NA
7073,KITALE,2007,AUG,17.50
7074,ELDORET,2007,AUG,17.50
7075,BURN FOREST,2007,AUG,13.50
7076,TURBO,2007,AUG,17.20
7077,KIPKAREN,2007,AUG,17.50
7078,ITEN,2007,AUG,NA
7079,KAJIADO TOWN,2007,AUG,20.00
7080,KAPKATENY,2007,AUG,17.60
7081,BUNGOMA TOWN,2007,AUG,NA
7082,KIMILILI,2007,AUG,15.70
7083,KAPSOKWONY,2007,AUG,18.10
7084,BUTERE,2007,AUG,NA
7085,KAKAMEGA,2007,AUG,13.60
7086,MUMIAS,2007,AUG,NA
7087,MUNDETA,2007,AUG,14.30
7088,CHEPTULA,2007,AUG,13.30
7089,Mbale,2007,AUG,14.30
7090,KAWANGWARE,2007,AUG,20.00
7091,BURMA,2007,AUG,20.00
7092,KIKOMBA,2007,AUG,20.00
7093,KANGEMI,2007,AUG,20.00
7094,KOROKOCHO,2007,AUG,19.00
7095,TOI,2007,AUG,16.70
7906,KIAMBU,2007,SEP,9.50
7907,LIMURU,2007,SEP,16.00
7908,THIKA,2007,SEP,18.20
7909,GATUNDU,2007,SEP,NA
7910,MUTHITHI,2007,SEP,NA
7911,MUKUYU,2007,SEP,NA
7912,KIRIAINI,2007,SEP,14.30
7913,ENGINEER,2007,SEP,15.00
7914,NYERI,2007,SEP,14.30
7915,ENDARASHA,2007,SEP,NA
7916,KARATINA,2007,SEP,15.00
7917,GAKINDU,2007,SEP,17.50
7918,NANYUKI,2007,SEP,20.00
7919,NYAHURURU,2007,SEP,NA
7920,MARIAKANI,2007,SEP,17.00
7921,KALOLENI,2007,SEP,17.00
7922,MALINDI,2007,SEP,NA
7923,KIBAUNI KILIFI,2007,SEP,17.00
7924,UKUNDA,2007,SEP,NA
7925,WUNDANYI,2007,SEP,NA
7926,MWEMBE TAYARI,2007,SEP,NA
7927,SEGA,2007,SEP,NA
7928,KONGOWEA,2007,SEP,NA
7929,GARSEN,2007,SEP,25.00
7930,BURA TANA,2007,SEP,NA
7931,RUNYENJES,2007,SEP,12.50
7932,EMBU TOWN,2007,SEP,12.50
7933,SIAKAGO,2007,SEP,11.50
7934,MWINGI,2007,SEP,15.00
7935,MIGGWAINI,2007,SEP,NA
7936,MACHAKOS TOWN,2007,SEP,12.00
7937,TALA,2007,SEP,10.00
7938,MAUA,2007,SEP,NA
7939,KIANJAI,2007,SEP,NA
7940,GAKOROMERE,2007,SEP,9.10
7941,WOTE,2007,SEP,14.00
7942,GARISA TOWN,2007,SEP,15.00
7943,DARAJA MBILI,2007,SEP,13.30
7944,KIBIRIGO,2007,SEP,13.30
7945,NYANGUSU,2007,SEP,9.50
7946,RIOCHANDA,2007,SEP,NA
7947,NYABITE,2007,SEP,NA
7948,MOGONGA,2007,SEP,9.50
7949,NYAMACHE,2007,SEP,11.90
7950,KIBUYE,2007,SEP,NA
7951,AHERO,2007,SEP,NA
7952,KIBOSWA,2007,SEP,NA
