"","MARKETS","Jan","Feb","March","April","May","JUNE","JULY","August","Sep","Oct","Nov","Dec","year"
"782","NGIYA",18.2,22.7,17.3,NA,NA,NA,NA,NA,NA,27.3,29.6,NA,"2008"
"783","UNGUNJA",22.7,15.2,17.3,18.2,NA,NA,NA,NA,NA,27.3,29.6,NA,"2008"
"784","OYUGIS",NA,18.6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008"
"785","KEHACHA",NA,17.5,20,21.2,24.4,25,NA,NA,NA,NA,NA,NA,"2008"
"786","KABARNET",15,15,15,17.2,22.8,25,25,25,30,30,NA,NA,"2008"
"787","NAKURU TWON",24.2,21.7,22.2,22.2,22.2,NA,27.8,27.8,27.8,27.8,27.8,27.8,"2008"
"788","KAPSABET",NA,19.1,19.1,25,23.9,25.6,25.7,29.6,26.2,23.8,26.2,NA,"2008"
"789","KITALE",NA,17.5,17.5,25,26.7,24.1,25.8,28.6,29.5,26.2,NA,NA,"2008"
"790","ELDORET",20,15.4,15,15.5,19.4,22,22,26.5,31.8,25,20,20,"2008"
"791","BURN FOREST",12.5,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008"
"792","TURBO",13.3,13.4,37.5,16.7,18.5,20.7,20.7,21.2,24.1,20,20,20,"2008"
"793","KIPKAREN",15,16,16.1,25,27,26.3,29.4,32.5,20,20,20,22,"2008"
"794","KAJIADO TOWN",25,20,NA,25,35,21.7,25,NA,25,40,40,40,"2008"
"795","BUNGOMA TOWN",16.7,16.7,16.7,16.6,20.4,26,25.1,25,25,27.5,30,29,"2008"
"796","KIMILILI",NA,NA,NA,16.2,21.8,27.7,27.5,27,25,27.5,27.5,25,"2008"
"797","KAPSOKWONY",NA,16.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008"
"798","BUTERE",NA,23.6,21.7,23.9,23.1,24.3,NA,17.4,23.9,23.9,NA,NA,"2008"
"799","KAKAMEGA",20.5,18.2,19.6,21.4,23.6,NA,26.4,19.1,22.7,27.3,NA,NA,"2008"
"800","MUMIAS",NA,NA,28.6,26.2,23.1,23.9,NA,20.5,23.9,22,20,NA,"2008"
"801","MUNDETA",19.1,16.7,16.7,19.1,26.2,26.2,NA,26.2,28.6,28.6,28.6,NA,"2008"
"802","CHEPTULA",23.8,16.7,16.7,21.4,26.2,26.2,26.2,26.2,28.6,30,28.6,NA,"2008"
"803","Mbale",23.8,16.7,NA,NA,26.2,26.2,NA,26.2,26.2,28.6,28.6,NA,"2008"
"804","KAWANGWARE",21,22,25,46.5,30,29.3,29.3,30,33.3,33,33.3,33.3,"2008"
"805","BURMA",25,25,25,32.5,25,25,33.3,31.3,35.5,38.9,38.9,44.4,"2008"
"806","KIKOMBA",21.5,22,22,23.5,26.3,35,35,30,36.8,35,35,36.4,"2008"
"807","KANGEMI",22,22.5,23,23,27.3,30,30,30,31,31,33.3,33.3,"2008"
"808","KOROKOCHO",20,20,21.5,23,21.1,26.2,38.9,36.6,33.3,33.3,33.3,36.4,"2008"
"809","TOI",21.4,21.4,23.8,23.8,26.2,28.6,28.6,31,31,31,33.3,33.3,"2008"
"810","KIAMBU",17.39,16.67,16.67,14.29,16.67,11.9,11.9,11.9,9.52,9.52,9.52,NA,"2007"
"811","LIMURU",15,15,15,15,15,15,16.18,16.12,16,15,15,NA,"2007"
"812","THIKA",18.18,19.05,19.05,19.05,19.05,18.18,19.05,18.18,18.18,18.18,18.18,NA,"2007"
"813","GATUNDU",18.34,16.67,14.29,16.67,15.78,14.29,10,17.5,NA,19.05,NA,NA,"2007"
"814","MUTHITHI",11.9,11.9,10.71,9.52,10.24,10.72,13.33,NA,NA,NA,NA,NA,"2007"
"815","MUKUYU",17.55,15.79,15.79,15,19.05,15.79,12.5,12.5,NA,NA,NA,14.29,"2007"
"816","KIRIAINI",16.67,16.67,16.67,16.67,14.29,14.29,14.29,14.29,14.29,NA,NA,14.29,"2007"
"817","ENGINEER",18,16.67,16.25,15,16.67,20,18.63,15,15,15,15,NA,"2007"
"818","NYERI",19.05,16.67,16.67,14.29,14.29,19.05,19.05,14.29,14.29,14.29,NA,NA,"2007"
"819","ENDARASHA",16.67,17.86,19.05,20,19.05,NA,NA,NA,NA,NA,NA,NA,"2007"
"820","KARATINA",15.91,16.29,13.64,13.33,14.29,17.5,13.33,14.29,15,15,15,NA,"2007"
"821","GAKINDU",16.67,17.5,17.5,14.29,17.5,12.5,14.29,17.5,17.5,14.29,14.29,NA,"2007"
"822","NANYUKI",20,20,20,20,20,20,17,17,20,20,20,NA,"2007"
"823","NYAHURURU",17.5,15.95,14.59,12,12,22.5,11.9,14.29,NA,NA,NA,NA,"2007"
"824","MARIAKANI",20,20,18,20,18,18,18,17,17,17,17,18,"2007"
"825","KALOLENI",20,20,17,17,17,18,18,17,17,17,14,18,"2007"
"826","MALINDI",20,17.21,20,NA,20,20,20,20,NA,NA,NA,NA,"2007"
"827","KIBAUNI KILIFI",21,20,18,18,17,16.5,17,17,17,17,NA,18,"2007"
"828","UKUNDA",35,35,38,35,35,30,25,25,NA,NA,NA,NA,"2007"
"829","WUNDANYI",NA,NA,14,14,13,NA,NA,NA,NA,NA,NA,NA,"2007"
"830","MWEMBE TAYARI",20,20,23.67,30,20,20,20,18,NA,NA,NA,NA,"2007"
"831","SEGA",20,20,20,22,20,NA,NA,NA,NA,NA,NA,NA,"2007"
"832","KONGOWEA",15,15,NA,15,14,14.5,14,NA,NA,NA,NA,NA,"2007"
"833","GARSEN",NA,20,25,NA,NA,NA,20,20,25,NA,NA,NA,"2007"
"834","BURA TANA",20,20,20,40,20,NA,NA,NA,NA,NA,NA,NA,"2007"
"835","RUNYENJES",17.5,17.5,15,15,15,12.5,10,12.5,12.5,12.5,15,12.5,"2007"
"836","EMBU TOWN",17.5,17.5,15,12.5,12.5,12,12.5,12.5,12.5,12.5,15,15,"2007"
"837","SIAKAGO",20,17.5,12.5,12.5,12.5,NA,11.75,11.5,11.5,15,15,15,"2007"
"838","MWINGI",15,16,15,8,NA,15,15,10,15,NA,NA,NA,"2007"
"839","MIGGWAINI",17,16,7.27,10,10,10,12,12,NA,12,13,NA,"2007"
"840","MACHAKOS TOWN",18.18,NA,12,12,5.71,10,10,12,12,13,NA,NA,"2007"
"841","TALA",12,9.77,9.38,9.5,10,9.52,9,20,10,10,NA,NA,"2007"
"842","MAUA",NA,25,16.25,12.5,15,13.75,12.5,NA,NA,NA,NA,NA,"2007"
"843","KIANJAI",17.78,17.78,10,12.5,11.11,11.11,8.89,NA,NA,NA,NA,NA,"2007"
"844","GAKOROMERE",16,13.64,8,9.09,9.09,10.91,9.09,9.09,9.09,12,11.82,11.82,"2007"
"845","WOTE",17,15,14,11,11,12,12,12,14,14,NA,17,"2007"
"846","GARISA TOWN",29.63,16.67,16.67,16.67,16.67,16.67,16.67,NA,15,NA,NA,NA,"2007"
"847","DARAJA MBILI",13.33,14.29,13.64,14.29,14.29,13.64,12.83,11.36,13.33,14.29,9.52,17.62,"2007"
"848","KIBIRIGO",16.67,NA,NA,NA,NA,16.67,11.9,NA,13.33,NA,NA,NA,"2007"
"849","NYANGUSU",14.29,9.11,10.87,11.9,13.1,10.04,10.87,11.9,9.52,14.29,11.9,13.33,"2007"
"850","RIOCHANDA",13.33,NA,NA,NA,22.62,NA,NA,16.67,NA,NA,NA,NA,"2007"
"851","NYABITE",15.48,NA,NA,NA,14.29,NA,NA,14.29,NA,NA,NA,NA,"2007"
"852","MOGONGA",12.38,10.87,10.43,11.9,12.38,13.33,11.74,9.52,9.52,11.9,15,14.29,"2007"
"853","NYAMACHE",14.29,12.1,10,14.29,11.9,11.56,10.87,11.9,11.9,NA,12.38,14.29,"2007"
"854","KIBUYE",16.67,14.09,14.32,15.71,NA,NA,NA,NA,NA,NA,NA,NA,"2007"
"855","AHERO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,"2007"
"856","KIBOSWA",16.19,15.71,14.09,15.24,NA,NA,NA,NA,NA,NA,NA,NA,"2007"
"857","SONDU",14.55,13.64,13.64,NA,NA,NA,NA,NA,NA,NA,16.67,16.67,"2007"
"858","BONDO",15,15.4,17.5,17.5,14.07,15,15,16.5,16.5,16.5,16.5,NA,"2007"
"859","OYUGIS",12.38,13.33,NA,NA,16.19,NA,15.71,NA,NA,NA,NA,NA,"2007"
"860","KEHACHA",15.91,13.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007"
"861","KABARNET",15,NA,15,15,15.56,15,NA,NA,NA,NA,NA,NA,"2007"
"862","NAKURU TWON",22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,"2007"
"863","KAPSABET",13.04,13.04,13.04,14.29,15.22,15.22,16.67,NA,NA,NA,NA,NA,"2007"
"864","KITALE",NA,17.5,16.5,14.29,15,14.76,17.5,17.5,17.5,NA,NA,NA,"2007"
"865","ELDORET",13.33,13.18,13.64,15.24,18.5,17.5,19,17.5,14,15,14,12.5,"2007"
"866","BURN FOREST",NA,10.4,13.46,16.67,11,0.5,20,13.5,12.8,14,14,12,"2007"
"867","TURBO",11.43,11.15,10,11.43,11.9,17.62,14,17.2,16.8,12,12,NA,"2007"
"868","KIPKAREN",12.86,12.03,12,15,16.5,17.5,17.5,17.5,16.5,10.4,13.95,10.8,"2007"
"869","ITEN",11.9,25,26.25,11.9,NA,NA,NA,NA,20,17.5,NA,NA,"2007"
"870","KAJIADO TOWN",20,20,NA,20,20,20,20,20,25,20,25,NA,"2007"
"871","KAPKATENY",12.52,13.67,13.56,14.29,17.14,17.14,17.14,17.62,14.29,11.9,11.9,NA,"2007"
"872","BUNGOMA TOWN",14.29,13.97,13.64,15.24,13.64,NA,NA,NA,NA,14.55,13.64,14.29,"2007"
"873","KIMILILI",13.33,13.67,12.85,14.29,NA,15.71,16.67,15.71,16.67,11.9,13.33,14.29,"2007"
"874","KAPSOKWONY",13.1,13.34,14.04,15.24,18.1,18.1,17.14,18.1,14.29,13.33,14.29,12.38,"2007"
"875","BUTERE",NA,NA,14.7,14.55,15.91,16.52,15.71,NA,NA,NA,NA,NA,"2007"
"876","KAKAMEGA",13.97,13.97,13.64,15.24,15.24,16.29,15.91,13.64,13.64,12.73,13.64,13.64,"2007"
"877","MUMIAS",NA,NA,14.69,14.65,15.71,16.67,17,NA,NA,NA,NA,NA,"2007"
"878","MUNDETA",14.29,14.29,14.29,14.29,15.24,15.24,15.24,14.29,14.29,NA,15.24,14.29,"2007"
"879","CHEPTULA",14.29,14.29,14.29,15.24,15.24,NA,14.29,13.33,NA,15.24,14.29,14.29,"2007"
"880","Mbale",14.29,13.64,13.64,14.29,NA,15.24,15.24,14.29,14.55,14.55,13.64,14.29,"2007"
"881","KAWANGWARE",22,20,20,20,30,21.05,19.05,20,19.05,18.1,18.28,20,"2007"
"882","BURMA",20,20,22,22,22,20,20,20,20,20,22,25,"2007"
"883","KIKOMBA",19.05,19,20,19,18.18,20,18.18,20,19.05,17.14,20,20.45,"2007"
"884","KANGEMI",19.49,20.5,19.05,19,20,20,20,20,18.18,19.05,20,20.45,"2007"
"885","KOROKOCHO",17.95,19.5,20,19,20,18.18,18.18,19,16.36,19.5,19.05,20,"2007"
"886","TOI",21,20.1,17.95,17.5,29.21,17.39,16.67,16.67,15,15.38,17.14,18.18,"2007"
"887","Kiambu",15.08,19.05,20.48,19.05,21.43,21.43,19.53,19.05,15.71,15.05,16.67,16.67,"2006"
"888","Limuru",18.25,19,17.5,21.5,21.25,22.5,21.43,22.5,17.5,23.53,17.5,15,"2006"
"889","Thika",19.05,19.05,18.18,20,NA,20,19.05,19.05,20,18.18,18.1,20,"2006"
"890","Gatundu",21,19.05,23.81,19.05,NA,21.43,18.18,NA,NA,19.05,15.22,19.05,"2006"
"891","Muthithi",19.05,NA,16.67,21.43,22.5,NA,NA,14.29,NA,14.29,15.24,13.33,"2006"
"892","Mukuyu",21.05,20,21.05,20,23.68,23.81,23.68,18.42,18.42,18.42,17.55,16.67,"2006"
"893","Kiriaini",19.05,19.05,19.05,19.05,23.81,23.81,23.81,16.67,16.67,16.67,16.67,16.67,"2006"
"894","Engineer",16.67,19.05,16.67,16.67,16.67,16.97,19.05,18.18,19.05,19.05,19.05,20,"2006"
"895","Nyeri",19.05,20,19.05,20,21.43,21.43,21.43,19.05,19.05,19.05,NA,NA,"2006"
"896","Endarasha",14.29,19.05,19.05,NA,NA,19.05,19.05,19.05,16.67,19.05,19.05,19.05,"2006"
"897","Karatina",16.59,18.18,NA,18.18,20.45,20.45,NA,18.18,NA,15.91,15.91,15.91,"2006"
"898","Gakindu",NA,NA,20,19.05,17.5,20,21.43,22.5,19.05,22.5,16.67,20,"2006"
"899","Nanyuki",19.05,19.05,21.05,NA,NA,NA,NA,NA,20.91,18.18,20,22.22,"2006"
"900","Mariakani",18,19,19,18,22,22,18,18,22,22,22,22,"2006"
"901","Kaloleni",20,20,20,20,NA,22,22,20,20,20,20,20,"2006"
"902","Malindi",23.8,27.17,27.78,28.41,25,31.58,25,25,25.77,20,20,25,"2006"
"903","Kibauni Kilifi",20,19,19,20,22,22,20,19,19,22,20,21,"2006"
"904","Ukunda",30,30,30,31.33,35,32,32,32,32,38,35,35,"2006"
"905","Mwembe Tayari",18,25,NA,20,NA,18,20,20,18,18,20,20,"2006"
"906","Majengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"907","Sega",19.5,22,24,24,20,22,20,21,20,18,22,20,"2006"
"908","Voi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"909","Mackinon",NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,"2006"
"910","Kongowea",18,17.5,20,20,22,24,20,21,15,22,22,20,"2006"
"911","Hola",20,20,20,20,NA,NA,NA,16,20,16,15,NA,"2006"
"912","Garsen",NA,20,20,20,20,20,NA,NA,20,17.5,NA,NA,"2006"
"913","Runyenjes",17.5,20,20,20,20,20,19.05,20,20,20,20,17.5,"2006"
"914","Embu Town",17.5,15,17.5,20,20,20,20,20,17.5,18.75,17.5,17.5,"2006"
"915","Siakago",NA,20,17.5,20,20,19.53,17.5,13.5,15,NA,20,17.5,"2006"
"916","Mwingi",17,17,20,20,22,22,21,18,16,NA,17,16,"2006"
"917","Migwani",18,18,20,18,20,20,20,20,17.17,18,18,NA,"2006"
"918","Kalundu",17,20,17,20.41,20,22,20,17,17,17,NA,NA,"2006"
"919","Machakos Town",20,20,18,20.11,20,18,18,15,15,18,21.05,NA,"2006"
"920","Tala",17.57,18,NA,19.05,20,17,16.67,17,12,11.9,22,12,"2006"
"921","Maua",21.11,21.11,22.22,22.22,NA,20,20,15,NA,22.22,20,20,"2006"
"922","Kianjai",18.89,17.78,16.67,18.34,18,21.11,21.11,18.89,NA,18.89,18.89,18.89,"2006"
"923","Mwendantu",14.1,15.45,13.64,13.64,16,15.45,18.18,18.18,16.36,16.36,16.36,15.45,"2006"
"924","Wote",17,20,18,20,21,20,17,17,17,16,16,NA,"2006"
"925","Garissa Town",NA,NA,NA,NA,NA,NA,NA,NA,20,29.41,NA,22.22,"2006"
"926","Daraja Mbili",13.74,15.91,18.18,18.18,21.82,21.74,22.86,12.73,12.73,13.64,16.67,15.91,"2006"
"927","Kibirigo",15.24,17.39,18.75,19.79,23.48,25,17.82,15.91,14.58,17.62,16.67,15.91,"2006"
"928","Riochanda",12.51,16.67,15.83,19.59,24.17,25,12.5,11.9,NA,14.29,14.29,16.67,"2006"
"929","Nyabite",13.61,18.75,17.5,NA,20.83,21.57,15,15.71,NA,15.71,15.71,15.71,"2006"
"930","Kibuye",16.82,18.18,NA,20.45,NA,20.45,17.27,NA,15.91,NA,NA,14.55,"2006"
"931","Mogonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.27,15.24,15.24,"2006"
"932","Nyamache",NA,NA,NA,NA,NA,NA,NA,14.29,NA,11.9,15.24,16.67,"2006"
"933","Ahero",15.76,18.18,NA,20.45,20.45,20.45,NA,14.55,14.55,NA,NA,16.67,"2006"
"934","Homa Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"935","Oyugis",14.55,15.22,19.09,20.66,20.45,23.91,NA,NA,NA,NA,NA,NA,"2006"
"936","Kehancha",NA,NA,NA,NA,NA,NA,NA,16.67,19.05,19.05,19.05,21.43,"2006"
"937","Kiboswa",15.45,17.27,NA,19.55,NA,20.45,16.36,13.18,13.33,15.71,16.67,16.67,"2006"
"938","Sondu",15.91,18.18,NA,NA,21.82,20.91,NA,13.64,14.55,14.29,15.71,15.24,"2006"
"939","Bondo",16.5,17.5,17.5,21,20,17.5,15,14,15,15,15,15,"2006"
"940","Akala",NA,NA,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"941","Siaya",14.55,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"942","Ugunja",14.29,14.55,NA,17.27,18.18,NA,16.36,NA,NA,NA,NA,NA,"2006"
"943","Oyugis",14.55,NA,NA,20.66,20.45,23.91,NA,NA,NA,NA,NA,NA,"2006"
"944","Kabarnet",13,15,15,16,18,19,19,18,NA,17,17,NA,"2006"
"945","Litein",16.67,19.05,NA,NA,NA,NA,NA,NA,NA,16.67,16.67,NA,"2006"
"946","Nakuru Town",22.22,20,20,20,20,22.22,22.22,22.22,22.22,22.22,22.22,22.22,"2006"
"947","Kapsabet",13.04,17.39,17.39,17.39,18.7,NA,19.05,15.32,11.36,10.87,13.33,NA,"2006"
"948","Kilgoris",NA,NA,17.62,20.45,22.61,23.64,21.43,NA,NA,14.29,NA,NA,"2006"
"949","Eldoret",NA,16,NA,15.24,16.67,NA,22.5,15,NA,11.9,NA,NA,"2006"
"950","Burnt Forest",NA,15,15.22,19,19,NA,NA,17.5,17.5,16.67,16.67,10,"2006"
"951","Turbo",10.42,12.5,15.22,17.5,14.58,19.95,20.23,19,13.64,14.29,NA,11.9,"2006"
"952","Kipkaren",15,15.45,13.04,15.91,16,16.8,16.6,12.73,13.03,13.33,NA,NA,"2006"
"953","Iten",12.57,12.5,14.29,14.29,16.67,19.05,19.05,NA,NA,14.29,14.29,NA,"2006"
"954","Flax",14.29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006"
"955","Kajiado Township",20,22,20,20,NA,20,20,20,25,25,25,20,"2006"
"956","Kapkateny",10.15,15.65,15.22,15.22,19.57,19.57,19.13,14.13,11.36,10.95,11.9,13.33,"2006"
"957","Kapsokwony",10.76,15.22,15.22,15.65,19.57,19.57,18.05,13.04,13.04,11.43,NA,NA,"2006"
"958","Bumala",14.29,16.67,16.19,NA,NA,NA,NA,NA,11.9,NA,NA,NA,"2006"
"959","Busia Town",13.33,15.71,NA,20,NA,NA,NA,9.52,NA,NA,NA,NA,"2006"
"960","Butere",15.61,15.91,15.91,20,20,19.13,22.86,NA,NA,13.64,NA,NA,"2006"
"961","Kakamega Town",12.73,NA,NA,18.18,NA,21.36,22.86,NA,NA,13.18,12.73,13.64,"2006"
"962","Mumias",15.24,17.5,15.91,18.14,19.09,20.45,21.9,NA,NA,15,NA,NA,"2006"
"963","Mudete",15,16.67,18.1,18.1,20,22.86,20.48,20.21,14.29,13.33,14.29,14.29,"2006"
"964","Cheptulu",14.17,16,18.5,18.34,20,22.5,14.29,16.67,26.41,14.29,14.29,14.29,"2006"
"965","Mbale",15.46,16.67,15.91,15.91,18.18,20.45,19.05,13.64,28.23,14.29,14.29,14.29,"2006"
"966","Kawangware",21.43,22,21.43,21.4,21.43,23.81,21.43,21.43,19,18.18,20,23.53,"2006"
"967","Burma",22.5,25,25,25,25,25,25,25,25,25,25,25,"2006"
"968","Gikomba",20,20,21.05,20,25.51,25.51,22.22,22.22,21.51,20.41,20.5,22.22,"2006"
"969","Kangemi",21.05,21.43,21.43,20.45,21.43,22.86,23.81,23.81,20,18.1,20,21.62,"2006"
"970","Korogocho",21.28,20,22.22,20,25,25,21.05,21.05,21.86,21.86,21.86,23.53,"2006"
"971","Kibera(Toi)",19.05,20.48,20.48,21.43,21.43,21.43,23.86,23.86,16.67,16.19,19.05,21.16,"2006"
