"Oyugis",14.55,"-","-",20.66,20.45,23.91,,,,,"-","-"
"Kabarnet",13.00,15.00,15.00,16.00,18.00,19.00,19.00,18.00,,17.00,17.00,"-"
"Litein",16.67,19.05,"-","-",,,,,,16.67,16.67,"-"
"Nakuru Town",22.22,20.00,20.00,20.00,20.00,22.22,22.22,22.22,22.22,22.22,22.22,22.22
"Kapsabet",13.04,17.39,17.39,17.39,18.70,"-",19.05,15.32,11.36,10.87,13.33,"-"
"Kilgoris","-","-",17.62,20.45,22.61,23.64,21.43,"-","-",14.29,"-","-"
"Eldoret","-",16.00,"-",15.24,16.67,,22.50,15.00,,11.90,"-","-"
"Burnt Forest","-",15.00,15.22,19.00,19.00,,,17.50,17.50,16.67,16.67,10.00
"Turbo",10.42,12.50,15.22,17.50,14.58,19.95,20.23,19.00,13.64,14.29,"-",11.90
"Kipkaren",15.00,15.45,13.04,15.91,16.00,16.80,16.60,12.73,13.03,13.33,"-","-"
"Iten",12.57,12.50,14.29,14.29,16.67,19.05,19.05,,,14.29,14.29,"-"
"Flax",14.29,14.00,"-","-","-","-","-","-","-","-","-","-"
"Kajiado Township",20.00,22.00,20.00,20.00,"-",20.00,20.00,20.00,25.00,25.00,25.00,20.00
"Kapkateny",10.15,15.65,15.22,15.22,19.57,19.57,19.13,14.13,11.36,10.95,11.90,13.33
"Kapsokwony",10.76,15.22,15.22,15.65,19.57,19.57,18.05,13.04,13.04,11.43,"-","-"
"Bumala",14.29,16.67,16.19,"-",,,,,11.90,,"-","-"
"Busia Town",13.33,15.71,"-",20.00,,,,9.52,,,"-","-"
"Butere",15.61,15.91,15.91,20.00,20.00,19.13,22.86,,,13.64,"-","-"
"Kakamega Town",12.73,"-","-",18.18,"-",21.36,22.86,"-","-",13.18,12.73,13.64
"Mumias",15.24,17.50,15.91,18.14,19.09,20.45,21.90,,,15.00,"-","-"
"Mudete",15.00,16.67,18.10,18.10,20.00,22.86,20.48,20.21,14.29,13.33,14.29,14.29
"Cheptulu",14.17,16.00,18.50,18.34,20.00,22.50,14.29,16.67,26.41,14.29,14.29,14.29
"Mbale",15.46,16.67,15.91,15.91,18.18,20.45,19.05,13.64,28.23,14.29,14.29,14.29
"Kawangware",21.43,22.00,21.43,21.40,21.43,23.81,21.43,21.43,19.00,18.18,20.00,23.53
"Burma",22.50,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
"Gikomba",20.00,20.00,21.05,20.00,25.51,25.51,22.22,22.22,21.51,20.41,20.50,22.22
"Kangemi",21.05,21.43,21.43,20.45,21.43,22.86,23.81,23.81,20.00,18.10,20.00,21.62
"Korogocho",21.28,20.00,22.22,20.00,25.00,25.00,21.05,21.05,21.86,21.86,21.86,23.53
"Kibera(Toi)",19.05,20.48,20.48,21.43,21.43,21.43,23.86,23.86,16.67,16.19,19.05,21.16
