,MARKETS,county,countyID
303,Kongowea,,
304,Hola,,
305,Garsen,,
306,BuraTana,,
307,Runyenjes,,
308,Embu Town,,
309,Siakago,,
310,Mwingi,,
311,Kalundu,,
312,Machakos Town,,
313,Tawa,,
314,Tala,,
315,Maua,,
316,Kianjai,,
317,Gakoromere,,
318,Chuka Town,,
319,Kaanwa,,
320,Wote,,
321,Wajir Town,,
322,Marsabit,,
323,DarajaMbili,,
324,Kibirigo,,
325,Nyangusu,,
326,Riochanda,,
327,Nyabite,,
328,Mogonga,,
329,Igare,,
330,Kibuye,,
331,Ahero,,
332,Kiboswa,,
333,Sondu,,
334,Bondo,,
335,Siaya,,
336,Ngiya,,
337,Unguja,,
338,Kegonga,,
339,Homabay,,
340,Oyugis,,
341,Kehacha,,
342,Migori,,
343,SokoMjinga,,
344,Kabarnet,,
345,Kipkelion,,
346,MuthurwaNarok,,
347,Nakuru Town,,
348,Kapsabet,,
349,Kitale,,
350,Kapenguria,,
351,Eldoret,,
352,Burn Forest,,
353,Turbo,,
354,Kipkaren,,
355,Iten,,
356,Kajiado,,
357,Bungoma Town,,
358,Kimilili,,
359,Kapsokwony,,
360,Bumala,,
361,Busia Town,,
362,Butere,,
363,Kakamega,,
364,Mumias,,
365,Mundeta,,
366,Cheptula,,
367,Mbale,,
368,Muthurwa,,
369,Kawangware,,
370,Burma,,
371,Gikomba,,
372,Kangemi,,
373,Korokocho,,
374,Toi,,
375,KIAMBU,,
376,LIMURU,,
377,THIKA,,
378,GATUNDU,,
379,KUTUS,,
380,SAGANA,,
381,KERUGOYA,,
382,MUTHITHI,,
383,MUKUYU,,
384,KIRIAINI,,
385,ENGINNEER,,
386,NYERI,,
387,ENDARASHA,,
388,KARATINA,,
389,GAKINDU,,
390,NANYUKI,,
391,NYAHURURU,,
392,KALOLENI,,
393,MALINDI,,
394,KIBAUNI KILIFI,,
395,UKUNDA,,
396,KWALE,,
397,MWEMBE TAYARI,,
398,MAJENGO,,
399,MACKINON,,
400,SEGA,,
401,KONGOWEA,,
402,HOLA,,
403,GARSEN,,
404,BURA TANA,,
405,RUNYENJES,,
406,EMBU TOWN,,
407,SIAKAGO,,
408,MWINGI,,
409,KALUNDU,,
410,MACHAKOS,,
411,TALA,,
412,MAUA,,
413,KIANJAI,,
414,GAKOROMERE,,
415,MARSABIT,,
416,WOTE,,
417,DARAJA MBILI,,
418,KIBIRIGO,,
419,NYANGUSU,,
420,RIOCHANDA,,
421,NYABITE,,
422,MIRUKA,,
423,IGARE,,
424,KIBUYE,,
425,AHERO,,
426,KIBOSWA,,
427,SONDU,,
428,BONDO,,
429,SIAYA,,
430,NGIYA,,
431,UNGUJA,,
432,HOMABAY,,
433,OYUGIS,,
434,KEHACHA,,
435,SOKO MJINGA,,
436,KABARNET,,
437,MUTHURWA,,
438,NAKURU,,
439,KAPSABET,,
440,KITALE,,
441,ELDORET,,
442,BURN FOREST,,
443,TURBO,,
444,KIPKAREN,,
445,ITEN,,
446,KAJIADO,,
447,BUNGOMA,,
448,KIMILILI,,
449,KAPSOKWONY,,
450,BUMALA,,
451,BUSIA TOWN,,
452,BUTERE,,
453,KAKAMEGA,,
454,MUMIAS,,
455,MUNDETA,,
456,CHEPTULA,,
457,MBALE,,
458,HARAMBEE,,
459,WAKULIMA,,
460,KAWANGWARE,,
461,BURMA,,
462,KIKOMBA,,
463,KANGEMI,,
464,KOROKOCHO,,
465,TOI,,
466,KIAMBU,,
467,LIMURU,,
468,THIKA,,
469,GATUNDU,,
470,KUTUS,,
471,SAGANA,,
472,KERUGOYA,,
473,MUTHITHI,,
474,MUKUYU,,
475,KIRIAINI,,
476,ENGINEER,,
477,NYERI,,
478,ENDARASHA,,
479,KARATINA,,
480,GAKINDU,,
481,NANYUKI,,
482,SIPILI,,
483,MARIAKANI,,
484,KALOLENI,,
485,MALINDI,,
486,KIBAUNI KILIFI,,
487,UKUNDA,,
488,MKUNGUNI,,
489,MWEMBE TAYARI,,
490,MAJENGO,,
491,MACKINON,,
492,SEGA,,
493,KONGOWEA,,
494,HOLA,,
495,GARSEN,,
496,BURA TANA,,
497,RUNYENJES,,
498,EMBU TOWN,,
499,SIAKAGO,,
500,MWINGI,,
501,MIGWANI,,
502,KALUNDU,,
503,MACHAKOS TOWN,,
504,TAWA,,
505,TALA,,
506,MAUA,,
507,KIANJAI,,
508,MWENDANTU,,
509,WOTE,,
510,GARISSA TOWN,,
511,MANDERA TOWN,,
512,DARAJA MBILI,,
513,KIBIRIGO,,
514,RIOSIRE,,
515,RIOCHANDA,,
516,NYABITE,,
517,MOGONGA,,
518,NYAMACHE,,
519,KIBUYE,,
520,AHERO,,
521,KIBOSWA,,
522,SONDU,,
523,BONDO,,
524,SIAYA,,
525,NGIYA,,
526,UGUNJA,,
527,OYUGIS,,
528,KABARNET,,
529,KERICHO,,
530,NAKURU TOWN,,
531,KAPSABET,,
532,KITALE,,
533,ELDORET,,
534,BURNT FOREST,,
535,TURBO,,
536,KIPKAREN,,
537,ITEN,,
538,BUNGOMA TOWN,,
539,KIMILILI,,
540,KAPSOKWONY,,
541,BUTERE,,
542,KAKAMEGA TOWN,,
543,MUMIAS,,
544,MUDETE,,
545,CHEPTULU,,
546,MBALE,,
547,WAKULIMA,,
548,KAWANGWARE,,
549,BURMA,,
550,KIKOMBA,,
551,KANGEMI,,
552,KOROGOCHO,,
553,KIBERA(TOI),,
554,NYAMAKIMA,,
555,KIAMBU,,
556,LIMURU,,
557,THIKA,,
558,GATUNDU,,
559,KUTUS,,
560,SAGANA,,
