,Year,Month,p10,p30,p50,p70,mean,County,CountyID
1,2001,12,29,41,49,58,49.51,Baringo,33
2,2002,1,23,34,43,53,44.71,Baringo,33
3,2002,2,15,24,33,44,36.24,Baringo,33
4,2002,3,9,17,25,36,28.67,Baringo,33
5,2002,4,10,21,31,41,32.96,Baringo,33
6,2002,5,16,27,38,50,39.55,Baringo,33
7,2002,6,16,28,39,50,39.99,Baringo,33
8,2002,7,17,31,43,55,43.43,Baringo,33
9,2002,8,12,23,33,46,35.93,Baringo,33
10,2002,9,5,11,19,31,25.15,Baringo,33
11,2002,10,4,9,15,24,20.08,Baringo,33
12,2002,11,3,8,13,20,17.23,Baringo,33
13,2002,12,3,8,15,25,19.97,Baringo,33
14,2003,1,15,24,32,41,35.05,Baringo,33
15,2003,2,18,31,41,53,42.56,Baringo,33
16,2003,3,10,20,30,43,32.72,Baringo,33
17,2003,4,5,10,17,28,21.64,Baringo,33
18,2003,5,15,22,27,34,28.95,Baringo,33
19,2003,6,38,50,58,65,56.64,Baringo,33
20,2003,7,45,61,70,78,67.55,Baringo,33
21,2003,8,37,53,64,74,62.53,Baringo,33
22,2003,9,39,52,61,70,60.79,Baringo,33
23,2003,10,38,52,61,69,59.7,Baringo,33
24,2003,11,24,37,47,58,47.85,Baringo,33
25,2003,12,11,20,29,42,33.9,Baringo,33
26,2004,1,13,22,29,38,32.6,Baringo,33
27,2004,2,16,27,35,44,36.55,Baringo,33
28,2004,3,10,18,26,37,29.55,Baringo,33
29,2004,4,15,22,29,37,31.85,Baringo,33
30,2004,5,36,46,53,59,52.19,Baringo,33
31,2004,6,39,52,60,68,59.11,Baringo,33
32,2004,7,25,38,48,60,49.7,Baringo,33
33,2004,8,18,29,41,54,42.74,Baringo,33
34,2004,9,16,29,40,52,41.4,Baringo,33
35,2004,10,21,32,41,52,43.02,Baringo,33
36,2004,11,23,34,42,52,43.57,Baringo,33
37,2004,12,29,41,51,60,50.86,Baringo,33
38,2005,1,20,32,42,53,43.47,Baringo,33
39,2005,2,15,23,32,42,34.03,Baringo,33
40,2005,3,7,15,23,33,25.38,Baringo,33
41,2005,4,9,18,26,36,28.46,Baringo,33
42,2005,5,18,26,34,44,36.87,Baringo,33
43,2005,6,32,43,50,58,51.05,Baringo,33
44,2005,7,41,55,63,70,61.38,Baringo,33
45,2005,8,40,54,64,72,62.01,Baringo,33
46,2005,9,37,51,61,69,59.45,Baringo,33
47,2005,10,44,54,62,69,61.05,Baringo,33
48,2005,11,35,45,54,62,53.94,Baringo,33
49,2005,12,18,26,34,44,37.27,Baringo,33
50,2006,1,5,8,12,18,16.46,Baringo,33
51,2006,2,2,4,6,9,9.56,Baringo,33
52,2006,3,3,6,9,13,11.39,Baringo,33
53,2006,4,10,15,20,27,22.72,Baringo,33
54,2006,5,17,27,36,46,37.69,Baringo,33
55,2006,6,13,22,31,44,35.58,Baringo,33
56,2006,7,9,16,24,35,29.23,Baringo,33
57,2006,8,13,22,33,44,35.65,Baringo,33
58,2006,9,24,36,46,58,47.65,Baringo,33
59,2006,10,20,31,41,52,42.46,Baringo,33
60,2006,11,20,29,37,46,38.48,Baringo,33
61,2006,12,28,38,46,54,46.48,Baringo,33
62,2007,1,50,64,71,78,69.31,Baringo,33
63,2007,2,65,79,85,90,82.26,Baringo,33
64,2007,3,57,71,79,86,76.62,Baringo,33
65,2007,4,34,46,56,67,56.55,Baringo,33
66,2007,5,33,44,52,61,53.32,Baringo,33
67,2007,6,36,47,55,62,54.45,Baringo,33
68,2007,7,39,59,69,76,65.08,Baringo,33
69,2007,8,48,69,79,86,74.01,Baringo,33
70,2007,9,58,74,82,88,78.49,Baringo,33
71,2007,10,66,79,85,90,82.5,Baringo,33
72,2007,11,58,72,79,85,76.65,Baringo,33
73,2007,12,32,46,56,67,55.94,Baringo,33
74,2008,1,18,27,36,47,38.92,Baringo,33
75,2008,2,16,23,29,37,32.16,Baringo,33
76,2008,3,11,17,23,31,25.88,Baringo,33
77,2008,4,19,27,33,39,33.88,Baringo,33
78,2008,5,24,34,41,49,41.98,Baringo,33
79,2008,6,17,26,34,44,36.64,Baringo,33
80,2008,7,8,16,24,34,27.73,Baringo,33
81,2008,8,19,30,38,46,38.45,Baringo,33
82,2008,9,37,49,58,65,56.44,Baringo,33
83,2008,10,45,57,65,74,64.58,Baringo,33
84,2008,11,53,64,71,78,70.41,Baringo,33
85,2008,12,51,62,69,76,68.33,Baringo,33
86,2009,1,32,41,49,56,49.18,Baringo,33
87,2009,2,20,27,34,41,35.68,Baringo,33
88,2009,3,9,14,18,24,21,Baringo,33
89,2009,4,5,9,13,18,15.84,Baringo,33
90,2009,5,3,6,11,18,15.11,Baringo,33
91,2009,6,10,19,26,35,29.01,Baringo,33
92,2009,7,8,16,25,35,28.46,Baringo,33
93,2009,8,3,7,12,20,18.58,Baringo,33
94,2009,9,2,3,6,10,10.95,Baringo,33
95,2009,10,3,5,7,10,10.22,Baringo,33
96,2009,11,5,10,15,22,17.47,Baringo,33
97,2009,12,5,12,19,27,21.57,Baringo,33
98,2010,1,14,23,30,38,31.81,Baringo,33
99,2010,2,35,47,54,61,52.92,Baringo,33
100,2010,3,63,74,81,86,78.23,Baringo,33
101,2010,4,78,86,89,92,87.24,Baringo,33
102,2010,5,70,79,85,90,83.11,Baringo,33
103,2010,6,58,70,78,85,76.1,Baringo,33
104,2010,7,48,61,71,79,68.75,Baringo,33
105,2010,8,43,55,64,73,63.4,Baringo,33
106,2010,9,46,57,64,71,63.33,Baringo,33
107,2010,10,48,59,67,74,65.66,Baringo,33
108,2010,11,35,48,60,71,58.84,Baringo,33
109,2010,12,18,29,41,56,43.7,Baringo,33
110,2011,1,8,15,22,34,27.69,Baringo,33
111,2011,2,5,10,15,23,19.33,Baringo,33
112,2011,3,4,8,12,18,15.71,Baringo,33
113,2011,4,13,20,27,33,27.91,Baringo,33
114,2011,5,15,26,35,45,36.3,Baringo,33
115,2011,6,18,30,39,49,40.59,Baringo,33
116,2011,7,27,38,47,55,46.89,Baringo,33
117,2011,8,41,51,58,65,58.03,Baringo,33
118,2011,9,56,67,72,78,71.11,Baringo,33
119,2011,10,65,76,82,87,79.94,Baringo,33
120,2011,11,69,79,85,90,83.11,Baringo,33
121,2011,12,72,83,88,92,85.44,Baringo,33
122,2012,1,67,77,82,86,79.95,Baringo,33
123,2012,2,45,54,61,67,60.6,Baringo,33
124,2012,3,25,33,40,47,40.84,Baringo,33
125,2012,4,15,22,27,33,28.75,Baringo,33
126,2012,5,34,42,47,52,46.9,Baringo,33
127,2012,6,54,67,72,75,69.14,Baringo,33
128,2012,7,59,77,85,90,80.42,Baringo,33
129,2012,8,55,78,86,91,80.31,Baringo,33
130,2012,9,67,81,88,93,84.21,Baringo,33
131,2012,10,67,78,84,89,81.93,Baringo,33
132,2012,11,64,75,81,87,79.58,Baringo,33
133,2012,12,49,62,72,79,69.6,Baringo,33
134,2013,1,47,59,68,78,67.93,Baringo,33
135,2013,2,40,53,65,75,63.62,Baringo,33
136,2013,3,27,40,52,64,51.85,Baringo,33
137,2013,4,40,49,56,64,56.74,Baringo,33
138,2013,5,61,70,74,78,73.25,Baringo,33
139,2013,6,60,73,80,84,76.71,Baringo,33
140,2013,7,51,67,75,82,72.37,Baringo,33
141,2013,8,55,69,77,84,74.81,Baringo,33
142,2013,9,63,76,83,87,79.39,Baringo,33
143,2013,10,65,76,82,87,79.88,Baringo,33
144,2013,11,56,67,75,81,73.07,Baringo,33
145,2013,12,52,63,70,77,69.09,Baringo,33
146,2014,1,51,64,71,78,69.78,Baringo,33
147,2014,2,39,51,60,68,59.03,Baringo,33
148,2014,3,26,36,47,57,47.52,Baringo,33
149,2014,4,24,35,45,54,45.51,Baringo,33
150,2014,5,17,28,36,45,37.45,Baringo,33
151,2014,6,13,22,30,39,31.92,Baringo,33
152,2014,7,11,21,31,41,32.44,Baringo,33
153,2014,8,21,32,41,51,41.95,Baringo,33
154,2014,9,35,48,57,65,55.66,Baringo,33
155,2014,10,41,55,63,71,61.49,Baringo,33
156,2014,11,54,65,72,78,70.38,Baringo,33
157,2014,12,55,67,75,81,72.52,Baringo,33
158,2015,1,41,54,61,68,59.93,Baringo,33
159,2015,2,25,34,41,49,41.85,Baringo,33
160,2015,3,8,14,20,26,21.57,Baringo,33
161,2015,4,9,14,19,24,20.16,Baringo,33
162,2015,5,22,31,36,43,36.8,Baringo,33
163,2015,6,39,54,63,70,60.78,Baringo,33
164,2015,7,40,55,66,76,64.51,Baringo,33
165,2015,8,29,44,57,71,56.91,Baringo,33
166,2015,9,18,30,43,58,45.05,Baringo,33
167,2015,10,13,22,30,42,33.63,Baringo,33
168,2015,11,19,27,33,41,34.74,Baringo,33
169,2015,12,35,47,55,63,54.29,Baringo,33
170,2016,1,52,66,74,81,71.68,Baringo,33
171,2016,2,48,62,72,81,70.24,Baringo,33
172,2016,3,32,43,53,65,54.48,Baringo,33
173,2016,4,20,29,38,49,40.5,Baringo,33
174,2016,5,35,45,53,60,52.43,Baringo,33
175,2016,6,47,59,66,72,64.33,Baringo,33
176,2016,7,55,68,76,82,73.71,Baringo,33
177,2016,8,55,68,76,82,73.56,Baringo,33
178,2016,9,50,62,69,75,67.79,Baringo,33
179,2016,10,33,45,55,65,54.97,Baringo,33
180,2016,11,22,31,40,50,41.97,Baringo,33
181,2016,12,14,21,27,36,30.59,Baringo,33
182,2017,1,3,10,15,21,17.62,Baringo,33
183,2017,2,-1,7,12,18,13.46,Baringo,33
184,2017,3,-3,5,10,16,11.55,Baringo,33
185,2017,4,-1,7,12,18,13.59,Baringo,33
186,2017,5,2,13,19,27,20.16,Baringo,33
187,2017,6,7,19,28,38,28.83,Baringo,33
188,2017,7,12,25,35,47,37,Baringo,33
189,2017,8,31,45,54,63,53.36,Baringo,33
190,2017,9,49,63,71,78,69.13,Baringo,33
191,2017,10,59,72,79,86,77.84,Baringo,33
192,2017,11,60,75,83,90,80.96,Baringo,33
193,2017,12,55,69,77,85,75.84,Baringo,33
194,2018,1,33,44,53,61,52.39,Baringo,33
195,2018,2,15,24,32,41,33.1,Baringo,33
196,2001,12,56,65,72,79,71.28,Bomet,34
197,2002,1,53,63,70,76,69.04,Bomet,34
198,2002,2,52,61,66,72,66.04,Bomet,34
199,2002,3,49,60,67,72,65.21,Bomet,34
200,2002,4,59,68,73,78,72.12,Bomet,34
201,2002,5,64,72,77,82,76.42,Bomet,34
202,2002,6,55,64,71,78,71.14,Bomet,34
203,2002,7,45,54,62,71,63.57,Bomet,34
204,2002,8,37,49,57,66,57.47,Bomet,34
205,2002,9,28,41,51,61,51.07,Bomet,34
206,2002,10,18,27,35,48,39.72,Bomet,34
207,2002,11,11,19,28,45,34.66,Bomet,34
208,2002,12,39,48,55,63,56.16,Bomet,34
209,2003,1,43,61,69,75,65.93,Bomet,34
210,2003,2,49,64,73,79,69.6,Bomet,34
211,2003,3,43,52,58,64.6,58.49,Bomet,34
212,2003,4,23,34,43,52,43.51,Bomet,34
213,2003,5,17,31,41,51,40.61,Bomet,34
214,2003,6,39,54,63,71,60.83,Bomet,34
215,2003,7,44,59,67,75,65.24,Bomet,34
216,2003,8,46,57,65,72,63.81,Bomet,34
217,2003,9,44,58,66,74,64.63,Bomet,34
218,2003,10,43,58,67,76,65.21,Bomet,34
219,2003,11,44,56,63,70,62.33,Bomet,34
220,2003,12,27,44,57,69,55.82,Bomet,34
221,2004,1,18,35,51,64,49.52,Bomet,34
222,2004,2,24,40,55,64,52.1,Bomet,34
223,2004,3,36,51,61,69,59.59,Bomet,34
224,2004,4,56,66,72,77,70.69,Bomet,34
225,2004,5,56,67,74,80,72.49,Bomet,34
226,2004,6,46,61,71,78,68.2,Bomet,34
227,2004,7,31,44,53,63,53.69,Bomet,34
228,2004,8,16,24,34,51,40.04,Bomet,34
229,2004,9,19,29,39,54,43.4,Bomet,34
230,2004,10,33,46,55,65,55.6,Bomet,34
231,2004,11,34,46,54,62,54.11,Bomet,34
232,2004,12,29,45,59,71,57.26,Bomet,34
233,2005,1,43,55,65,73,63.5,Bomet,34
234,2005,2,48,57,63,69,62.58,Bomet,34
235,2005,3,38,48,56,64,55.62,Bomet,34
236,2005,4,48,58,65,72,64.4,Bomet,34
237,2005,5,53,62,68,73,66.83,Bomet,34
238,2005,6,50,61,68,74,66.46,Bomet,34
239,2005,7,36,49,58,65,56.31,Bomet,34
240,2005,8,35,48,56,63,55.01,Bomet,34
241,2005,9,42,55,63,71,62.48,Bomet,34
242,2005,10,41,54,62,69,60.78,Bomet,34
243,2005,11,39,49,56,62,55.34,Bomet,34
244,2005,12,17,28,39,56,43.53,Bomet,34
245,2006,1,5,10,18,31,26.93,Bomet,34
246,2006,2,2,5,8,14,17.96,Bomet,34
247,2006,3,7,9,12,19,18.47,Bomet,34
248,2006,4,27,38,46,52,44.68,Bomet,34
249,2006,5,47,62,72,81,69.4,Bomet,34
250,2006,6,55,68,77,83,73.92,Bomet,34
251,2006,7,41,51,60,69,60.36,Bomet,34
252,2006,8,24,40,56,71,55.17,Bomet,34
253,2006,9,10,25,44,67,45.85,Bomet,34
254,2006,10,8,21,35,54,38.42,Bomet,34
255,2006,11,13,22,33,47,37.31,Bomet,34
256,2006,12,27,38,46,54,46.09,Bomet,34
257,2007,1,47,64,75,81,70.51,Bomet,34
258,2007,2,68,83,89,93,84.98,Bomet,34
259,2007,3,78,85,89,92,87.31,Bomet,34
260,2007,4,69,76,80,84,79.19,Bomet,34
261,2007,5,61,70,76,82,75.25,Bomet,34
262,2007,6,55,65,70,76,69.69,Bomet,34
263,2007,7,43,59,66,72,63.74,Bomet,34
264,2007,8,36,57,68,76,64.15,Bomet,34
265,2007,9,35,53,64,74,61.81,Bomet,34
266,2007,10,48,58,66,72,64.65,Bomet,34
267,2007,11,39,50,58,67,58.7,Bomet,34
268,2007,12,21,34,46,62,48.09,Bomet,34
269,2008,1,23,35,45,56,46.45,Bomet,34
270,2008,2,27,39,46,54,46.14,Bomet,34
271,2008,3,17,31,41,51,40.68,Bomet,34
272,2008,4,21,36,49,59,47.27,Bomet,34
273,2008,5,37,51,59,65,56.78,Bomet,34
274,2008,6,34,44,52,62,53.17,Bomet,34
275,2008,7,18,29,41,56,43.24,Bomet,34
276,2008,8,20,31,40,50,41.13,Bomet,34
277,2008,9,34,48,58,66,56.59,Bomet,34
278,2008,10,41,58,67,75,64.39,Bomet,34
279,2008,11,51,65,72,78,69.82,Bomet,34
280,2008,12,59,68,75,80,73.75,Bomet,34
281,2009,1,40,50,57,63,56.28,Bomet,34
282,2009,2,29,39,46,53,45.65,Bomet,34
283,2009,3,27,39,47,54,46.09,Bomet,34
284,2009,4,30,44,53,61,51.23,Bomet,34
285,2009,5,26,38,47,55,46.3,Bomet,34
286,2009,6,41,54,62,69,60.43,Bomet,34
287,2009,7,42,52,59,66,59.1,Bomet,34
288,2009,8,26,36,44,56,47.53,Bomet,34
289,2009,9,13,25,38,52,39.85,Bomet,34
290,2009,10,15,31,45,57,43.69,Bomet,34
291,2009,11,19,38,53,64,49.97,Bomet,34
292,2009,12,29,47,60,69,56.68,Bomet,34
293,2010,1,48,59,67,75,66.49,Bomet,34
294,2010,2,61,71,76,80,74.32,Bomet,34
295,2010,3,67,79,83,87,80.92,Bomet,34
296,2010,4,75,83,87,90,84.98,Bomet,34
297,2010,5,72,80,84,88,83.06,Bomet,34
298,2010,6,63,73,79,84,77.66,Bomet,34
299,2010,7,51,60,66,72,66.07,Bomet,34
300,2010,8,33,43,51,61,52.76,Bomet,34
301,2010,9,21,32,41,50,41.52,Bomet,34
302,2010,10,29,41,49,57,48.99,Bomet,34
303,2010,11,43,61,72,80,68.01,Bomet,34
304,2010,12,59,71,78,84,75.8,Bomet,34
305,2011,1,60,68,73,78,72.64,Bomet,34
306,2011,2,49,58,64,70,63.21,Bomet,34
307,2011,3,34,45,51,58,51.49,Bomet,34
308,2011,4,40,50,56,62,55.87,Bomet,34
309,2011,5,41,51,58,64,57.28,Bomet,34
310,2011,6,42,53,61,68,59.88,Bomet,34
311,2011,7,43,54,62,69,61.29,Bomet,34
312,2011,8,42,55,63,72,62.51,Bomet,34
313,2011,9,46,59,67,75,65.78,Bomet,34
314,2011,10,41,56,67,76,64.52,Bomet,34
315,2011,11,55,69,77,84,74.8,Bomet,34
316,2011,12,52,69,78,84,73.94,Bomet,34
317,2012,1,61,71,76,80,73.87,Bomet,34
318,2012,2,43,51,56,61,55.7,Bomet,34
319,2012,3,25,34,40,45,40.13,Bomet,34
320,2012,4,27,37,44,49,42.2,Bomet,34
321,2012,5,36,50,58,65,55.72,Bomet,34
322,2012,6,46,59,66,71,63.6,Bomet,34
323,2012,7,46,60,67,73,64.67,Bomet,34
324,2012,8,44,59,67,74,64.7,Bomet,34
325,2012,9,48,62,71,78,68.75,Bomet,34
326,2012,10,53,65,73,80,71.16,Bomet,34
327,2012,11,55,68,75,81,73.14,Bomet,34
328,2012,12,58,68,75,80,73.41,Bomet,34
329,2013,1,57,70,77,83,75.16,Bomet,34
330,2013,2,61,70,77,82,75.05,Bomet,34
331,2013,3,63,70,74,78,72.95,Bomet,34
332,2013,4,61,70,75,79,73.61,Bomet,34
333,2013,5,63,71,76,81,75.01,Bomet,34
334,2013,6,47,56,63,70,63.36,Bomet,34
335,2013,7,26,37,47,60,50.63,Bomet,34
336,2013,8,19,33,44,58,45.89,Bomet,34
337,2013,9,32,46,55,65,54.99,Bomet,34
338,2013,10,44,58,66,73,64.16,Bomet,34
339,2013,11,46,60,68,74,65.7,Bomet,34
340,2013,12,29,42,50,57,49.14,Bomet,34
341,2014,1,40,51,58,64,57.24,Bomet,34
342,2014,2,50,59,64,69,62.81,Bomet,34
343,2014,3,53,63,70,76,68.78,Bomet,34
344,2014,4,52,62,68,73,66.62,Bomet,34
345,2014,5,40,47,55,64,56.54,Bomet,34
346,2014,6,15,22,35,57,41.44,Bomet,34
347,2014,7,17,28,37,54,42.53,Bomet,34
348,2014,8,31,43,51,60,51.23,Bomet,34
349,2014,9,45,59,68,75,65.73,Bomet,34
350,2014,10,54,67,75,81,72.65,Bomet,34
351,2014,11,54,66,73,80,71.81,Bomet,34
352,2014,12,43,56,65,72,63.46,Bomet,34
353,2015,1,49,58,65,71,64.4,Bomet,34
354,2015,2,44,54,60,65,58.84,Bomet,34
355,2015,3,22,30,37,44,38.45,Bomet,34
356,2015,4,11,15,20,27,23.83,Bomet,34
357,2015,5,19,26,31,38,33.16,Bomet,34
358,2015,6,21,43,62,72,55.01,Bomet,34
359,2015,7,45,64,79,86,72.48,Bomet,34
360,2015,8,62,74,81,87,78.96,Bomet,34
361,2015,9,59,71,78,84,76.11,Bomet,34
362,2015,10,46,60,69,78,67.84,Bomet,34
363,2015,11,35,47,57,66,55.96,Bomet,34
364,2015,12,31,51,66,74,60.48,Bomet,34
365,2016,1,50,69,84,89,76.61,Bomet,34
366,2016,2,64,87,93,96,86.35,Bomet,34
367,2016,3,72,82,87,91,84.31,Bomet,34
368,2016,4,62,71,77,82,75.74,Bomet,34
369,2016,5,46,58,64,70,63.47,Bomet,34
370,2016,6,45,58,65,71,63.85,Bomet,34
371,2016,7,48,63,71,77,67.95,Bomet,34
372,2016,8,50,64,72,78,69.55,Bomet,34
373,2016,9,41,53,62,70,61.64,Bomet,34
374,2016,10,31,43,53,65,54.28,Bomet,34
375,2016,11,40,51,59,68,59.8,Bomet,34
376,2016,12,40,53,63,71,61.42,Bomet,34
377,2017,1,28,43,54,62,51.4,Bomet,34
378,2017,2,22,33,44,56,44.92,Bomet,34
379,2017,3,27,39,50,61,49.02,Bomet,34
380,2017,4,37,51,62,74,61.13,Bomet,34
381,2017,5,37,51,62,72,60.77,Bomet,34
382,2017,6,36,50,59,69,58.45,Bomet,34
383,2017,7,31,47,59,72,58.46,Bomet,34
384,2017,8,35,52,63,74,61.68,Bomet,34
385,2017,9,37,54,65,74,62.73,Bomet,34
386,2017,10,42,59,68,76,65.66,Bomet,34
387,2017,11,53,66,74,81,71.72,Bomet,34
388,2017,12,58,68,75,81,73.77,Bomet,34
389,2018,1,51,61,68,74,66.87,Bomet,34
390,2018,2,46,56,62,69,61.64,Bomet,34
391,2001,12,33,49,58,67,57.14,Bungoma,52
392,2002,1,37,48,56,63,55.74,Bungoma,52
393,2002,2,26,37,45,54,46.31,Bungoma,52
394,2002,3,24,35,42,51,43.75,Bungoma,52
395,2002,4,37,47,54,62,54.7,Bungoma,52
396,2002,5,43,57,65,73,63.63,Bungoma,52
397,2002,6,38,54,63,72,61.59,Bungoma,52
398,2002,7,30,47,58,69,57.11,Bungoma,52
399,2002,8,25,41,52,63,51.89,Bungoma,52
400,2002,9,19,35,47,59,47.26,Bungoma,52
401,2002,10,16,29,42,55,43.09,Bungoma,52
402,2002,11,17,32,45,58,45.21,Bungoma,52
403,2002,12,28,47,57,67,55.12,Bungoma,52
404,2003,1,43,60,70,77,66.83,Bungoma,52
405,2003,2,48,61,68,75,66.56,Bungoma,52
406,2003,3,32,44,51,60,52.39,Bungoma,52
407,2003,4,18,32,42,52,42.44,Bungoma,52
408,2003,5,15,26,35,46,36.59,Bungoma,52
409,2003,6,28,40,48,58,48.99,Bungoma,52
410,2003,7,39,53,62,71,61.04,Bungoma,52
411,2003,8,35,62,74,82,68.34,Bungoma,52
412,2003,9,32,52,65,74,61.29,Bungoma,52
413,2003,10,33,45,54,63,54.12,Bungoma,52
414,2003,11,23,36,47,58,47.1,Bungoma,52
415,2003,12,19,30,40,53,42.38,Bungoma,52
416,2004,1,19,31,42,53,43.1,Bungoma,52
417,2004,2,20,33,44,56,44.65,Bungoma,52
418,2004,3,20,34,44,55,44.32,Bungoma,52
419,2004,4,22,34,43,52,42.99,Bungoma,52
420,2004,5,28,39,46,53,46.35,Bungoma,52
421,2004,6,27,39,48,56,47.61,Bungoma,52
422,2004,7,23,37,48,59,48.03,Bungoma,52
423,2004,8,24,36,45,54,45.41,Bungoma,52
424,2004,9,24,39,49,58,48.28,Bungoma,52
425,2004,10,26,42,53,63,51.69,Bungoma,52
426,2004,11,26,41,51,62,51.65,Bungoma,52
427,2004,12,33,46,55,64,55.24,Bungoma,52
428,2005,1,42,52,59,66,59.42,Bungoma,52
429,2005,2,32,42,49,56,49.88,Bungoma,52
430,2005,3,18,27,35,43,36.5,Bungoma,52
431,2005,4,27,36,43,52,44.58,Bungoma,52
432,2005,5,46,56,62,69,61.88,Bungoma,52
433,2005,6,53,64,70,75,68.35,Bungoma,52
434,2005,7,47,59,66,73,65.28,Bungoma,52
435,2005,8,34,47,55,64,54.86,Bungoma,52
436,2005,9,27,40,50,60,49.86,Bungoma,52
437,2005,10,17,29,39,50,40.61,Bungoma,52
438,2005,11,23,35,46,57,46.41,Bungoma,52
439,2005,12,20,31,42,55,44.58,Bungoma,52
440,2006,1,13,18,24,33,32.25,Bungoma,52
441,2006,2,5,8,11,19,21.42,Bungoma,52
442,2006,3,13,19,24,32,28.63,Bungoma,52
443,2006,4,38,47,53,59,53.26,Bungoma,52
444,2006,5,58,72,78,83,75.26,Bungoma,52
445,2006,6,54,69,76,82,73,Bungoma,52
446,2006,7,37,50,58,67,57.81,Bungoma,52
447,2006,8,31,43,52,61,51.98,Bungoma,52
448,2006,9,27,40,49,58,49.19,Bungoma,52
449,2006,10,23,39,51,61,49.69,Bungoma,52
450,2006,11,28,42,52,62,51.39,Bungoma,52
451,2006,12,29,43,53,63,52.76,Bungoma,52
452,2007,1,39,64,74,81,68.93,Bungoma,52
453,2007,2,63,80,86,91,82.11,Bungoma,52
454,2007,3,72,81,86,90,84.3,Bungoma,52
455,2007,4,56,65,72,80,72.27,Bungoma,52
456,2007,5,38,50,60,73,62.22,Bungoma,52
457,2007,6,30,42,53,64,53.34,Bungoma,52
458,2007,7,25,37,48,59,49.11,Bungoma,52
459,2007,8,20,38,52,65,51.2,Bungoma,52
460,2007,9,25,46,60,71,56.97,Bungoma,52
461,2007,10,36,55,65,74,62.52,Bungoma,52
462,2007,11,37,50,59,68,58.62,Bungoma,52
463,2007,12,20,29,39,53,44.49,Bungoma,52
464,2008,1,12,21,29,42,35.88,Bungoma,52
465,2008,2,14,23,32,41,33.34,Bungoma,52
466,2008,3,11,20,29,37,29.57,Bungoma,52
467,2008,4,20,30,38,46,38.34,Bungoma,52
468,2008,5,30,40,49,59,49.88,Bungoma,52
469,2008,6,40,51,59,66,58.85,Bungoma,52
470,2008,7,32,44,53,62,53.08,Bungoma,52
471,2008,8,29,42,50,59,50.05,Bungoma,52
472,2008,9,37,49,56,64,55.9,Bungoma,52
473,2008,10,45,58,67,75,65.54,Bungoma,52
474,2008,11,49,61,69,77,68.04,Bungoma,52
475,2008,12,42,53,61,70,61.6,Bungoma,52
476,2009,1,26,34,41,51,44.72,Bungoma,52
477,2009,2,19,28,35,43,36.31,Bungoma,52
478,2009,3,14,26,36,45,35.72,Bungoma,52
479,2009,4,14,25,37,49,37.6,Bungoma,52
480,2009,5,15,24,36,48,37.76,Bungoma,52
481,2009,6,29,41,50,61,51.58,Bungoma,52
482,2009,7,30,44,54,65,54.36,Bungoma,52
483,2009,8,21,36,48,61,48.28,Bungoma,52
484,2009,9,17,31,44,57,44.88,Bungoma,52
485,2009,10,24,39,49,60,49.35,Bungoma,52
486,2009,11,26,39,50,60,50.28,Bungoma,52
487,2009,12,31,43,52,61,51.87,Bungoma,52
488,2010,1,41,54,62,69,61.01,Bungoma,52
489,2010,2,51,63,70,76,68.82,Bungoma,52
490,2010,3,61,76,82,87,78.56,Bungoma,52
491,2010,4,68,80,85,89,82.42,Bungoma,52
492,2010,5,64,74,80,85,78.17,Bungoma,52
493,2010,6,51,64,72,78,69.75,Bungoma,52
494,2010,7,37,50,59,67,57.83,Bungoma,52
495,2010,8,26,38,48,57,47.98,Bungoma,52
496,2010,9,26,38,47,56,46.9,Bungoma,52
497,2010,10,27,39,48,57,48.19,Bungoma,52
498,2010,11,33,47,57,66,55.74,Bungoma,52
499,2010,12,37,50,59,66,57.32,Bungoma,52
500,2011,1,34,46,53,60,52.87,Bungoma,52
501,2011,2,26,37,44,52,45.26,Bungoma,52
502,2011,3,18,26,32,40,35.21,Bungoma,52
503,2011,4,28,35,40,47,43.3,Bungoma,52
504,2011,5,41,51,57,64,57.49,Bungoma,52
505,2011,6,46,58,65,72,64.21,Bungoma,52
506,2011,7,46,59,67,74,65.47,Bungoma,52
507,2011,8,41,54,62,70,61.54,Bungoma,52
508,2011,9,38,51,59,67,58.58,Bungoma,52
509,2011,10,42,56,65,74,64.02,Bungoma,52
510,2011,11,46,62,72,80,69.53,Bungoma,52
511,2011,12,49,65,73,80,70.6,Bungoma,52
512,2012,1,51,62,67,73,66.25,Bungoma,52
513,2012,2,31,39,44,51,46.42,Bungoma,52
514,2012,3,11,16,22,30,26.45,Bungoma,52
515,2012,4,8,11,16,23,19.01,Bungoma,52
516,2012,5,13,19,26,33,26.94,Bungoma,52
517,2012,6,21,31,39,47,39.29,Bungoma,52
518,2012,7,37,49,58,66,56.71,Bungoma,52
519,2012,8,37,53,62,70,59.65,Bungoma,52
520,2012,9,39,54,64,72,61.84,Bungoma,52
521,2012,10,39,53,62,70,60.85,Bungoma,52
522,2012,11,38,52,61,70,60.23,Bungoma,52
523,2012,12,45,57,65,72,63.79,Bungoma,52
524,2013,1,57,67,74,80,72.84,Bungoma,52
525,2013,2,59,69,75,80,73.63,Bungoma,52
526,2013,3,52,60,66,72,66.29,Bungoma,52
527,2013,4,50,59,65,70,64.29,Bungoma,52
528,2013,5,50,59,65,71,64.84,Bungoma,52
529,2013,6,38,47,54,61,54.51,Bungoma,52
530,2013,7,23,34,44,56,46.48,Bungoma,52
531,2013,8,13,24,35,48,37.4,Bungoma,52
