"","ID","county"
"8-2000","8","Kwale"
"9-2000","9","Lamu"
"10-2000","10","Mombasa"
"11-2000","11","Taita-Taveta"
"12-2000","12","Tana River"
"13-2000","13","Isiolo"
"14-2000","14","Kitui"
"15-2000","15","Machakos"
"16-2000","16","Makueni"
"19-2000","19","Garissa"
"21-2000","21","Mandera"
"22-2001","22","Wajir"
"61-2001","61","Marsabit"
"62-2000","62","Meru"
"63-2000","63","Embu"
"64-2000","64","Kilifi"
"65-2000","65","Tharaka Nithi"
