"","ID1","ADM2_NAME"
"3",3,"Maragua"
"7",7,"Thika"
"17",17,"Mwingi"
"20",20,"Ijara"
"23",23,"Bondo"
"26",26,"Kuria"
"29",29,"Nyando"
"30",30,"Rachuonyo"
"32",32,"Suba"
"35",35,"Buret"
"37",37,"Keiyo"
"39",39,"Koibatek"
"45",45,"Trans Mara"
"50",50,"Nandi North"
"51",51,"Nandi South"
"54",54,"Butere Mumias"
"56",56,"Lugari"
"57",57,"Mt Elgon"
"58",58,"Teso"
