Lon;Lat;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
19.5;-15.5;23.310252779072;24.1297741481589;24.2728310852109;23.8897049712333;24.0017400745604;23.4064521933592;23.8920746970446;24.4622064313134;23.1223199188448;24.1205360559992;23.8077808891341;23.7933119529873;23.7245940960365;23.7630553285586;24.6789698622517;24.4107475757314;24.0119615132091;25.0138638551439;24.091997062656;23.3666036277583;23.9367456745339;24.3340395790126;24.1810030148232;24.063954322319;24.3612308037227;23.639436359461;23.7848547984703;23.0356513574641;23.2835393446999;23.9657106159593;23.4322041840917;23.4662908228916;24.6402593881383
20.5;-15.5;23.4608115604516;24.3636868113209;24.4419582535687;24.0645258522343;24.1675794448187;23.589156646357;24.0920358896665;24.6507365174612;23.3424706195333;24.3162010007571;24.0816687988578;24.0430192663519;23.9177410624752;24.0174844801646;24.8410336750222;24.5635019368416;24.3141438858277;25.2274360296686;24.2282995722118;23.5748608267428;24.1297884731743;24.5252457458147;24.3513543854447;24.1685617383152;24.6375837619416;23.8123253163175;24.0017560184358;23.1709251260013;23.4115281184818;24.1154119460175;23.6937695641562;23.6577879791072;24.6902435748214
21.5;-15.5;23.89333934123;24.8627054858441;24.8477551223976;24.5045099192263;24.5798347002474;24.0510233951915;24.559503193259;25.1007877283964;23.833616930752;24.7530329497838;24.6174640373818;24.5421373435612;24.3351901177759;24.5290122945527;25.2420576471927;24.9621869363018;24.8714203811097;25.6991595768569;24.6318654715145;24.0678010990578;24.5785435904457;24.993388847595;24.7771747446169;24.547707385582;25.1701430388717;24.253017091333;24.4992404720838;23.5997511245955;23.8673806849018;24.538336855156;24.2066154595692;24.1331091465895;25.0196337727395
22.5;-15.5;24.2271905297184;25.2574149668831;25.1351371934167;24.8377010706288;24.8737207542795;24.4068837163683;24.9000831142395;25.4338856368488;24.195854628387;25.0501832263647;25.0341191890823;24.9131009381575;24.626032667475;24.9225680343474;25.5249489758453;25.235884804913;25.3016928119769;26.0457430384992;24.9189786594617;24.4518348130721;24.9184856824654;25.342762201207;25.0736540513584;24.8268275586786;25.5792935669913;24.5833635637025;24.885979488201;23.9166124757288;24.2241164159623;24.8596725968009;24.5927167630621;24.5013498282009;25.2379461899911
23.5;-15.5;24.126210228192;25.144031863634;24.9656282580754;24.7365155334135;24.665664004295;24.2301403092199;24.7395127593443;25.2399835807034;24.0384648058891;24.8452737139766;24.9112918640399;24.862587529942;24.4705514094414;24.8095157981027;25.3630408651738;25.0293648879787;25.1576588953595;25.830530507531;24.7143784419987;24.3736995339299;24.7685274422721;25.1875751669017;24.8399152290383;24.6683642355002;25.4280276376585;24.4747049425227;24.7798093525631;23.7539952615775;24.1369823910185;24.722043016557;24.5039773668613;24.4105558068201;25.0098014151534
24.5;-15.5;23.4702539636375;24.450434586953;24.2372372603539;24.0725256999639;23.883915323324;23.4762210544623;23.9996472931426;24.4647733260129;23.3002379579901;24.0555775487158;24.1997055826481;24.2445770707185;23.7529208255;24.1104119335951;24.6383712174842;24.2475216539572;24.4019218690125;24.9999932560783;23.9243953019422;23.7204069049766;24.0306477495264;24.4418076392158;24.0107483663724;23.9459930596507;24.6752868733742;23.823011335968;24.1041616413353;23.018114057395;23.4921526230519;24.0228125873165;23.8505805935608;23.7707247276755;24.2379499609623
25.5;-15.5;22.9280429885922;23.837172656842;23.6446962990059;23.51727101993;23.2039159622816;22.8206028751364;23.367704543193;23.8006461021882;22.6824217453384;23.3881991746001;23.5689320500357;23.7472495357684;23.1732573011603;23.4959957020147;24.0388043671028;23.598881308997;23.7069439965148;24.2105489749932;23.2234067080683;23.1603696326511;23.3712640385154;23.777793010313;23.2510056208313;23.3421481590466;23.9940816004464;23.3348272484778;23.5464960579926;22.3971297798546;22.983891456347;23.4484851052933;23.3237266052658;23.2745345040362;23.6171416928022
26.5;-15.5;22.8502187359372;23.671287376669;23.5419950444574;23.4293000862865;23.0160655058245;22.6704216480849;23.2352174625292;23.6491788088559;22.5636518038425;23.2206809090202;23.4258878604908;23.7211194310561;23.0962853879549;23.3686985683853;23.9186955666359;23.4391441977496;23.4788967813237;23.8760646456235;23.0018910555435;23.0752742730229;23.155601397717;23.599989960707;22.9385080002939;23.219563601765;23.7897626310485;23.370898966721;23.45275204161;22.2502240667863;22.9876968292596;23.4001883958405;23.3052642031043;23.3076376816133;23.5330057773307
27.5;-15.5;23.161170895324;23.8677489362212;23.8413796613996;23.7261312031925;23.2337810447642;22.913340497721;23.4987282783182;23.9318067646639;22.8666271085155;23.4650218958908;23.6731160189547;24.0828774523886;23.4370615905826;23.6404408483797;24.161728282129;23.7077641297218;23.6872816941558;23.948014374365;23.1864917814517;23.3993363201471;23.3427569622968;23.83460756155;23.0043737584607;23.5182932217712;23.9937257667093;23.8161665669177;23.7361466180396;22.5051543749608;23.4019691184992;23.782303793453;23.7000907949673;23.746114615351;23.8677095340278
28.5;-15.5;23.9362860152424;24.4828457097359;24.6022366222485;24.4963685833783;23.9822082677242;23.6214305615784;24.2496337438575;24.7132837273663;23.6646849690312;24.1928195364077;24.4105717584332;24.8858681427915;24.2345712294183;24.3748590833006;24.8316041650737;24.4462960325894;24.4199804404576;24.5822716590099;23.9099378205687;24.1484189360896;24.0317347410166;24.5615293629529;23.7022612934912;24.3256799413675;24.6535943961948;24.6320588321036;24.5312249692474;23.2889756822775;24.2777064773267;24.6149452351524;24.5219938100423;24.591667490609;24.6513421441702
