Lon;Lat;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
33.025;-4.975;28.4882221221924;33.3855247497559;30.1451778411865;26.4748497009277;32.3259963989258;25.6815986633301;30.6134243011475;47.8432121276855;26.3506088256836;34.2195205688477;20.0376129150391;27.0245304107666;14.8621187210083;42.1105651855469;21.093074798584;31.3962860107422;39.6110305786133;17.9556694030762;23.0275115966797;37.4961433410645;25.2981700897217;49.2826843261719;36.1710090637207;43.2843208312988;21.3619575500488;63.1072463989258;38.270393371582;35.6420402526855;25.9032516479492;31.4790153503418;38.3194999694824;31.4648857116699;61.9062576293945;31.4861583709717;42.0174560546875;20.9529838562012;17.413444519043
33.275;-4.975;37.377254486084;31.965991973877;27.8017120361328;29.5699825286865;39.2785110473633;32.8532562255859;27.178581237793;41.1551055908203;29.9401206970215;36.7807960510254;27.3733367919922;32.8141860961914;9.70785427093506;38.3299026489258;21.6134204864502;38.6747436523438;39.5671997070312;20.4129638671875;17.336389541626;39.7904815673828;20.0838851928711;43.6967353820801;29.1219081878662;45.6306076049805;23.6111965179443;55.2257995605469;42.2306518554688;42.8671073913574;50.5279426574707;24.2314872741699;39.9329681396484;36.3904304504395;59.382396697998;33.9501991271973;42.2792053222656;19.589807510376;25.4070529937744
33.525;-4.975;35.2351608276367;22.8409652709961;34.0774459838867;30.2764625549316;35.602367401123;39.7555809020996;31.1614799499512;31.7821617126465;29.7062683105469;34.7226753234863;29.2086162567139;28.3086643218994;11.0239915847778;55.9992561340332;21.7140121459961;46.2081413269043;36.5217361450195;15.913685798645;18.9783477783203;32.3924331665039;20.5460567474365;37.4508743286133;34.4522705078125;50.3722190856934;21.0157032012939;38.6991806030273;37.2371597290039;42.8137550354004;47.6522827148438;27.0535449981689;37.6764068603516;32.4551887512207;34.3282585144043;39.0101318359375;48.9707260131836;14.8840551376343;33.3726081848145
33.775;-4.975;30.4577865600586;28.752965927124;26.3927383422852;28.0020580291748;39.0024490356445;56.6825981140137;21.756965637207;27.0832958221436;25.7070178985596;31.320650100708;24.4060497283936;31.8184146881104;8.30533695220947;67.3584442138672;14.499547958374;42.3447875976562;48.4537887573242;13.5194969177246;18.1956195831299;27.5398025512695;20.1372470855713;31.109037399292;28.2268180847168;53.3843994140625;18.0068511962891;32.822437286377;32.1808204650879;35.9540214538574;40.852180480957;24.2264385223389;31.7614078521729;28.742166519165;31.5028877258301;34.0633964538574;31.5164241790771;16.8372287750244;28.8747596740723
34.025;-4.975;22.386848449707;41.2770957946777;36.4770240783691;25.036153793335;42.5710182189941;63.9110679626465;29.9839153289795;33.723747253418;33.7374229431152;28.6377792358398;19.8081836700439;35.9863090515137;8.46640491485596;44.6845207214355;13.2152967453003;41.8452110290527;37.0375556945801;12.6371583938599;21.1076717376709;32.3405494689941;18.948616027832;32.0930213928223;26.5955905914307;48.5313529968262;20.4958648681641;28.6361560821533;34.3817291259766;22.6448822021484;42.7399864196777;23.7019538879395;30.6016750335693;37.813289642334;19.1842746734619;26.4243564605713;25.3583698272705;14.7940139770508;18.3613471984863
34.275;-4.975;25.1935176849365;38.8538703918457;46.4018096923828;26.0561370849609;52.605037689209;45.478645324707;24.1456680297852;30.5544490814209;28.8128185272217;23.9408149719238;17.8354969024658;27.9102210998535;11.0380201339722;45.8265686035156;15.068244934082;29.1863403320312;39.5964851379395;21.4477844238281;21.2374877929688;30.5736618041992;13.5196208953857;44.4418792724609;31.2577629089355;34.2749938964844;16.6703681945801;25.6821308135986;35.7120628356934;26.38698387146;41.0248413085938;31.4328193664551;37.2594909667969;29.8499221801758;17.8157329559326;24.1713714599609;20.6231918334961;13.5970115661621;17.1815795898438
34.525;-4.975;18.983283996582;34.6942367553711;26.7780418395996;23.9714412689209;46.5589561462402;42.4941062927246;31.9129791259766;22.1571083068848;26.6764030456543;20.2126903533936;23.3720989227295;19.0764255523682;8.38284492492676;43.9670639038086;19.4039039611816;21.6356029510498;34.0200653076172;26.7727642059326;22.0206146240234;34.1089706420898;11.8059358596802;34.9711227416992;29.2623596191406;24.9773788452148;21.011791229248;30.238956451416;31.6423091888428;20.4957504272461;53.284423828125;21.0531883239746;38.047908782959;27.1486072540283;16.57568359375;23.3996925354004;19.7795925140381;15.414134979248;12.4523572921753
34.775;-4.975;18.2616157531738;32.8379249572754;22.6491241455078;27.0651321411133;35.0926322937012;55.0146369934082;26.1326637268066;30.8604335784912;24.0069217681885;24.9322357177734;24.6104106903076;16.3742218017578;7.0023832321167;43.2713241577148;22.1823997497559;30.7186908721924;68.547721862793;18.3483200073242;30.6777324676514;31.123987197876;13.3012533187866;36.6720771789551;39.7940635681152;20.6398277282715;25.2216281890869;27.8176460266113;30.7030735015869;25.2347011566162;43.0736122131348;26.4505176544189;48.1579475402832;35.106014251709;21.3447971343994;24.1043224334717;31.0182037353516;17.9790954589844;9.44362449645996
35.025;-4.975;22.4304370880127;37.4072036743164;29.693172454834;42.3051452636719;26.9600048065186;52.3960609436035;19.4113388061523;31.5438098907471;26.683650970459;29.228214263916;24.7233428955078;14.1303005218506;6.65657186508179;34.4299468994141;18.8161926269531;21.0121898651123;57.552074432373;19.1668872833252;22.9916038513184;34.671257019043;14.8581638336182;37.7890243530273;43.9231986999512;32.0525398254395;20.3813171386719;28.2018508911133;22.362756729126;38.1159591674805;39.1488876342773;24.4296226501465;38.5311279296875;45.1794891357422;21.9757080078125;21.9289436340332;32.8935852050781;16.9184226989746;10.8741302490234
35.275;-4.975;20.8685493469238;29.8412227630615;33.9444427490234;32.3034133911133;35.7691764831543;45.7418594360352;16.6715068817139;29.4925746917725;30.6947765350342;30.9649143218994;19.437292098999;18.4253845214844;10.6719751358032;38.4844169616699;16.7978820800781;24.5182666778564;47.4100456237793;24.6074409484863;19.9241371154785;31.2390670776367;18.6406784057617;54.744571685791;50.3325653076172;43.5076065063477;14.0536108016968;24.0128288269043;21.2690868377686;43.0291976928711;43.9337272644043;20.8270225524902;40.9291458129883;53.0575714111328;31.1387462615967;21.5995674133301;19.4478034973145;24.2769584655762;11.3518447875977
